公众号,发布时间,原标题,科技报告标题,摘要,领域分类,研究机构,行业大佬,URL
量子位,2025-07-29 08:40:08,刚刚，微软推出AI浏览器，上网从此不一样了,微软Edge浏览器推出集成AI智能体的Copilot模式,微软在Edge浏览器中推出了名为“Copilot模式”的AI智能体功能，能够跨标签页读取和分析内容，辅助用户完成复杂任务，如文献总结、标签页管理及语音控制操作。该模式保留传统浏览器功能，同时深度融合AI能力，提升用户上网体验。Copilot模式目前限时免费，未来可能与订阅服务捆绑，标志着浏览器商业模式的潜在转变。微软强调用户隐私保护，所有敏感操作均需用户授权。,Agent,Microsoft,Satya Nadella,https://mp.weixin.qq.com/s/fDP9aLHL8aLDZBhL6ogrOg
量子位,2025-07-29 08:40:08,阿里开源电影级AI视频模型！MoE架构，5B版本消费级显卡可跑,阿里开源基于MoE架构的电影级AI视频生成模型Wan2.2,阿里发布并开源了新一代视频生成模型通义万相Wan2.2，首次将MoE架构应用于视频扩散模型，实现电影级视频生成效果。该模型支持文生视频、图生视频和混合视频生成，5B版本可在消费级显卡上运行，达到24fps、720P的速度和质量。Wan2.2引入电影级美学控制系统，融合光影、色彩和镜头语言，提升视频真实感和美学表现，且操作简便，适合广泛用户使用。,Diffusion Model,Alibaba,,https://mp.weixin.qq.com/s/RKR16Qw1BdvlVSLMrj17lg
机器学习算法与自然语言处理,2025-07-29 00:08:53,AI教父Hinton教授国内首次演讲PPT全文实录,Hinton教授首次中国演讲：数字智能与生物智能的比较及AI安全展望,Hinton教授在WAIC2025上首次于中国公开演讲，探讨了数字智能与生物智能的优势对比，回顾了AI发展历程，强调大语言模型（LLM）对语言理解的贡献，并提出超级智能可能带来的安全风险。演讲呼吁全球合作设立AI安全研究所，推动AI向善技术发展，防止AI夺权风险，促进AI技术的安全应用与发展。,LLM,OpenAI,Geoffrey Hinton,https://mp.weixin.qq.com/s/5CVi48689MrBL2SLSgsdFA
机器学习算法与自然语言处理,2025-07-29 00:08:53,多模态大模型，真的「懂」世界吗？——揭秘MLLM的核心知识缺陷,多模态大模型核心认知能力缺陷的系统分析与评估,本文基于UC San Diego团队发表于ICML 2025的研究，系统揭示了当前主流多模态大模型（MLLM）在基础核心认知能力上的显著不足。研究提出了跨模态认知评估基准CoreCognition及干预测试方法Concept Hacking，覆盖12项核心认知概念，评估结果显示模型在基础认知任务表现较差，且规模扩展和推理机制未能有效提升该能力，反映出MLLM缺乏稳固的认知体系和对世界基本结构的理解。,Multimodal LLM,Other,,https://mp.weixin.qq.com/s/a387fn4FSFFtwie1tlcTpA
机器学习算法与自然语言处理,2025-07-29 00:08:53,100行代码打造迷你编程Agent：能修复65%真实项目bug，适配所有大模型,基于100行代码的轻量级编程Agent mini-SWE-agent及其性能评估,本文介绍了mini-SWE-agent，一个仅用约100行Python代码实现的轻量级编程智能代理，能够兼容多种主流语言模型并在SWE-bench上修复约65%的真实项目代码缺陷。该代理取消了复杂依赖和工具调用接口，支持多种容器环境，简化了配置和使用流程，适合快速本地部署和实验。mini-SWE-agent由普林斯顿大学团队开发，体现了简洁、高效和易扩展的设计理念。,Agent,Other,"John Yang, Carlos E. Jimenez, Alexander Wettig, Kilian Lieret, 姚顺雨, Karthik Narasimhan, Ofir Press",https://mp.weixin.qq.com/s/qsaibG5H2JUC_CCQtn41qg
机器学习算法与自然语言处理,2025-07-29 00:08:53,DeepSeek-GRPO重要性权重设计错误？详解Qwen3新强化学习算法GSPO,基于序列级重要性权重的强化学习算法GSPO及其在Qwen3模型中的应用,本文分析了GRPO算法在大语言模型强化学习训练中重要性权重设计存在的问题，提出了基于序列级重要性权重的GSPO算法。GSPO通过将权重从token级转向sequence级，解决了训练不稳定和高方差噪声问题，提升了训练稳定性和效率。实验基于Qwen3-30B模型，结果显示GSPO在多项评测中优于GRPO，且简化了训练架构。,LLM,Other,,https://mp.weixin.qq.com/s/ResIWLoBpwR5_EMMJa_k2A
智药邦,2025-07-28 23:31:49,APS综述｜中科院上海药物所郑明月课题组：人工智能变革新靶点药物发现,人工智能驱动的新靶点药物发现综述,本文综述了中国科学院上海药物研究所郑明月课题组关于人工智能在新靶点药物发现中的应用进展。文章系统阐述了AI在蛋白质结构预测、分子对接、分子设计及分子动力学模拟中的创新方法，特别强调了AI技术如何突破传统药物研发中靶点结构未知、功能复杂等难题，提升新药研发效率和成功率，为新靶点药物开发提供了重要技术支持和理论参考。,AI4Science,Other,郑明月,https://mp.weixin.qq.com/s/PhOQmiX2zb3IvfBB3n4Wow
智药邦,2025-07-28 23:31:49,新书推荐｜《医药大模型：重塑医药产业未来》,医药大语言模型及其在医药产业的应用与发展,《医药大模型：重塑医药产业未来》系统介绍了医药大语言模型的基本概念、训练方法及其在药物研发、临床试验、市场分析和循证医学等领域的应用。书中通过案例分析展示了该技术如何提升医药研发效率和临床决策能力，并探讨了医药大语言模型未来的发展趋势及智能化转型的潜力。,LLM,Other,"高飞, 叶中楷, 吴刚",https://mp.weixin.qq.com/s/hz8HdjgBns-tOWlzaIg-jQ
智药邦,2025-07-28 23:31:49,中晟全肽宣布完成近亿元B轮融资,中晟全肽完成近亿元B轮融资，推动多肽新药研发平台升级,2025年7月，中晟全肽宣布完成近亿元B轮融资，由鼎晖投资领投，九典制药、圣诺生物等多家机构参与。公司构建了全球独创的多肽实体库及六大分子发现库，拥有十二大技术平台，专注于多肽新药发现与开发。融资资金将用于自研管线推进、AI药物开发平台升级及高端人才引进。中晟全肽致力于成为全球领先的多肽新药研发企业，推动环肽RDC、PDC药物研发，多个项目已进入临床前及IIT阶段。,Other,Other,,https://mp.weixin.qq.com/s/jmQiZvyDUWa-AVyimZKKTQ
新智元,2025-07-28 23:00:08,今夜，国产AI最强一击！智谱发布GLM-4.5，新一代模型狙击OpenAI,智谱发布融合大模型GLM-4.5，提升国产AI智能体能力,智谱发布了新一代融合大模型GLM-4.5，集成推理、编程和智能体能力，实现原生智能体模式。该模型支持全栈Agent开发、网页创作和PPT生成，具备高性价比和快速生成能力。GLM-4.5在多个评测基准中表现优异，位列全球第三、国产第一，展现出强大的通用AI能力，挑战OpenAI的GPT-5。该模型支持在线Agent和代码下载，方便开发者集成应用，推动国产AI技术发展。,Agent,OpenAI,,https://mp.weixin.qq.com/s/b7egs9x__A4habrODmSxhg
