标题,中文标题,领域分类,研究机构,PDF链接,论文链接,简明摘要,Upvote数
"ColorBench: Can VLMs See and Understand the Colorful World? A
  Comprehensive Benchmark for Color Perception, Reasoning, and Robustness",ColorBench：视觉语言模型能否看到并理解多彩世界？一个关于颜色感知、推理与鲁棒性的综合基准,Multimodal LLM,Other,https://arxiv.org/pdf/2504.10514,https://huggingface.co/papers/2504.10514,本文提出了ColorBench，一个专门评估视觉语言模型（VLMs）对颜色感知、理解和推理能力的综合基准。通过多样化且贴近实际应用的测试任务，ColorBench考察模型识别颜色、利用颜色线索推断信息及应对颜色变化的稳定性。对32个不同规模和结构的VLMs评测结果表明：模型规模越大表现越好，语言模型影响超过视觉编码器；但整体性能差距较小，反映当前模型对颜色理解的重视不足；链式推理方法能提升准确性和鲁棒性；颜色信息虽被利用，但有时也会误导模型。该基准为推动多模态AI的颜色认知研究提供了重要工具。,23
Cobra: Efficient Line Art COlorization with BRoAder References,Cobra：基于更广泛参考的高效线稿上色方法,Diffusion Model,"THU, Tencent",https://arxiv.org/pdf/2504.12240,https://huggingface.co/papers/2504.12240,本文提出了Cobra，一种高效且灵活的线稿上色方法，专为漫画制作中的多样化角色和场景设计。Cobra能够利用超过200张参考图像及颜色提示，实现准确且一致的色彩还原，同时显著提升推理速度和交互性能。其核心创新在于采用因果稀疏Transformer架构，有效处理长上下文信息，确保色彩身份的连续性。实验结果表明，Cobra满足工业需求，推动了基于多参考图的线稿上色技术的发展。相关代码和模型已公开。,17
BitNet b1.58 2B4T Technical Report,BitNet b1.58 2B4T 技术报告,LLM,Microsoft,https://arxiv.org/pdf/2504.12285,https://huggingface.co/papers/2504.12285,本文介绍了BitNet b1.58 2B4T，一款首个开源的2亿参数规模的原生1-bit大语言模型。该模型基于4万亿词语的训练数据，在语言理解、数学推理、编程能力和对话表现等多个测试中表现出色，达到同规模全精度模型的水平。相比传统模型，BitNet显著降低了内存占用、能耗和推理延迟，提高了计算效率。为促进研究和应用，作者公开了模型权重及适用于GPU和CPU的推理代码，推动了资源受限环境下大模型的实用化。,17
"AlayaDB: The Data Foundation for Efficient and Effective Long-context
  LLM Inference",AlayaDB：面向高效且有效的长上下文大语言模型推理的数据基础,LLM,Other,https://arxiv.org/pdf/2504.10326,https://huggingface.co/papers/2504.10326,本文提出了AlayaDB，一种专为大规模语言模型长上下文推理设计的向量数据库系统。该系统将键值缓存和注意力计算从模型推理中分离出来，通过查询处理和原生优化器实现高效管理和计算。相比现有方案，AlayaDB在降低硬件资源消耗的同时提升了生成质量，适用于多种服务需求。通过实际应用案例和大量基准测试，验证了其在长上下文推理中的有效性和优势，为大语言模型的高效推理提供了新的数据基础设施解决方案。,16
"SIFT-50M: A Large-Scale Multilingual Dataset for Speech Instruction
  Fine-Tuning",SIFT-50M：用于语音指令微调的大规模多语言数据集,LLM,Amazon,https://arxiv.org/pdf/2504.09081,https://huggingface.co/papers/2504.09081,本文提出了SIFT-50M，一个包含5000万条多语言语音指令数据的大规模数据集，涵盖五种语言和丰富的语音理解及可控生成任务。该数据集基于公开语音语料，结合大语言模型和现成专家模型构建，旨在提升语音与文本结合的大模型的指令执行能力。基于此数据集训练的SIFT-LLM在指令跟随任务上表现优于现有模型，同时在基础语音任务中保持竞争力。论文还发布了EvalSIFT基准，用于评估语音文本大模型的指令理解能力，推动相关研究发展。,11
ReTool: Reinforcement Learning for Strategic Tool Use in LLMs,ReTool：用于大语言模型中策略性工具使用的强化学习,LLM,ByteDance,https://arxiv.org/pdf/2504.11536,https://huggingface.co/papers/2504.11536,本文提出了ReTool，一种结合强化学习和实时代码执行的策略，旨在提升大语言模型（LLMs）在复杂数学推理中的表现。通过动态交织代码执行与自然语言推理，ReTool使模型能够自主学习何时及如何调用工具，优化解题策略。实验表明，ReTool在MATH奥林匹克竞赛AIME中显著优于传统文本推理方法，表现出更高的准确率和训练效率。研究还发现模型具备代码自我纠正能力，展示了其在复杂问题解决中自适应工具使用的潜力，推动了神经符号混合系统的发展。,10
DataDecide: How to Predict Best Pretraining Data with Small Experiments,DataDecide：如何通过小规模实验预测最佳预训练数据,LLM,Other,https://arxiv.org/pdf/2504.11393,https://huggingface.co/papers/2504.11393,本文提出了DataDecide，一个公开的模型与数据评估套件，用于研究如何通过小规模实验有效预测大规模语言模型的最佳预训练数据。作者在25个不同语料库上进行控制实验，发现用小模型（约1.5亿参数）对数据集排名的结果，能以约80%的准确率预测大模型（约10亿参数）的表现，优于多种现有的规模规律方法。此外，利用连续似然指标作为小规模实验的代理指标，可在极低计算成本下准确预测多个主流基准测试的表现。该研究为降低大模型预训练成本提供了实用且可靠的指导方案。,7
RealHarm: A Collection of Real-World Language Model Application Failures,RealHarm：真实世界语言模型应用失败案例集,Agent,Other,https://arxiv.org/pdf/2504.10277,https://huggingface.co/papers/2504.10277,本文提出了RealHarm数据集，系统整理并标注了136起公开报道的语言模型应用失败案例，聚焦实际部署中的风险与危害。研究发现，声誉损害是主要的组织层面危害，而错误信息是最常见的风险类别。通过评估现有的安全防护和内容审核机制，作者揭示了当前措施在防范真实故障事件中的不足。该工作为理解和应对语言模型在现实应用中的失败模式提供了宝贵的实证依据，促进了更有效的风险管理。,7
"REPA-E: Unlocking VAE for End-to-End Tuning with Latent Diffusion
  Transformers",REPA-E：利用潜在扩散变换器实现VAE的端到端调优,Diffusion Model,Other,https://arxiv.org/pdf/2504.10483,https://huggingface.co/papers/2504.10483,本文提出了一种新的训练方法REPA-E，实现了变分自编码器（VAE）与潜在扩散模型的端到端联合训练，解决了传统方法中直接利用扩散损失导致性能下降的问题。该方法通过引入表示对齐损失，使得VAE和扩散模型能够同步优化，不仅显著加快了训练速度（较传统方法提升17至45倍），还提升了生成图像的质量和潜在空间结构。在ImageNet 256×256数据集上，REPA-E达到了新的最优生成效果，展示了其在图像生成领域的重要价值。,7
"Efficient Hybrid Language Model Compression through Group-Aware SSM
  Pruning",通过组感知SSM剪枝实现高效混合语言模型压缩,LLM,Other,https://arxiv.org/pdf/2504.11409,https://huggingface.co/papers/2504.11409,本文提出了一种针对混合语言模型的新型压缩方法，通过引入组感知的剪枝策略，有效保留了状态空间模型（SSM）的结构和序列处理能力。该方法结合了对SSM、前馈网络、嵌入维度和层的剪枝，并辅以知识蒸馏重训练，显著提升了模型压缩效率。以Nemotron-H 8B混合模型为例，成功将参数量压缩至4B，同时训练数据需求减少40倍，推理速度提升约2倍，且在准确率上优于同等规模模型，推动了模型性能与效率的平衡发展。,4
"Vivid4D: Improving 4D Reconstruction from Monocular Video by Video
  Inpainting",Vivid4D：通过视频修复提升单目视频的4D重建,Other,ByteDance,https://arxiv.org/pdf/2504.11092,https://huggingface.co/papers/2504.11092,本文提出了Vivid4D，一种通过视频修复技术提升单目视频4D动态场景重建的新方法。该方法通过结合几何信息与生成模型，利用单目深度估计将已有视角的视频转换为多视角视频，解决了视角稀缺的问题。通过在无姿态网络视频上训练修复模型，能够时空一致地补全场景中不可见区域。此外，提出了迭代视角增强和稳健重建损失，有效减小深度估计误差对结果的影响。实验表明，Vivid4D显著提升了单目视频的动态场景重建质量和完整性。,4
Robust and Fine-Grained Detection of AI Generated Texts,AI生成文本的鲁棒且细粒度检测,LLM,Other,https://arxiv.org/pdf/2504.11952,https://huggingface.co/papers/2504.11952,本文提出了一套针对部分由人类与人工智能共同创作文本的细粒度检测模型，专门用于识别机器生成内容，尤其在短文本和多语言环境下表现出色。作者构建了包含超过240万条多语言人机合作文本的新数据集，模型在未见领域、不同生成器及对抗性输入下均展现出良好鲁棒性。研究还分析了模型在不同文本长度、领域及生成方式上的表现差异，为提升AI文本检测的准确性和适用性提供了重要方法和资源。,3
Syzygy of Thoughts: Improving LLM CoT with the Minimal Free Resolution,思维的合子：利用极小自由分解提升大语言模型的链式思维,LLM,Other,https://arxiv.org/pdf/2504.09566,https://huggingface.co/papers/2504.09566,本论文提出了Syzygy of Thoughts（SoT）框架，通过引入多条相互关联的辅助推理路径，扩展了传统的Chain-of-Thought（CoT）方法，解决了复杂问题单一推理链难以覆盖的局限。借鉴代数中的最小自由分解思想，SoT将复杂任务系统地拆解为逻辑完整且简洁的子问题，提升了推理的结构性和准确性。实验证明，SoT在多个数据集和模型上均显著优于主流CoT方法，同时提高了推理效率和透明度，推动了大规模语言模型在复杂推理任务中的应用。,1
"BlockGaussian: Efficient Large-Scale Scene Novel View Synthesis via
  Adaptive Block-Based Gaussian Splatting",BlockGaussian：通过自适应基于块的高斯点溅射实现高效大规模场景新视角合成,Other,Other,https://arxiv.org/pdf/2504.09048,https://huggingface.co/papers/2504.09048,本文提出了BlockGaussian，一种基于内容自适应分块和可见性优化的高效大规模场景重建框架。该方法通过考虑不同区域的复杂度平衡计算负载，提升了场景分割和优化效率；引入辅助点解决分块优化中的监督不匹配问题，提升重建质量；并采用伪视角几何约束减少合并过程中的渲染伪影。实验表明，BlockGaussian在多个大规模场景上实现了约5倍的优化加速和显著的图像质量提升，同时大幅降低了计算资源需求，支持单卡完成大规模场景的新视角合成。,1
"Aligning Generative Denoising with Discriminative Objectives Unleashes
  Diffusion for Visual Perception",将生成式去噪与判别目标对齐，释放扩散模型在视觉感知中的潜力,Diffusion Model,Other,https://arxiv.org/pdf/2504.11457,https://huggingface.co/papers/2504.11457,本文针对生成扩散模型在视觉感知任务中的应用，揭示了其生成去噪过程与判别目标之间存在的关键差异。作者发现早期去噪步骤对感知质量贡献更大，而后期步骤可能导致性能下降，提出了基于不同时间步贡献的定制化训练目标和扩散特定的数据增强方法以缓解训练与推理分布偏移。此外，论文强调了生成过程的交互性优势，支持多轮用户纠正。该方法无需修改模型结构，即显著提升了深度估计、指称图像分割等多项视觉任务的表现，推动了扩散模型在感知领域的应用。,0
Towards Learning to Complete Anything in Lidar,面向Lidar的任意物体补全学习,Other,Other,https://arxiv.org/pdf/2504.12264,https://huggingface.co/papers/2504.12264,本文提出了CAL（Complete Anything in Lidar），一种基于激光雷达的零样本形状补全方法。与现有只能识别固定类别的技术不同，CAL利用多模态传感器的时间序列信息，从未标注数据中挖掘物体形状和语义特征，进而训练出仅依赖激光雷达的实例级补全与识别模型。该模型能够从单帧稀疏点云推断完整物体形状，并支持语义和全景场景补全、三维目标检测等任务，且不限于预定义类别，显著提升了激光雷达感知的泛化能力和应用范围。,0
