标题,中文标题,发布日期,领域分类,研究机构,PDF链接,论文链接,arXiv ID,简明摘要
GMT: General Motion Tracking for Humanoid Whole-Body Control,GMT：用于人形机器人全身控制的通用运动追踪,17 Jun 2025,Embodied AI,Other,http://arxiv.org/pdf/2506.14770v1,http://arxiv.org/abs/2506.14770v1,2506.14770v1,本文提出了GMT，一种用于人形机器人全身动作追踪的通用框架。该方法通过自适应采样策略和动作专家混合架构，提升了训练过程中对不同动作难度的平衡及动作特征的专门化能力。GMT能够训练出单一统一的控制策略，使机器人在真实环境中准确跟踪多样化动作。实验结果表明，GMT在模拟和现实场景中均实现了领先的性能，推动了通用人形机器人运动控制的发展。更多信息和演示视频见项目主页。
CDP: Towards Robust Autoregressive Visuomotor Policy Learning via Causal Diffusion,CDP：通过因果扩散实现鲁棒的自回归视觉运动策略学习,17 Jun 2025,Embodied AI,Other,http://arxiv.org/pdf/2506.14769v1,http://arxiv.org/abs/2506.14769v1,2506.14769v1,本文提出了一种名为Causal Diffusion Policy（CDP）的新型机器人视觉运动控制方法，通过结合历史动作信息，提升了动作预测的连贯性和上下文理解能力。该方法利用变换器架构和缓存机制，有效减少计算开销，实现了更高效的自回归推理。大量仿真与真实环境实验表明，CDP在多种二维和三维操作任务中表现出显著优于现有方法的准确性，且在观测数据质量受损时仍能保持稳定性能，展现出良好的实际应用潜力和鲁棒性。
A Variational Framework for Improving Naturalness in Generative Spoken Language Models,一种用于提升生成式口语语言模型自然性的变分框架,17 Jun 2025,LLM,Other,http://arxiv.org/pdf/2506.14767v1,http://arxiv.org/abs/2506.14767v1,2506.14767v1,本文提出了一种基于变分方法的端到端框架，旨在提升生成型语音语言模型的自然度。当前主流方法通过离散语音标记捕捉语言信息，但忽略了语音的韵律和情感特征，导致生成语音缺乏自然感。传统解决方案依赖手工设计的音高等特征，难以全面表达语音的副语言信息。作者的方法自动学习连续的语音属性，无需人工特征提取，显著改善了语音生成的自然性，并获得了人类评价的优良反馈。相关代码和模型已公开，便于进一步研究和应用。
ASCD: Attention-Steerable Contrastive Decoding for Reducing Hallucination in MLLM,ASCD：用于减少多模态大语言模型幻觉的可注意力引导对比解码,17 Jun 2025,Multimodal LLM,Other,http://arxiv.org/pdf/2506.14766v1,http://arxiv.org/abs/2506.14766v1,2506.14766v1,本文针对多模态大语言模型在生成过程中易出现错误信息（幻觉）的问题，提出了一种基于注意力机制调控的对比解码方法。与现有通过修改预测结果的方法不同，作者通过直接干预模型内部的注意力分布，更有效地减少了幻觉现象。实验结果表明，该方法在多个模型和任务上均显著提升了生成准确性和表现，验证了其在提升多模态理解与生成质量方面的潜力。
Scaling-Up the Pretraining of the Earth Observation Foundation Model PhilEO to the MajorTOM Dataset,将地球观测基础模型PhilEO的预训练规模扩展至MajorTOM数据集,17 Jun 2025,AI4Science,Other,http://arxiv.org/pdf/2506.14765v1,http://arxiv.org/abs/2506.14765v1,2506.14765v1,本文针对地球观测卫星产生的大规模数据，提出了对地球观测基础模型PhilEO进行大规模预训练的方法。作者利用覆盖全球的23TB MajorTOM数据集及其2TB的陆地子集FastTOM，扩展并优化了不同规模和结构的PhilEO模型。通过在道路密度、建筑密度和土地覆盖等任务上的微调和评估，结果显示大规模数据和模型均显著提升了性能，尤其是较大模型在多个任务中表现优越。此外，研究还探讨了从传统卷积网络向视觉变换器架构的转变对模型效果的影响，为地球观测数据的高效利用提供了重要参考。
RobotSmith: Generative Robotic Tool Design for Acquisition of Complex Manipulation Skills,RobotSmith：用于复杂操作技能获取的生成式机器人工具设计,17 Jun 2025,Embodied AI,Other,http://arxiv.org/pdf/2506.14763v1,http://arxiv.org/abs/2506.14763v1,2506.14763v1,本文提出了RobotSmith，一种自动化机器人工具设计系统，结合视觉语言模型的隐含物理知识与物理仿真，实现工具几何形状和使用方法的联合优化。该系统能够设计并使用适合复杂操作任务的工具，显著提升机器人处理刚性、柔性及流体物体的能力。实验结果表明，RobotSmith在任务成功率和整体表现上均优于现有方法，且所设计工具能有效应用于现实环境，展示了其较强的实用性和泛化能力。
Markov Regime-Switching Intelligent Driver Model for Interpretable Car-Following Behavior,用于可解释跟车行为的马尔可夫状态切换智能驾驶模型,17 Jun 2025,Agent,Other,http://arxiv.org/pdf/2506.14762v1,http://arxiv.org/abs/2506.14762v1,2506.14762v1,本文提出了一种基于马尔可夫状态切换的智能驾驶模型，用于更准确且可解释地描述跟车行为。传统模型因只采用单一驾驶模式，难以反映人类驾驶的多样性，导致参数难以理解且表现有限。新模型通过多个驾驶状态及其切换机制，区分不同驾驶行为与交通情境，实现动态调整。基于真实交通数据的实验验证表明，该方法能有效揭示驾驶行为的内在结构和变化规律，提升交通仿真和辅助驾驶系统的真实性与可靠性。
Reasoning with Exploration: An Entropy Perspective,基于探索的推理：一种熵视角,17 Jun 2025,LLM,Other,http://arxiv.org/pdf/2506.14758v1,http://arxiv.org/abs/2506.14758v1,2506.14758v1,本文针对语言模型推理中探索与利用的平衡问题，重新审视了熵这一探索信号，发现高熵区域与关键推理步骤、自我反思及稀有行为密切相关。基于此，作者提出在强化学习中通过简单地在优势函数中加入熵项，促进更长且更深入的推理链条，从而提升模型的探索能力。该方法在推理能力评估指标Pass@K上表现显著优于现有方法，有效突破了语言模型推理性能的瓶颈。
Optimizing Length Compression in Large Reasoning Models,大型推理模型中的长度压缩优化,17 Jun 2025,LLM,Other,http://arxiv.org/pdf/2506.14755v1,http://arxiv.org/abs/2506.14755v1,2506.14755v1,本文针对大型推理模型中常见的冗长且重复的推理过程，提出了“简洁性”和“充分性”两项新原则，旨在去除多余且无效的思考步骤。基于此，作者设计了LC-R1方法，通过后训练优化显著压缩推理链长度约50%，仅带来约2%的准确率下降，实现了推理效率与效果的良好平衡。大量实验验证了该方法的有效性和稳健性，推动了更高效且强大的推理模型的发展。代码已公开。
Tactile Beyond Pixels: Multisensory Touch Representations for Robot Manipulation,超越像素的触觉：用于机器人操作的多感官触觉表示 Sparsh-X,17 Jun 2025,Embodied AI,Other,http://arxiv.org/pdf/2506.14754v1,http://arxiv.org/abs/2506.14754v1,2506.14754v1,本文提出了Sparsh-X，一种融合触觉图像、声音、运动和压力四种感知信息的多模态触觉表示方法。通过在百万级真实接触数据上进行自监督学习，Sparsh-X能够捕捉物体的多维物理特性，显著提升机器人操作任务的表现。实验表明，Sparsh-X在模仿学习和触觉适应中提高了任务成功率和鲁棒性，并在物体识别、材料估计和力感知等物理属性推断上表现优异，展示了多感知预训练在灵巧机器人操作中的潜力和优势。
