标题,中文标题,领域分类,研究机构,PDF链接,论文链接,简明摘要,Upvote数
"SeedVR2: One-Step Video Restoration via Diffusion Adversarial
  Post-Training",SeedVR2：基于扩散对抗后训练的一步视频修复,Diffusion Model,ByteDance,https://arxiv.org/pdf/2506.05301,https://huggingface.co/papers/2506.05301,本论文提出了SeedVR2，一种基于扩散模型的一步视频修复方法，通过对真实数据进行对抗训练，实现高质量的视频恢复。为解决高分辨率视频修复中的窗口不一致问题，设计了自适应窗口注意力机制，并引入特征匹配损失以稳定训练过程。实验结果表明，SeedVR2在保证计算效率的同时，能够在单步恢复中达到甚至超越现有多步视频修复方法的性能，显著降低了推理时间和资源消耗，具有较强的实际应用潜力。,44
"ComfyUI-Copilot: An Intelligent Assistant for Automated Workflow
  Development",ComfyUI-Copilot：用于自动化工作流开发的智能助手,Agent,Alibaba,https://arxiv.org/pdf/2506.05010,https://huggingface.co/papers/2506.05010,本文提出了ComfyUI-Copilot，一款基于大型语言模型和多智能体架构的插件，旨在提升开源AI艺术创作平台ComfyUI的易用性和效率。该系统通过智能推荐节点与模型，并支持一键自动构建工作流程，解决了新手入门难、文档分散及配置复杂等问题。实验和用户反馈表明，ComfyUI-Copilot能有效加速流程开发、降低使用门槛，既帮助初学者快速上手，也提升了资深用户的工作效率。,43
Video World Models with Long-term Spatial Memory,具有长期空间记忆的视频世界模型,Embodied AI,Shanghai AI Lab,https://arxiv.org/pdf/2506.05284,https://huggingface.co/papers/2506.05284,本文提出了一种结合几何信息的长期空间记忆机制，以提升视频世界模型在长时间尺度上的场景一致性。传统视频生成模型因时间上下文窗口有限，难以保持环境细节，导致场景遗忘和不连贯。新框架通过存储和检索三维空间信息，有效增强了模型对已生成环境的记忆能力。实验结果表明，该方法在生成质量、一致性及上下文长度方面均优于现有方法，为实现长期稳定的视频世界生成奠定了基础。,36
"RoboRefer: Towards Spatial Referring with Reasoning in Vision-Language
  Models for Robotics",RoboRefer：面向机器人视觉语言模型中空间指称与推理的研究,Embodied AI,PKU,https://arxiv.org/pdf/2506.04308,https://huggingface.co/papers/2506.04308,本文提出了RoboRefer，一种具备三维空间感知能力的视觉语言模型，专为机器人在复杂三维环境中实现精准空间定位和多步骤推理而设计。通过引入专门的深度编码器和结合监督与强化学习的微调方法，RoboRefer显著提升了机器人理解和执行空间指令的能力。为支持训练，作者构建了大规模数据集RefSpatial及评测基准RefSpatial-Bench。实验结果表明，RoboRefer在空间理解和多步推理任务上均达到领先水平，且能有效应用于多种机器人平台，推动机器人在真实环境中的智能交互。,36
"Diagonal Batching Unlocks Parallelism in Recurrent Memory Transformers
  for Long Contexts",对角批处理解锁循环记忆变换器在长上下文中的并行性,LLM,Other,https://arxiv.org/pdf/2506.05229,https://huggingface.co/papers/2506.05229,本文提出了一种名为“对角批处理”的调度方法，有效解决了循环记忆变换器（RMT）在处理长文本时的顺序执行瓶颈，实现了跨段并行计算。该方法无需重新训练，显著提升了模型推理速度和效率。在处理超长序列（如13万令牌）时，基于LLaMA-1B的RMT模型通过对角批处理实现了比标准全注意力模型快3.3倍的推理速度，同时大幅降低了内存使用。此技术为长上下文任务中的变换器模型提供了实用且高效的解决方案。,33
"Qwen3 Embedding: Advancing Text Embedding and Reranking Through
  Foundation Models",Qwen3 Embedding：通过基础模型推进文本嵌入与重排序技术,LLM,Alibaba,https://arxiv.org/pdf/2506.05176,https://huggingface.co/papers/2506.05176,本文介绍了基于Qwen3基础模型的Qwen3 Embedding系列，该系列通过多阶段训练策略和模型融合技术，显著提升了文本嵌入和重排序能力。利用大规模无监督预训练结合高质量监督微调，模型在多语言理解和生成方面表现出色。Qwen3 Embedding提供多种规模选择，兼顾效率与效果，且在多语言评测和多种检索任务中达到领先水平。该系列模型已开源，支持社区研究和应用推广。,32
Surfer-H Meets Holo1: Cost-Efficient Web Agent Powered by Open Weights,Surfer-H 遇见 Holo1：由开源权重驱动的高性价比网页智能体,Agent,Other,https://arxiv.org/pdf/2506.02865,https://huggingface.co/papers/2506.02865,本文提出了Surfer-H，一种结合了开源视觉-语言模型集合Holo1的高效网页智能代理。Holo1通过多样化数据训练，专注于网页导航和信息提取，显著提升了用户界面操作的准确性和效率。Surfer-H在WebVoyager任务中达到92.2%的领先表现，实现了性能与成本的最佳平衡。为促进相关领域研究，作者开源了WebClick评测数据集及Holo1模型权重，推动智能代理系统的发展与应用。,27
"The Common Pile v0.1: An 8TB Dataset of Public Domain and Openly
  Licensed Text",The Common Pile v0.1：一个包含公共领域及开放许可文本的8TB数据集,LLM,Other,https://arxiv.org/pdf/2506.05209,https://huggingface.co/papers/2506.05209,本文介绍了Common Pile v0.1数据集，这是一个包含8TB公开许可文本的大型语料库，涵盖科研论文、代码、图书、百科等多个领域。作者利用该数据集训练了两款7亿参数的大型语言模型，模型性能与使用未经授权文本训练的同类模型相当。该工作为在合法合规的基础上训练高性能语言模型提供了重要资源，并公开了数据集、构建代码及训练模型，推动了开放、透明的人工智能研究。,26
"VideoREPA: Learning Physics for Video Generation through Relational
  Alignment with Foundation Models",VideoREPA：通过与基础模型的关系对齐学习视频生成中的物理知识,Diffusion Model,Other,https://arxiv.org/pdf/2505.23656,https://huggingface.co/papers/2505.23656,本文提出了VideoREPA，一种通过对视频理解基础模型的物理知识进行关系层面对齐，提升文本生成视频模型物理常识理解的新框架。该方法引入了Token Relation Distillation损失，通过时空关系的软指导，针对预训练文本到视频模型进行微调，从而显著增强生成视频的物理合理性。实验证明，VideoREPA在多个物理相关基准测试中优于现有方法，能够生成更符合直观物理规律的视频内容，推动了文本到视频生成技术在物理真实性方面的发展。,24
Aligning Latent Spaces with Flow Priors,利用流模型先验对潜在空间进行对齐,Other,Tencent,https://arxiv.org/pdf/2506.05240,https://huggingface.co/papers/2506.05240,本文提出了一种新颖方法，通过预训练的流式生成模型作为先验，实现可学习潜在空间与任意目标分布的对齐。该方法利用固定的流模型对潜在空间施加对齐损失，避免了传统方法中计算复杂的似然估计和常微分方程求解。理论证明了对齐损失可作为优化潜在变量对数似然的有效替代目标。实验在ImageNet图像生成任务中验证了方法的有效性，展示了其在潜在空间结构化和生成性能上的优势，为潜在空间对齐提供了新的思路。,23
