标题,中文标题,发布日期,领域分类,研究机构,PDF链接,论文链接,arXiv ID,简明摘要
PhysCtrl: Generative Physics for Controllable and Physics-Grounded Video Generation,PhysCtrl：用于可控且基于物理的生成式视频生成的物理机制,24 Sep 2025,Diffusion Model,Other,http://arxiv.org/pdf/2509.20358v1,http://arxiv.org/abs/2509.20358v1,2509.20358v1,本文提出了PhysCtrl，一种基于物理原理的图像到视频生成框架，能够通过物理参数和力的控制生成具有真实物理动态的视频。该方法利用扩散模型学习四种材料（弹性体、沙子、塑形泥和刚体）的三维运动轨迹，结合新颖的时空注意力机制模拟粒子间相互作用，并通过物理约束提升生成结果的合理性。实验表明，PhysCtrl在视觉效果和物理真实性方面均优于现有视频生成方法，实现了更高的可控性和物理可信度。
"Language Models that Think, Chat Better",能够思考的语言模型，提升聊天表现,24 Sep 2025,LLM,Other,http://arxiv.org/pdf/2509.20357v1,http://arxiv.org/abs/2509.20357v1,2509.20357v1,本文提出了一种名为RLMT的新方法，通过引导语言模型生成连贯的思考过程，并结合基于偏好的奖励优化，显著提升了模型在开放式对话和创意写作等任务中的表现。该方法在多种模型和优化算法上均优于传统的强化学习微调策略，且仅用较少数据即可达到甚至超越复杂训练流程下的效果。实验结果显示，RLMT训练的模型在多个对话和写作评测中超过了现有领先模型，展示了以“思考”驱动训练的新路径，推动了语言模型后续训练范式的革新。
Statistical Inference Leveraging Synthetic Data with Distribution-Free Guarantees,利用具分布无关保证的合成数据进行统计推断,24 Sep 2025,AI4Science,Other,http://arxiv.org/pdf/2509.20345v1,http://arxiv.org/abs/2509.20345v1,2509.20345v1,本文提出了一种通用的统计推断框架GESPI，能够有效结合高质量的合成数据与真实数据，提升样本利用效率和统计效能。该方法在合成数据质量较低时自动退回仅用真实数据的传统推断，保证误差控制在用户设定范围内，且无需对合成数据分布做假设。GESPI框架灵活适用于多种推断任务，如风险控制和假设检验，且无需修改原有方法。实验证明该方法在标注数据有限的复杂任务中具有显著优势，包括蛋白质结构预测和复杂数学问题推理。
Adaptive Event-Triggered Policy Gradient for Multi-Agent Reinforcement Learning,自适应事件触发的多智能体策略梯度方法,24 Sep 2025,Agent,Other,http://arxiv.org/pdf/2509.20338v1,http://arxiv.org/abs/2509.20338v1,2509.20338v1,本文提出了一种自适应事件触发的多智能体强化学习方法ET-MAPG，能够同时学习智能体的控制策略和触发执行的时机，有效降低了传统方法中固定时间间隔采样和通信带来的计算与通信开销。针对多智能体间的通信需求，进一步设计了基于注意力机制的AET-MAPG，使智能体能选择性地决定何时与谁通信及交换何种信息，提升了协调效率。实验结果表明，该方法在保持性能的同时显著减少了资源消耗，具有较高的实用价值。
Uncovering Graph Reasoning in Decoder-only Transformers with Circuit Tracing,利用电路追踪揭示仅解码器Transformer中的图推理机制,24 Sep 2025,LLM,Other,http://arxiv.org/pdf/2509.20336v1,http://arxiv.org/abs/2509.20336v1,2509.20336v1,本文针对基于Transformer的大型语言模型在图结构推理任务中的内部机制进行了系统研究。作者采用电路追踪方法，揭示了解码器结构的推理过程，发现了两种核心机制：信息合并与结构记忆，这两者共同支持路径推理和子结构提取。研究还量化了这些机制的表现，并分析了图的稠密度和模型规模对其影响。该工作为理解解码器Transformer在结构化推理中的行为提供了统一且直观的解释框架，推动了模型内部工作原理的深入认识。
BBoE: Leveraging Bundle of Edges for Kinodynamic Bidirectional Motion Planning,BBoE：利用边集进行运动学动力学双向运动规划,24 Sep 2025,Other,Other,http://arxiv.org/pdf/2509.20333v1,http://arxiv.org/abs/2509.20333v1,2509.20333v1,本文提出了一种名为BBoE的双向运动规划算法，旨在解决具有动力学约束的路径规划问题。该方法通过预先计算机器人状态的运动路径，并结合探索与利用策略，有效地在障碍物密集的环境中快速找到低成本且可行的路径。实验结果表明，BBoE在规划时间、路径质量和成功率方面均优于现有方法，显著提升了运动规划的效率和可靠性。
Video models are zero-shot learners and reasoners,视频模型是零样本学习者和推理者,24 Sep 2025,Other,Other,http://arxiv.org/pdf/2509.20328v1,http://arxiv.org/abs/2509.20328v1,2509.20328v1,本文展示了视频生成模型Veo 3具备显著的零样本学习能力，能够在未经过专门训练的情况下完成多种视觉任务，如物体分割、边缘检测、图像编辑、物理属性理解和工具使用模拟等。这些能力使其能够进行初步的视觉推理，如迷宫和对称性问题的解决。研究表明，视频模型正朝着类似大型语言模型的发展方向，成为统一的通用视觉基础模型，推动视觉理解领域的进步。
RAG Security and Privacy: Formalizing the Threat Model and Attack Surface,RAG安全与隐私：威胁模型与攻击面形式化,24 Sep 2025,LLM,Other,http://arxiv.org/pdf/2509.20324v1,http://arxiv.org/abs/2509.20324v1,2509.20324v1,本文针对结合大语言模型与外部文档检索的检索增强生成（RAG）系统，首次提出了系统性的安全与隐私威胁模型。作者分析了RAG在继承传统语言模型漏洞的基础上，因依赖外部知识库而带来的新攻击面，如文档内容泄露和恶意数据注入等风险。通过构建详尽的攻击者分类和关键威胁定义，论文为理解和防范RAG系统中的隐私泄露与数据篡改提供了理论基础，推动该领域安全研究的规范化发展。
VisualMimic: Visual Humanoid Loco-Manipulation via Motion Tracking and Generation,VisualMimic：通过运动追踪与生成实现的视觉类人机器人运动操控,24 Sep 2025,Embodied AI,Other,http://arxiv.org/pdf/2509.20322v1,http://arxiv.org/abs/2509.20322v1,2509.20322v1,本文提出了VisualMimic，一种结合第一人称视觉感知与分层全身控制的仿真到现实框架，用于人形机器人在复杂环境中的运动与操作。该方法通过训练一个通用的关键点跟踪器和一个基于视觉与自身状态的任务特定策略，实现了多样化动作的无缝迁移，无需外部动作捕捉设备。实验表明，VisualMimic能在真实机器人上完成搬运、推物、足球运球等多种任务，且具备良好的泛化能力，适用于室内外多种场景。
DRES: Benchmarking LLMs for Disfluency Removal,DRES：用于语音不流畅修正的大语言模型基准测试,24 Sep 2025,LLM,Other,http://arxiv.org/pdf/2509.20321v1,http://arxiv.org/abs/2509.20321v1,2509.20321v1,本文提出了DRES，一个基于人工标注的文本级基准，用于评估大型语言模型在去除语音中断词（如“嗯”、“啊”等）任务上的表现。通过系统测试多种模型和策略，研究发现简单分段能有效提升效果，而注重推理的模型易误删正常词汇，微调虽提升准确率但降低泛化能力。论文还总结了模型常见错误类型，并给出九条实用建议，旨在推动更稳健的语音处理系统发展。
Z-Scores: A Metric for Linguistically Assessing Disfluency Removal,Z-Scores：一种用于语言学评估语音不流畅去除的度量指标,24 Sep 2025,LLM,Other,http://arxiv.org/pdf/2509.20319v1,http://arxiv.org/abs/2509.20319v1,2509.20319v1,本文提出了一种名为Z-Scores的新评价指标，用于更细致地评估语音中流畅度修正的效果。相比传统的基于词汇的整体评分，Z-Scores通过区分不同类型的语音停顿和修正现象，揭示模型在具体类别上的表现优劣。该方法通过精确对齐生成文本与原始语音记录，帮助研究者发现模型的系统性弱点，从而指导针对性改进。实验证明，Z-Scores能够揭示传统指标难以察觉的问题，促进模型性能的提升。
SIM-CoT: Supervised Implicit Chain-of-Thought,SIM-CoT：监督隐式链式思维,24 Sep 2025,LLM,Other,http://arxiv.org/pdf/2509.20317v1,http://arxiv.org/abs/2509.20317v1,2509.20317v1,无法生成摘要。
