公众号,发布时间,原标题,科技报告标题,摘要,领域分类,研究机构,行业大佬,URL
机智流,2025-07-04 08:43:12,Q2 强化学习 TOP 20 论文：RL正在拷问LLM的极限，它教给了模型新知识，还是只学会了“找答案”？,强化学习在大语言模型中的应用与能力扩展研究综述,本文盘点了2025年第二季度Hugging Face平台上最受关注的20篇强化学习（RL）相关论文，探讨RL在大语言模型（LLM）中的作用及其是否带来了新能力或仅优化了已有知识的采样效率。文章涵盖了RL在自我反思、预训练、推理路径优化及长时间训练中的创新方法，重点分析了RL对模型推理边界的扩展及训练效率的提升，反映出RL正成为推动LLM能力进化的重要技术路径。,LLM,"Microsoft, THU, PKU, Alibaba",,https://mp.weixin.qq.com/s/5e0Ao0gHy_vRnSPXGv4MSA
新智元,2025-07-04 08:25:48,刚刚，Ilya官宣出任SSI CEO！送走「叛徒」联创，豪言不缺GPU,Ilya Sutskever出任SSI首席执行官，拒绝Meta收购，专注安全超级智能研发,Ilya Sutskever正式担任安全超级智能公司（SSI）CEO，Daniel Levy任总裁。SSI拒绝了Meta提出的320亿美元收购要约，强调保持独立性和专注于开发安全且协调一致的超级人工智能。SSI虽神秘且员工规模小，但已获谷歌、英伟达等顶级投资，估值达320亿美元。Ilya作为前OpenAI首席科学家，致力于实现通用人工智能（ASI），展现出强烈的理想主义和信念。,AGI,Other,"Ilya Sutskever, Daniel Levy, Daniel Gross, Mark Zuckerberg, Yann LeCun",https://mp.weixin.qq.com/s/F0Hp5JHvruoHOzLc0j1FDw
新智元,2025-07-04 08:25:48,Ilya尘封10年录音曝光！大二入Hinton门下，竟坦言机器学习反直觉,Ilya Sutskever十年前对深度学习的洞察与预见,本文回顾了Ilya Sutskever在2015年接受采访时对深度学习的理解和预见，揭示了他早期对机器学习反直觉的感受及其与Jeff Hinton合作的经历。Ilya强调了监督学习在机器学习中的成功地位，指出深度神经网络的强大表达能力及其简单易懂的学习算法，体现了他对深度学习未来发展的远见和清醒认识。,LLM,Other,"Ilya Sutskever, Jeff Hinton",https://mp.weixin.qq.com/s/YfMVQGUcNEzvIASt9DMdrQ
机器之心,2025-07-04 08:10:31,刚刚，Ilya Sutskever宣布自任CEO：联创被Meta挖走了,Ilya Sutskever自任Safe Superintelligence CEO，Meta挖走联合创始人Daniel Gross,OpenAI联合创始人Ilya Sutskever宣布正式担任Safe Superintelligence（SSI）首席执行官，接替已退出的联合创始人Daniel Gross。SSI成立于去年6月，专注于安全超级智能的研发，估值达320亿美元。Meta曾试图全资收购SSI，并成功挖走Daniel Gross。SSI坚持“平稳扩展”战略，暂未推出具体产品。Sutskever将面临技术管理与公司运营的双重挑战。,AGI,"Meta, OpenAI","Ilya Sutskever, Daniel Gross, Daniel Levy, Mark Zuckerberg, Alexandr Wang",https://mp.weixin.qq.com/s/0cX2AbzXXGTW2y07SNJLvA
机器之心,2025-07-04 08:10:31,首个GUI多模态大模型智能体可信评测框架+基准：MLA-Trust,MLA-Trust：面向GUI多模态大模型智能体的可信度评测框架与基准,本文提出了MLA-Trust，首个针对图形用户界面环境下多模态大模型智能体的可信度评测框架，涵盖真实性、可控性、安全性与隐私性四个核心维度。通过设计34项高风险交互任务，评估了13个先进多模态大语言模型智能体，揭示了其在动态交互中的可信风险。该框架提供模块化评估工具，支持多样化环境下的持续可信度监测，推动多模态智能体在现实应用中的安全可靠部署。,Agent,THU,,https://mp.weixin.qq.com/s/RaDHbPNDzjsNWBSC1C5TLw
深度学习自然语言处理,2025-07-03 23:57:56,邱锡鹏老师团队发现SFT与DPO破壁统一：内隐奖励作为桥梁,SFT与DPO的统一视角及其在大型语言模型后训练中的应用,本文提出监督微调（SFT）与基于人类反馈的偏好学习（DPO）本质上通过隐式奖励函数优化策略，二者共享相同的策略-奖励子空间。研究揭示传统SFT中KL散度项退化为常数，导致模型更新缺乏约束，进而提出小学习率及基于f散度的新目标函数改进方案，显著提升模型性能（相对增益达25%）。此外，论文证明语言模型的Logits可视为隐式Q函数，扩展了对后训练机制的理解，为LLM对齐提供新视角。,LLM,Other,邱锡鹏,https://mp.weixin.qq.com/s/_nzYH648WPIcIH8fi1Sgow
机智流,2025-07-03 23:48:22,中山大学&华为联合提出 Issue Resolution 数据集构建神器SWE-Factory：每条只要$0.024,中山大学与华为联合提出SWE-Factory：自动化构建软件Issue解决数据集的多智能体框架,本文介绍了中山大学和华为联合开发的SWE-Factory，一种基于多智能体框架的自动化工具，能够高效自动完成软件Issue解决数据集的环境搭建、测试验证及质量评估。该工具通过复用环境配置和基于退出码的自动评分方法，显著降低了数据集构建的时间和成本，解决了传统方法中繁琐的手工操作和高昂成本问题。,Agent,Other,,https://mp.weixin.qq.com/s/8IC6U_YYO9a8A7TX2dFYIw
机智流,2025-07-03 23:48:22,0703资讯：智谱开源新一代通用视觉语言推理模型｜Cursor上线网页与移动端智能体｜百度发布视频生成模型MuseSteamer,2025年7月AI前沿动态：智谱多模态视觉语言模型开源与百度视频生成模型发布,本文报道了2025年7月初AI领域的多项重要进展，包括智谱AI开源新一代通用视觉语言推理模型GLM-4.1V-Thinking及其Agent应用空间扶持计划，Cursor平台推出支持多任务并行的网页与移动端智能体，通义千问发布支持三大中文方言的语音合成模型Qwen-TTS，以及百度发布全球首个中文音视频一体化生成视频大模型MuseSteamer，推动多模态AI和智能体技术的应用与发展。,Multimodal LLM,"THU, Alibaba",,https://mp.weixin.qq.com/s/mtzcjrgSqXJoh93EgrxteQ
AINLP,2025-07-03 22:39:24,KimiResearcher背后的技术思考，关于端到端的RL,基于端到端强化学习的KimiResearcher智能体技术探索,本文介绍了KimiResearcher智能体背后的端到端强化学习技术，强调通过自主探索和试错让模型进化出强大的研究能力。相比传统的Workflow拼装和模仿学习方法，端到端强化学习赋予Agent更高的灵活性和能力上限，实现了在Humanity's Last Exam评测中达到26.9%的SOTA成绩，展现了强化学习在智能体训练中的巨大潜力和智能行为的涌现。,Agent,Other,冯一尘,https://mp.weixin.qq.com/s/7Um1SuEyJ6CLWY9APAX2aw
AINLP,2025-07-03 22:39:24,Agent框架OWL原理详解,基于OWL框架的多智能体系统原理与实现解析,本文详细介绍了开源多智能体框架OWL的设计与实现原理。OWL基于camel库进行封装，采用多智能体架构，包括user agent、assistant agent及critic model等角色，通过系统提示词协调交互，支持任务细化与分解。文章结合代码实例，解析了任务改写、任务计划及智能体间的协同机制，展示了OWL在agent benchmark GAIA中的优异表现及其复杂的底层实现细节。,Agent,Other,,https://mp.weixin.qq.com/s/aYF0y5VVK_jjovbBk3yFCQ
