公众号,发布时间,原标题,科技报告标题,摘要,领域分类,研究机构,行业大佬,URL
机智流,2025-09-07 00:28:56,Agentic RL综述、UI-TARS-2｜本周23篇RL强化学习方向论文,Agentic RL综述及多模态大语言模型自适应思考能力研究进展,本文综述了Agentic强化学习在大语言模型中的应用，系统定义了智能体增强范式，涵盖规划、工具调用、记忆管理及自我改进等核心模块，并梳理了500余项最新研究。同时介绍了腾讯混元团队提出的R-4B模型，通过双模退火和强化学习实现多模态大语言模型的自适应思考能力，显著提升推理效率与性能。文章还提及了相关开源环境、RL框架及评估基准，指出未来挑战包括可信赖性、训练规模化及环境复杂度提升。,Agent,Tencent,,https://mp.weixin.qq.com/s/0rmLLhU62VHysI9JUg2_LQ
包包算法笔记,2025-09-06 23:20:12,AgenTracer：Agent系统错误自动归因,AgenTracer：多智能体系统失败归因的自动化框架,本文介绍了AgenTracer框架，针对多智能体系统执行失败时的根因定位问题，提出了全自动失败轨迹标注管线和基于多粒度强化学习的轻量级追踪器AgenTracer-8B。该方法通过反事实回放和程序化故障注入生成高质量数据集，并在失败归因任务中显著超越现有大型闭源模型，提升了多智能体系统的可靠性和故障诊断能力。,Agent,Other,,https://mp.weixin.qq.com/s/TPxKPrJeu3CDjak8KxmL-w
新智元,2025-09-07 01:00:58,奥特曼一席话，剑桥小哥当场撕毁合约转AI！附00后44万AI岗面经,剑桥音乐才子转型AI创业，押注第四次工业革命,Alexander Cobb，剑桥大学经济学硕士及音乐才子，受OpenAI CEO Sam Altman演讲启发，放弃音乐事业，专注自学编程和AI技术。经过十个月的刻苦学习和多次黑客松获奖，他开始AI创业，坚信AI将引发类似互联网的第四次工业革命，成为未来十年的黄金机遇。,Other,OpenAI,Sam Altman,https://mp.weixin.qq.com/s/NrwO355J1vYm6a6RpK26Zg
CAAI认知系统与信息处理专委会,2025-09-07 03:10:39,Science Robotics 明胶基水凝胶 “电子皮肤” ，能识触摸、测环境，还能模仿人手感知世界,基于明胶水凝胶的高密度多模态电子皮肤及其信息结构化设计,"英国剑桥大学团队开发了一种以明胶为基材的高灵敏度水凝胶电子皮肤，结合高密度电阻抗断层扫描技术，实现了多达863,040条信号通路的多模态感知。该系统能识别多种刺激类型，并通过数据驱动方法优化信息通道，实现触觉定位和环境监测等功能。研究为软体机器人和可穿戴设备的多模态软传感提供了高效的信息结构化设计方案。",Embodied AI,Other,Fumlya Iida,https://mp.weixin.qq.com/s/Zf3zjy_nnlYmrHmN9zAihQ
深度学习自然语言处理,2025-09-07 06:59:02,大突破！实验证明，RL能为LLM注入“创新”能力,强化学习提升大型语言模型组合技能能力的实验证明,本文通过设计精巧的字符串转换预测任务，实验证明强化学习（RL）能够使大型语言模型（LLM）学会将已有的原子技能组合成更复杂的元技能，从而解决更复杂的组合性问题。研究指出，RL不仅提升模型的自信度，更真正赋予模型新的组合推理能力，且该能力可泛化至更复杂及不同的新任务。该成果为LLM训练范式提供了指导，建议先通过预训练和监督微调打好基础技能，再通过组合性RL训练提升模型能力。,LLM,Other,,https://mp.weixin.qq.com/s/8E_45BU5HaZKpCLFnNAD0Q
深度学习自然语言处理,2025-09-07 06:59:02,挑战Claude4的8B Agent！NUS提出AgenTracer：面向多智能体系统的失败归因,AgenTracer：面向多智能体系统的失败归因方法及其8B模型实现,本文介绍了新加坡国立大学提出的AgenTracer框架，针对多智能体系统中失败归因的复杂性，设计了全自动的失败轨迹标注管线和基于多粒度强化学习的轻量级追踪器AgenTracer-8B。该方法有效定位导致系统失败的决定性错误，显著提升了失败归因的准确率，优于现有大型闭源模型。研究构建了高保真度失败轨迹数据集TracerTraj，为多智能体系统的可靠性提升提供了重要支持。,Agent,Other,Guibin Zhang,https://mp.weixin.qq.com/s/7DRlwvBUAIfemvqY4evolA
量子位,2025-09-07 05:50:06,幸好图灵不是一位好棋手,图灵与国际象棋对AI发展影响的历史回顾,本文回顾了图灵在布莱切利庄园期间与唐纳德·米奇的国际象棋交流及其对早期AI研究的启发。图灵棋艺平庸，促成了与米奇的合作，推动了博弈树算法和启发式搜索的发展，这些技术成为现代AI智能决策的基础。文章强调了启发式搜索在复杂问题计算中的重要作用及其广泛应用。,Agent,Other,"Alan Turing, Donald Michie, Jack Good",https://mp.weixin.qq.com/s/7m3DXf7LFm8H5gUKKzUqDA
深度奇点,2025-09-07 05:31:26,Nat. Biomed. Eng. | 面向开放世界医学影像分割的通用基础模型与数据库,面向开放世界医学影像分割的通用基础模型与数据库构建,本文介绍了MedSegDB，一个涵盖134个数据集的广泛医学影像分割数据库，以及基于此数据库提出的通用医学影像分割模型MedSegX。该模型采用情境适配专家混合机制（ConMoAE），有效缓解负迁移问题，提升跨任务适配性。实验结果显示，MedSegX在分布内、分布外及真实临床场景中均表现优异，具备高效的零样本和少样本泛化能力，显著优于现有模型，展示了其在医学影像分割领域的广泛应用潜力。,Other,Other,,https://mp.weixin.qq.com/s/2-eak2sRQ9oZXl4SGmNnIg
机器之心,2025-09-07 05:10:24,国内外AI大厂重押，初创梭哈，谁能凭「记忆」成为下一个「DeepSeek」？,大模型记忆能力的研究进展与应用趋势分析,本文探讨了大模型具备类人记忆能力的重要性及其对AI发展的推动作用。文章回顾了国内外主要AI厂商和初创企业在记忆系统上的最新进展，包括Anthropic、谷歌、字节跳动、OpenAI等的相关产品和技术布局。重点介绍了记忆张量团队及中国科学院院士鄂维南牵头的Memory³模型，提出通过分层记忆结构提升推理效率和减少幻觉现象。整体来看，记忆能力被视为未来大模型技术和应用的关键突破口。,Agent,"OpenAI, ByteDance, Meta","Sam Altman, 鄂维南, 李志宇",https://mp.weixin.qq.com/s/HYoyAJ5tV5FivXqeL0Vqjw
机器之心,2025-09-07 05:10:24,斯坦福：优化器「诸神之战」？AdamW 凭「稳定」胜出,斯坦福团队评估AdamW及矩阵型优化器在大规模语言模型预训练中的性能表现,斯坦福大学Percy Liang团队系统比较了十一种深度学习优化器在不同模型规模和数据比例下的表现。研究发现，经过独立调优的AdamW依然是预训练的稳健首选，尽管矩阵型预条件子优化器（Muon、Soap、Kron）在特定条件下能实现30-40%的加速。研究强调公平超参数调优和充分训练时间的重要性，指出以往小规模模型和短期评估可能导致误导性结论。,LLM,Other,Percy Liang,https://mp.weixin.qq.com/s/zC9waUxOwPT-m6QN-8IPuA
机器之心,2025-09-07 05:10:24,字节跳动Seed推出「机器人大脑」Robix：让机器人学会思考、规划与灵活互动,字节跳动Seed团队发布统一视觉语言模型Robix以提升机器人思考与交互能力,字节跳动Seed团队推出Robix，一种统一的视觉语言模型，旨在提升机器人在复杂任务中的思考、规划与灵活交互能力。Robix通过端到端多模态架构整合推理、任务规划和人机交互，实现对模糊指令的理解、实时反馈响应及动态决策。该系统采用层次化设计，将高阶认知与低阶控制分离，显著增强机器人在真实环境中的适应性和智能表现。,Embodied AI,ByteDance,,https://mp.weixin.qq.com/s/S2TY124YgC7sx1VkVZviXg
老刘说NLP,2025-09-07 04:58:37,再看知识图谱如何用于生成大模型复杂多跳推理数据？基于wiki百科+迭代合成的思路,基于知识图谱的多跳推理数据合成方法研究及应用,本文介绍了利用知识图谱结合大语言模型生成复杂多跳推理数据的最新研究进展，重点分析了基于维基百科和医学百科数据的迭代合成思路。通过构建知识图谱子图，采样最长推理路径，并利用LLM生成多步推理问题，实现了面向医疗领域的高质量多跳问答对数据合成。文章详细阐述了MedResearcher-R1框架的实现细节和代码逻辑，强调了该方法在科研和工业界的借鉴价值。,LLM,Other,,https://mp.weixin.qq.com/s/X-314CtB0XZLp4rg2Hr8eQ
量子位,2025-09-07 04:33:02,3999让机器人家务全包，抱抱脸联合创始人：开源YYDS！,XLeRobot：基于开源硬件与强化学习的低成本家用机器人平台,XLeRobot是由中国研究员王高天发起的开源家用机器人项目，零件成本仅3999元，具备擦桌子、浇水和陪猫玩等多功能。项目结合多开源硬件和强化学习算法，支持快速组装和安全使用，适合DIY爱好者和机器人研究实践。团队成员包括王高天及其他三位贡献者，项目已在GitHub获得广泛关注，并计划推出开发者组装套件。,Embodied AI,Other,"王高天, Thomas Wolf",https://mp.weixin.qq.com/s/zCWEv1Nd7kCfxQ4HwfMV-w
