标题,中文标题,发布日期,领域分类,研究机构,PDF链接,论文链接,AlphaXiv链接,简明摘要,点赞数
"When To Solve, When To Verify: Compute-Optimal Problem Solving and Generative Verification for LLM Reasoning",何时求解，何时验证：计算最优的问题解决与大语言模型推理的生成验证,01 Apr 2025,LLM,DeepMind,https://arxiv.org/pdf/2504.01005,https://www.arxiv.org/abs/2504.01005,https://www.alphaxiv.org/abs/2504.01005,本论文探讨了在大语言模型（LLM）推理中，如何在解决问题与验证答案之间进行计算优化。研究比较了自一致性（SC）和生成奖励模型（GenRM）在固定推理预算下的表现。结果表明，SC在大多数实际预算下更为计算高效，尤其在较低预算时，使用最多8倍的计算资源即可超越GenRM。论文还揭示了GenRM在计算资源消耗方面的局限性，提供了在测试时优化解决方案生成与验证的实用指导。这项研究为提高LLM的推理能力提供了重要见解。,38
m1: Unleash the Potential of Test-Time Scaling for Medical Reasoning with Large Language Models,m1：释放大语言模型在医学推理中的测试时间缩放潜力,01 Apr 2025,LLM,Amazon,https://arxiv.org/pdf/2504.00869,https://www.arxiv.org/abs/2504.00869,https://www.alphaxiv.org/abs/2504.00869,本文探讨了测试时间扩展（test-time scaling）在医学推理中的应用，提出了一种名为m1的方法，以提高大型语言模型（LLMs）在医学领域的推理能力。研究表明，通过增加“思考”令牌预算，m1能够显著提升模型在各种医学问答任务中的表现，尤其是10B参数的轻量级模型达到了新的最优水平。尽管32B模型的表现与70B规模的模型相当，但发现最佳的推理令牌预算约为4K，超出该范围可能导致性能下降。此外，研究指出，丰富的医学知识是实现性能提升的关键，而不仅仅是推理深度的增加。这些发现强调了医学推理与其他领域的根本差异。,32
WISE-TTT:Worldwide Information Segmentation Enhancement,WISE-TTT：全球信息分割增强,01 Apr 2025,Other,Other,https://arxiv.org/pdf/2504.00879,https://www.arxiv.org/abs/2504.00879,https://www.alphaxiv.org/abs/2504.00879,论文提出了一种新架构WISE-TTT，通过将测试时训练（TTT）机制与Transformer架构相结合，解决了视频多目标分割中的长期依赖问题。该方法通过压缩历史时间数据生成包含全球信息的隐藏状态，从而实现多阶段上下文聚合。实验结果表明，WISE-TTT在Davis2017长视频基准测试中提高了3.1%的准确率，验证了全球信息在分割性能中的重要性。此研究为下一代跟踪系统奠定了基础，展示了自适应上下文感知分割技术的新范式。,7
Inference-Time Scaling for Generalist Reward Modeling,通用奖励建模的推理时间扩展,03 Apr 2025,LLM,THU,https://arxiv.org/pdf/2504.02495,https://www.arxiv.org/abs/2504.02495,https://www.alphaxiv.org/abs/2504.02495,本论文探讨了如何提升通用奖励建模的推理时间可扩展性，以改善大型语言模型（LLMs）的强化学习效果。研究提出了一种新的学习方法——自我原则批评调优（SPCT），通过在线强化学习促进奖励生成，进而提高模型的灵活性和准确性。作者采用了点对点生成奖励建模（GRM）和元奖励建模（Meta RM）来优化计算资源的使用，并通过并行采样提升推理性能。实验证明，SPCT显著提升了GRM的质量和可扩展性，超越了现有方法，且在多个奖励建模基准上表现优异。该研究为通用奖励系统的进一步发展提供了新的思路。,1
Generative Evaluation of Complex Reasoning in Large Language Models,大型语言模型中的复杂推理生成评估,03 Apr 2025,LLM,"PKU, THU",https://arxiv.org/pdf/2504.02810,https://www.arxiv.org/abs/2504.02810,https://www.alphaxiv.org/abs/2504.02810,本论文提出了KUMO，一个针对大型语言模型（LLMs）推理能力的生成评估框架。KUMO结合了符号引擎，动态生成多轮推理任务，旨在评估模型的真实推理能力而非简单记忆。通过对23种先进LLMs在5000个任务上的评估，研究发现许多模型在简单推理任务上超过了大学生的表现，而在复杂推理挑战中也达到了大学水平。此外，KUMO任务的表现与新发布的真实世界推理基准高度相关，证明了其作为评估LLMs推理能力的有效性和持久性。,0
From Consumption to Collaboration: Measuring Interaction Patterns to Augment Human Cognition in Open-Ended Tasks,从消费到协作：测量互动模式以增强开放式任务中的人类认知,03 Apr 2025,LLM,Other,https://arxiv.org/pdf/2504.02780,https://www.arxiv.org/abs/2504.02780,https://www.alphaxiv.org/abs/2504.02780,本论文探讨了生成性人工智能（尤其是大型语言模型）对人类认知过程的影响，特别是在开放性任务中的应用。作者提出了一种框架，通过分析人类与大型语言模型的互动模式，评估其在促进或削弱人类思维中的作用。研究重点在于理解和测量认知活动的探索与利用，以及参与的建设性与有害性。这一框架为设计能够增强人类认知能力的AI系统提供了理论基础和实践指导，旨在避免对生成答案的被动消费，从而促进更深层次的思考和解决问题的能力。,0
Affordable AI Assistants with Knowledge Graph of Thoughts,具有思维知识图的经济型AI助手,03 Apr 2025,Agent,Other,https://arxiv.org/pdf/2504.02670,https://www.arxiv.org/abs/2504.02670,https://www.alphaxiv.org/abs/2504.02670,本文提出了知识图谱思维（KGoT），一种创新的AI助手架构，旨在降低大语言模型（LLM）驱动的代理系统的运营成本并提高其任务成功率。KGoT通过动态构建知识图谱，提取并结构化任务相关知识，结合外部工具（如数学求解器和网络爬虫），使得低成本模型能够有效解决复杂任务。研究表明，KGoT在GAIA基准测试中比Hugging Face Agents（使用GPT-4o mini）提高了29%的任务成功率，同时成本降低超过36倍。这一架构为开发经济实惠且高效的AI助手提供了可扩展的解决方案。,0
Multi-Mission Tool Bench: Assessing the Robustness of LLM based Agents through Related and Dynamic Missions,多任务工具基准：通过相关和动态任务评估基于LLM的智能体的鲁棒性,03 Apr 2025,Agent,Tencent,https://arxiv.org/pdf/2504.02623,https://www.arxiv.org/abs/2504.02623,https://www.alphaxiv.org/abs/2504.02623,本论文提出了“多任务工具基准”（Multi-Mission Tool Bench），旨在评估基于大型语言模型（LLM）的智能体在复杂动态任务中的鲁棒性。现有基准主要集中于单一任务，无法反映现实世界的复杂性。该基准设计了多个相互关联的任务，要求智能体能够动态适应变化的需求。通过构建一个多智能体数据生成框架，论文探索了所有可能的任务切换模式，并引入动态决策树评价方法，以评估智能体决策的准确性和效率。实验结果揭示了影响智能体鲁棒性的关键因素，为工具调用领域的未来研究提供了重要见解。,0
BOOST: Bootstrapping Strategy-Driven Reasoning Programs for Program-Guided Fact-Checking,BOOST: 基于引导策略的推理程序的引导生成用于程序指导的事实核查,03 Apr 2025,LLM,Other,https://arxiv.org/pdf/2504.02467,https://www.arxiv.org/abs/2504.02467,https://www.alphaxiv.org/abs/2504.02467,本文提出了BOOST，一个基于引导的框架，用于生成少量示例的推理程序，以支持复杂的事实核查。BOOST通过整合声明分解和信息收集策略，提供结构化指导，逐步优化推理程序的生成过程，避免了对人工示例的依赖。该方法实现了从零样本到少样本的无缝过渡，增强了推理的可解释性和有效性。实验结果表明，BOOST在复杂声明验证任务中优于现有的少样本基线，展示了其在自动化事实核查中的潜力。,0
LLMs as Deceptive Agents: How Role-Based Prompting Induces Semantic Ambiguity in Puzzle Tasks,大语言模型作为欺骗性智能体：基于角色的提示如何在难题任务中引发语义模糊,03 Apr 2025,Agent,Other,https://arxiv.org/pdf/2504.02254,https://www.arxiv.org/abs/2504.02254,https://www.alphaxiv.org/abs/2504.02254,本研究探讨了大型语言模型（LLMs）在生成谜题时如何利用语义模糊性进行欺骗性行为。通过比较零-shot提示与角色注入的对抗性提示，研究发现后者显著增加了谜题的复杂性和认知负担，从而降低了解题的公平性。利用HateBERT进行计算分析和人类主观评估，研究揭示了LLMs在自主决策中的新兴代理特性，并强调了在教育技术和娱乐领域安全部署自主语言系统的重要伦理考量。这些发现为理解LLMs的代理行为提供了重要见解，并为未来的研究奠定了基础。,0
