标题,中文标题,领域分类,研究机构,PDF链接,论文链接,简明摘要,Upvote数
Web-Shepherd: Advancing PRMs for Reinforcing Web Agents,Web-Shepherd：推进过程奖励模型以强化网页智能体,Agent,Other,https://arxiv.org/pdf/2505.15277,https://huggingface.co/papers/2505.15277,本文提出了首个专门用于网页导航的过程奖励模型Web-Shepherd，能够在步骤级别评估网页导航路径，有效支持训练和测试阶段。为此，作者构建了包含4万条步骤偏好对和注释清单的大规模数据集WebPRM Collection，并设计了首个过程奖励模型评估基准WebRewardBench。实验结果显示，Web-Shepherd在准确率和成本效益上均显著优于现有基于大型语言模型的奖励方法，提升了网页智能代理的性能和实用性。模型和数据集已公开，推动了网页自动化领域的发展。,77
Scaling Law for Quantization-Aware Training,量化感知训练的规模定律,LLM,ByteDance,https://arxiv.org/pdf/2505.14302,https://huggingface.co/papers/2505.14302,本文提出了一种统一的量化感知训练（QAT）规模定律，系统分析了模型规模、训练数据量和量化粒度对4位精度（W4A4）量化误差的影响。通过大量实验，发现量化误差随模型增大而减小，但随训练数据增多和量化粒度变粗而增加。论文进一步将误差分解为权重和激活两部分，揭示激活层异常值是误差瓶颈，并通过混合精度量化有效缓解该问题。研究结果为提升低精度QAT性能提供了重要指导，推动了大模型高效部署的发展。,52
MMaDA: Multimodal Large Diffusion Language Models,MMaDA：多模态大型扩散语言模型,Multimodal LLM,"ByteDance, THU, PKU",https://arxiv.org/pdf/2505.15809,https://huggingface.co/papers/2505.15809,本文提出了MMaDA，一种统一的多模态扩散基础模型，能够高效处理文本推理、多模态理解和文本生成图像等任务。该模型通过统一的扩散架构实现不同数据类型的无缝融合，采用跨模态的链式思维微调策略提升复杂任务的初始表现，并引入专门设计的强化学习算法统一优化推理与生成能力。实验表明，MMaDA在多个领域均优于现有领先模型，展示了其强大的泛化能力和应用潜力。研究成果为多模态模型的统一训练和应用提供了新思路。,43
"UniVG-R1: Reasoning Guided Universal Visual Grounding with Reinforcement
  Learning",UniVG-R1：基于强化学习的推理引导通用视觉定位多模态大语言模型,Multimodal LLM,"THU, Alibaba",https://arxiv.org/pdf/2505.14231,https://huggingface.co/papers/2505.14231,本文提出了UniVG-R1，一种结合强化学习的多模态大语言模型，旨在提升视觉定位任务中对复杂、多图像和隐式指令的推理能力。通过构建带有详细推理链的训练数据，并采用基于规则的强化学习和难度感知权重调整策略，模型有效引导正确推理路径。实验结果显示，UniVG-R1在多个视觉推理定位基准上显著优于现有方法，且具备较强的零样本泛化能力，推动了视觉定位任务向更实际和复杂场景的应用发展。,42
"Diffusion vs. Autoregressive Language Models: A Text Embedding
  Perspective",扩散模型与自回归语言模型：一种文本嵌入视角,Diffusion Model,Alibaba,https://arxiv.org/pdf/2505.15045,https://huggingface.co/papers/2505.15045,本文提出采用扩散语言模型替代传统的自回归大语言模型（LLM）进行文本嵌入，解决了自回归模型中单向注意力机制与文本嵌入任务双向需求不匹配的问题。通过系统性实验，扩散模型在长文档检索、推理密集型检索和指令跟随检索等任务上分别优于LLM嵌入模型20%、8%和2%，并在传统文本嵌入基准上表现竞争力。研究表明，双向注意力机制对于编码长且复杂文本的全局语境至关重要，推动了文本嵌入技术的进一步发展。,34
Efficient Agent Training for Computer Use,高效的计算机使用智能体训练,Agent,Other,https://arxiv.org/pdf/2505.13909,https://huggingface.co/papers/2505.13909,本文提出了PC Agent-E，一种高效的计算机操作智能体训练框架，显著减少了对大量人工示范数据的依赖。仅用312条人工标注的操作轨迹，结合利用Claude 3.7 Sonnet合成的多样化动作决策，训练出性能大幅提升的模型。在WindowsAgentArena-V2基准测试中，PC Agent-E相较于强基线提升了141%，且在不同操作系统上的泛化能力良好。研究表明，高质量且多样化的数据合成能够有效促进智能体的计算机操作能力。相关代码和数据已开源，推动后续研究发展。,30
"This Time is Different: An Observability Perspective on Time Series
  Foundation Models",这次不同：基于可观测性视角的时间序列基础模型,Other,Other,https://arxiv.org/pdf/2505.14766,https://huggingface.co/papers/2505.14766,本文提出了TOTO，一种具备1.51亿参数的时间序列预测基础模型，采用现代解码器架构并结合针对多变量观测数据特点的创新设计。TOTO利用规模远超现有模型的混合预训练数据集，包括观测数据、公开数据和合成数据。作者同时发布了包含2807个真实时间序列、3.5亿观测值的大规模基准数据集BOOM。实验证明，TOTO在BOOM及其他通用时间序列预测任务中均表现出领先性能。相关模型和数据均已开源，推动时间序列分析在大规模观测数据领域的发展。,25
Learn to Reason Efficiently with Adaptive Length-based Reward Shaping,基于自适应长度奖励塑形的高效推理学习,LLM,Other,https://arxiv.org/pdf/2505.15612,https://huggingface.co/papers/2505.15612,本文针对大型推理模型在强化学习中生成冗长推理过程导致效率低下的问题，提出了一种基于推理长度的奖励塑形方法LASER，通过设定目标长度的阶梯奖励，实现性能与效率的平衡。进一步，作者提出动态且难度感知的改进版本LASER-D，根据推理难度自适应调整奖励，更有效地结合快速与深度思考。实验证明，该方法显著提升推理效果，同时大幅减少无效冗余，提升了模型推理的整体效率。相关资源已开源。,23
"When to Continue Thinking: Adaptive Thinking Mode Switching for
  Efficient Reasoning",何时继续思考：用于高效推理的自适应思考模式切换,LLM,Other,https://arxiv.org/pdf/2505.15400,https://huggingface.co/papers/2505.15400,本文针对大型推理模型在处理简单任务时常出现的冗余计算问题，发现模型在生成答案过程中具备“内部自我恢复机制”，能够隐式补充推理。基于此，提出了一种自适应推理框架ASRR，通过动态调整推理长度，有效抑制不必要的推理步骤，同时保持准确率几乎不变。实验证明，ASRR在多种基准测试中显著降低了计算资源消耗（最高减少32.5%），并提升了模型的安全性，展示了提高推理效率和安全性的潜力。,17
Vid2World: Crafting Video Diffusion Models to Interactive World Models,Vid2World：构建视频扩散模型为交互式世界模型,Diffusion Model,THU,https://arxiv.org/pdf/2505.14357,https://huggingface.co/papers/2505.14357,本文提出了Vid2World，一种将预训练的视频扩散模型转化为交互式世界模型的方法。通过调整模型结构和训练目标，使其支持自回归生成，并引入因果动作引导机制以增强动作控制能力。该方法有效利用了大规模视频模型中蕴含的丰富动态知识，显著提升了世界模型在复杂环境中的预测质量和交互性能。实验结果表明，Vid2World在机器人操作和游戏模拟等领域展现出良好的扩展性和实用性，为高质量世界模型的构建提供了新思路。,16
lmgame-Bench: How Good are LLMs at Playing Games?,lmgame-Bench：大型语言模型玩游戏的能力如何？,Agent,Other,https://arxiv.org/pdf/2505.15146,https://huggingface.co/papers/2505.15146,本文提出了lmgame-Bench，一个基于经典视频游戏的评测平台，旨在更有效地衡量大型语言模型（LLM）在感知、记忆和规划等能力上的表现。研究发现，直接让LLM参与游戏评测存在视觉识别不稳定、对提示敏感以及数据污染等问题。lmgame-Bench通过统一接口和辅助机制解决了这些难题，涵盖平台跳跃、解谜和叙事类游戏，能区分不同模型的能力差异。实验表明，在单一游戏上进行强化学习能有效迁移至其他游戏和规划任务，展示了该平台的实用价值和广泛适用性。,14
"Deliberation on Priors: Trustworthy Reasoning of Large Language Models
  on Knowledge Graphs",先验审议：基于知识图谱的大语言模型可信推理,LLM,Other,https://arxiv.org/pdf/2505.15210,https://huggingface.co/papers/2505.15210,本文提出了一种名为“Deliberation over Priors”（DP）的框架，旨在提升大规模语言模型基于知识图谱推理的可信度。该方法充分利用知识图谱中的结构信息和约束条件，通过渐进式知识蒸馏和推理自省策略，增强模型生成路径的准确性和回答的可靠性。在多个基准数据集上的实验表明，DP显著优于现有方法，尤其在复杂问题数据集上准确率提升13%，展示了其在实际应用中提高语言模型推理可信性的潜力。,13
IA-T2I: Internet-Augmented Text-to-Image Generation,IA-T2I：互联网增强的文本到图像生成,Diffusion Model,Shanghai AI Lab,https://arxiv.org/pdf/2505.15779,https://huggingface.co/papers/2505.15779,本文提出了一种互联网增强的文本到图像生成框架（IA-T2I），旨在解决现有模型在处理文本中不确定知识时表现不佳的问题。该方法通过主动检索和层次化筛选互联网图片作为参考，辅助生成更符合文本含义的图像，并引入自我反思机制不断优化结果。作者构建了包含稀有、未知和模糊知识的测试集，并设计了基于GPT-4o的评价方法。实验表明，IA-T2I在生成质量和文本一致性上显著优于现有方法，提升了约30%的人工评价得分。,13
Constructing a 3D Town from a Single Image,基于单张图像构建三维城镇,Other,Other,https://arxiv.org/pdf/2505.15765,https://huggingface.co/papers/2505.15765,本文提出了3DTown，一种无需训练即可从单张俯视图生成高质量3D城市场景的框架。该方法通过将输入图像分解为重叠区域，利用预训练的3D对象生成器逐区域建模，并结合空间感知的3D修补技术，确保整体场景的结构连贯性和细节丰富度。相比现有方法，3DTown在几何质量、空间一致性和纹理还原方面表现更优，且不依赖3D监督或微调，展示了从单幅图像高效构建复杂3D城镇的潜力，具有广泛的实际应用价值。,13
"How Should We Enhance the Safety of Large Reasoning Models: An Empirical
  Study",我们应如何提升大型推理模型的安全性：一项实证研究,LLM,THU,https://arxiv.org/pdf/2505.15404,https://huggingface.co/papers/2505.15404,本文针对大型推理模型（LRMs）在提升推理能力的同时安全性未必得到改善的问题，开展了一项系统的实证研究。研究发现，直接利用已有安全回应进行微调效果有限，分析后识别出三种主要失败模式，并通过针对性的数据蒸馏策略显著提升安全性。此外，研究表明，复杂的推理过程并非安全提升的必要条件，简短或模板化的推理同样有效且易学。最后，融合数学推理数据有助于平衡模型安全性与拒绝率。该研究为提升LRMs安全性提供了全面的实证依据和方法指导。,10
