公众号,发布时间,原标题,科技报告标题,摘要,领域分类,研究机构,行业大佬,URL
DASOU,2025-07-11 08:54:06,211院校，降为普通本科！,部分211高校转为普通本科院校的案例分析,文章介绍了三峡大学、南昌大学抚州医学院和上海政法学院三所高校从211工程高校或其校区转变为普通本科院校的过程及其影响。三峡大学由原武汉水利电力大学与湖北三峡学院合并而成，虽失去211身份但学科实力依旧突出；南昌大学抚州医学院因校区独立发展，招生分数线下降且规模有限；上海政法学院从上海大学法学院独立后，虽失去211身份，但逐步发展硕士和博士学位点，专业建设创新。整体反映了高校身份变化对招生和发展带来的挑战与机遇。,Other,Other,,https://mp.weixin.qq.com/s/g25pZAJ9RhxC83hSn7ancA
DASOU,2025-07-11 08:54:06,刚刚，马斯克发布Grok 4！全榜第一,xAI发布Grok 4：基于大规模算力与强化学习的高性能通用人工智能模型,xAI最新发布的Grok 4模型通过投入超大规模算力和强化学习训练，实现了在多学科考试中超越大多数人类研究生和博士的表现。该模型利用20万块GPU的Colossus超算，显著提升了推理和纠错能力，并开放API供开发者使用。Grok 4 Heavy版本通过并行智能体协作进一步提升了问题解决能力，展现出强大的通用人工智能潜力。,AGI,Other,Elon Musk,https://mp.weixin.qq.com/s/QWsWENgLOpF0Crsdn9QM4A
量子位,2025-07-11 08:34:05,小扎开价14亿让他换个地方打工，库克连挽留尝试都没有,Meta以高薪挖角苹果AI团队负责人，反映AI人才争夺激烈,苹果基础模型团队负责人庞若鸣被Meta以约2亿美元薪酬包挖走，显示出AI领域人才争夺的激烈程度。Meta超级智能实验室为吸引顶尖人才，提供远超行业平均水平的薪酬待遇。相比之下，苹果未尝试匹配报价，反映出其在AI战略和人才留存上的挑战。文章还对比了Meta和谷歌的薪资水平，揭示硅谷大厂的薪酬结构与超级智能实验室的巨大差距。,AGI,"Meta, OpenAI","Mark Zuckerberg, Tim Cook, 庞若鸣, 余家辉, Alexandr Wang",https://mp.weixin.qq.com/s/7d9KEkt7pq2-XIHzw-_wOg
量子位,2025-07-11 08:34:05,Llama惨遭抛弃！Meta内部改用Claude写代码,Meta内部改用Claude替代Llama进行代码开发及未来大模型规划,Meta内部工程师已将自家Llama模型替换为Anthropic的Claude以提升代码编写效率，因Llama 4发布后评价不佳且内部存在文化问题。Meta新成立的MSL团队正并行开发下一代大模型，Llama 4.1和4.2版本在研，但是否推出Llama 5尚未确定。Anthropic的Claude凭借出色的代码能力和快速增长的收入表现突出。FAIR团队与GenAI、MSL独立，专注长期基础研究，强调研究与产品开发的周期差异。,LLM,Meta,Yann LeCun,https://mp.weixin.qq.com/s/BDCwGoG-n8YSyWvrdO1xqg
清华大学智能产业研究院,2025-07-11 07:44:23,2025 AI 向善全球峰会｜张亚勤：安全（Safety)应该是AI的基础，而非事后补充,张亚勤院士论人工智能治理与安全基础建设,2025 AI向善全球峰会中，张亚勤院士强调AI安全应作为基础而非事后补充，指出技术快速发展与治理滞后、全球竞争与责任缺失以及地缘差异是当前AI治理的三大挑战。提出建立大模型分级分类框架、明确责任主体、设立AI红线等策略，推动技术与政策融合及国际合作，促进AI安全与伦理治理的全球协同发展。,Agent,THU,张亚勤,https://mp.weixin.qq.com/s/bMxE1Jl-nZzkesnpJGC-cw
机智流,2025-07-11 00:49:50,AI时代，你的速度决定了你的高度：吴恩达YC创业学校万字干货,吴恩达关于AI创业速度与代理式AI趋势的实践分享,本文总结了吴恩达在Y Combinator创业学校的演讲内容，强调AI创业成功的关键在于执行速度。吴恩达指出，最大的商业机会在于应用层而非基础模型层，提出了代理式AI作为下一波技术浪潮，强调通过智能代理实现复杂工作流的创新。文章还强调具体想法的重要性，建议创业者聚焦可直接实现的具体方案以提升速度和效率。,Agent,Other,Andrew Ng,https://mp.weixin.qq.com/s/Sfej0pW1wHBfoBH690AsUQ
减论,2025-07-10 22:47:36,【7.10-arXiv】华南理工提出MCCD，中国书法字符图像数据集！,华南理工大学发布多属性标注的中国书法字符图像数据集及相关多任务方法,"华南理工大学提出MCCD方法，构建了包含书体、朝代和书法家三类多属性标注的7,765类329,715幅中国书法字符图像数据集，支持书法字符识别、书法家鉴定及书法演变研究。文章还介绍了多项基于扩散模型、多模态融合和大规模数据集的人类动作生成、视频重建及多模态理解等前沿研究，涉及多家高校与腾讯人工智能实验室合作。",Diffusion Model,Tencent,,https://mp.weixin.qq.com/s/YSFie-wWGQaoCiW9fvGxWQ
减论,2025-07-10 22:47:36,【减宝日记】24天龄《快十斤啦》,24天龄婴儿体重增长观察记录,本文记录了一名24天龄婴儿从7斤增重至近10斤的成长过程，描述了婴儿体重增长、饮食情况及身体特征的变化，反映了婴儿健康成长的状态。,Other,Other,,https://mp.weixin.qq.com/s/8YiBdB2MKKFxDONqJCDxfQ
减论,2025-07-10 22:47:36,【视频arXiv减辑】cs.CV（7月10日）,2025年7月10日计算机视觉领域arXiv论文精选视频摘要,本文为微信公众号“减论”发布的2025年7月10日计算机视觉（cs.CV）领域arXiv论文精选视频摘要。内容主要涉及代码片段和文本溢出处理的技术实现，未包含具体的研究成果或机构信息，旨在为读者提供最新的计算机视觉领域研究动态。,Other,Other,,https://mp.weixin.qq.com/s/peSM7wQ6Q5oGqx3_dUXnZg
机智流,2025-07-10 22:25:09,ICCV25 | AI终于分清照片中的前景和背景了！探索南开DenseVLM在密集预测中的区域-语言对齐策略,DenseVLM: 无偏区域-语言对齐的开放词汇密集预测方法,本文介绍了由南开大学程明明实验室等联合提出的DenseVLM框架，旨在解决预训练视觉语言模型在密集预测任务中存在的前景偏见问题。通过利用固定的强大预训练VLM作为教师模型，DenseVLM实现了对前景与背景区域的解耦对齐训练，有效提升了开放词汇目标检测和图像分割的性能，并展现出良好的零样本扩展能力。,Multimodal LLM,Other,"李运恒, 侯淇彬",https://mp.weixin.qq.com/s/y5ZL972xBckrgBva-2yfHw
