标题,中文标题,发布日期,领域分类,研究机构,PDF链接,论文链接,arXiv ID,简明摘要
Multimodal Large Language Models for Low-Resource Languages: A Case Study for Basque,面向低资源语言的多模态大语言模型：以巴斯克语为例,12 Nov 2025,Multimodal LLM,Other,,http://arxiv.org/abs/2511.09396v1,2511.09396v1,本文针对低资源语言巴斯克语，开发了多模态大语言模型（MLLM），并构建了专门的图文训练与评估数据集。研究发现，仅使用约20%的巴斯克语多模态数据即可在相关基准测试中取得良好表现，且无需专门适配的巴斯克语语言模型作为基础。该工作不仅提升了巴斯克语多模态模型的性能，也为其他低资源语言的多模态模型开发提供了宝贵经验和开放资源支持。
History-Aware Reasoning for GUI Agents,面向GUI智能体的历史感知推理,12 Nov 2025,Agent,Other,,http://arxiv.org/abs/2511.09127v1,2511.09127v1,本文提出了一种历史感知推理框架（HAR），旨在提升图形用户界面（GUI）自动化代理在长时间任务中的表现。通过增强代理对历史交互的记忆和反思能力，HAR有效解决了现有方法在处理连续操作时忽视历史信息的问题。基于该框架，作者开发了端到端模型HAR-GUI-3B，实现了从无视历史到利用历史的推理转变。实验结果表明，该方法显著提升了GUI代理的稳定性和任务执行准确性，具备良好的适应性和推广能力。
Self-Correcting Large Language Models: Generation vs. Multiple Choice,自我纠正大型语言模型：生成式与多项选择的比较,12 Nov 2025,LLM,Other,,http://arxiv.org/abs/2511.09381v1,2511.09381v1,本文系统比较了大语言模型在开放式文本生成与多项选择两种任务中的自我纠错表现。研究发现，开放式生成通过灵活的重构和细化常能提升答案质量，而多项选择则依赖明确选项边界，但受限于预设答案。该差异揭示了语言模型在不同任务结构和输出形式下的纠错机制应有所区别，强调了设计自我纠错策略时需结合具体应用需求，尤其对知识推理和决策任务具有重要指导意义。
"PAN: A World Model for General, Interactable, and Long-Horizon World Simulation",PAN：一种用于通用、可交互及长时域世界模拟的世界模型,12 Nov 2025,Agent,Other,,http://arxiv.org/abs/2511.09057v1,2511.09057v1,本文提出了PAN，一种能够基于历史信息和自然语言指令进行高质量视频模拟的通用世界模型。PAN结合了大语言模型驱动的潜在动态预测与视频生成技术，实现了对未来世界状态的长期、交互式预测。通过在多领域大规模视频与动作数据上训练，PAN不仅支持开放域的动作条件模拟，还在长期预测和推理任务中表现出色，推动了具备因果控制和交互能力的通用世界模型的发展。
MM-CRITIC: A Holistic Evaluation of Large Multimodal Models as Multimodal Critique,MM-CRITIC：大型多模态模型作为多模态批判能力的整体评估,12 Nov 2025,Multimodal LLM,Other,,http://arxiv.org/abs/2511.09067v1,2511.09067v1,本文提出了MM-CRITIC，一个全面评估大型多模态模型批判能力的基准，涵盖基本评价、纠正和比较三个维度，涉及8类任务和500多个具体测试。通过结合专家答案和GPT-4o辅助评分，MM-CRITIC实现了对模型批判表现的可靠评价。实验结果展示了主流多模态模型在批判能力上的表现差异，并揭示了批判质量与模型响应质量的关联及不同评价维度的难度差异。该工作为多模态模型自我改进和辅助应用提供了重要参考和工具支持。
RGMP: Recurrent Geometric-prior Multimodal Policy for Generalizable Humanoid Robot Manipulation,RGMP：用于通用人形机器人操作的递归几何先验多模态策略,12 Nov 2025,Embodied AI,Other,,http://arxiv.org/abs/2511.09141v1,2511.09141v1,本文提出了一种名为RGMP的端到端框架，旨在提升类人机器人在多样化操作任务中的泛化能力和数据效率。该方法结合了几何先验知识与多模态感知，通过引入几何引导的技能选择器和递归高斯网络，有效建模机器人与目标物体的空间关系，实现了灵巧且节省训练数据的运动生成。实验结果显示，RGMP在不同机器人平台上均表现出较高的任务成功率和显著优于现有方法的数据利用效率，体现了其在复杂环境下的适应性和实用价值。
Tele-LLM-Hub: Building Context-Aware Multi-Agent LLM Systems for Telecom Networks,Tele-LLM-Hub：面向电信网络构建上下文感知多智能体大语言模型系统,12 Nov 2025,Agent,Other,,http://arxiv.org/abs/2511.09087v1,2511.09087v1,本文提出了Tele-LLM-Hub，一种面向5G及更高级电信网络的低代码平台，支持快速构建和部署具备上下文感知能力的多智能体大语言模型系统。通过引入TeleMCP协议，实现了智能体之间在复杂网络环境中的结构化信息共享。该平台提供直观的聊天界面、预置系统库及智能体创建工具，简化了多智能体工作流的设计与集成。Tele-LLM-Hub旨在降低开发门槛，推动面向未来无线网络的智能应用创新。
Hallucinate or Memorize? The Two Sides of Probabilistic Learning in Large Language Models,幻觉还是记忆？大语言模型中概率学习的双重面向,12 Nov 2025,LLM,Other,,http://arxiv.org/abs/2511.08877v1,2511.08877v1,本文研究了大型语言模型在生成文献引用时的准确性问题，特别关注模型是“生成”还是“记忆”引用内容。通过分析GPT-4.1在不同计算机科学领域生成的100条引用，发现引用频率较高的论文更容易被模型准确记忆，且当引用次数超过约1000次时，模型几乎能准确复述原始文献信息。同时，多篇高被引论文内容相似时会导致记忆干扰。研究揭示了模型从泛化生成向精确记忆的转变阈值，为理解和减少模型引用虚假文献提供了重要参考。
Leveraging Large Language Models for Use Case Model Generation from Software Requirements,利用大语言模型从软件需求生成用例模型,12 Nov 2025,LLM,Other,,http://arxiv.org/abs/2511.09231v1,2511.09231v1,本文提出了一种利用大型语言模型辅助从软件需求中自动生成用例模型的方法，旨在简化传统手工建模过程。通过结合开放权重的语言模型和优化提示设计，系统能够自动提取参与者和用例。与五位专业软件工程师的对比实验表明，该方法在保证模型质量的同时，将建模时间缩短了60%。此外，参与者反馈该方法在建模过程中提供了有效指导，显著提升了效率和用户体验。该研究展示了人工智能技术在软件需求分析中的应用潜力。
Efficient Reasoning via Reward Model,通过奖励模型实现高效推理,12 Nov 2025,LLM,OpenAI,,http://arxiv.org/abs/2511.09158v1,2511.09158v1,本文针对大型语言模型推理过程中常见的冗长且低效的问题，提出了一种训练简洁性奖励模型的新方法。通过设计一种新的奖励函数，结合推理结果和简洁性评分，显著提升了推理的准确性和效率。理论分析表明该方法在训练稳定性和收敛速度上具有优势。实验证明，该方法在多个数学基准测试中提升了模型性能，同时减少了生成文本的长度，且对不同模型具有良好的适用性。相关代码和数据已公开，便于复现和推广。
