公众号,发布时间,原标题,科技报告标题,摘要,领域分类,研究机构,行业大佬,URL
量子位,2025-09-08 03:04:53,光刻机巨头ASML，108亿控股了一家大模型公司,ASML领投法国大模型公司Mistral AI，推动半导体与AI深度融合,荷兰光刻机巨头ASML以约108亿元人民币成为法国AI公司Mistral AI的最大股东，领投其17亿欧元C轮融资，助推公司估值达100亿欧元。Mistral AI以开源与商业化并行发展，推出多款高性能大模型及应用产品。此次投资标志着ASML从硬件制造向AI应用层延伸，未来有望将AI技术整合进光刻机生产流程，提升芯片制造效率和良率，实现半导体制造与AI的垂直整合。,LLM,Other,,https://mp.weixin.qq.com/s/1TvV4WgzMMLY5Jd0DTAiIA
CAAI认知系统与信息处理专委会,2025-09-08 02:50:39,字节跳动Seed推出「机器人大脑」Robix：让机器人学会思考、规划与灵活互动,字节跳动Seed团队发布统一视觉语言模型Robix以提升机器人思考与交互能力,字节跳动Seed团队推出Robix，一种统一的视觉语言模型，旨在提升机器人在复杂任务中的思考、规划及灵活交互能力。Robix采用层次化架构，将高阶认知与低阶控制分离，实现端到端多模态推理与任务规划。该系统能够理解模糊指令、实时响应中断并动态调整计划，显著增强机器人在真实环境中的适应性和智能水平。,Embodied AI,ByteDance,,https://mp.weixin.qq.com/s/Yc59XTDwwItVS74Kpavvdw
ScienceAI,2025-09-08 02:50:14,上海AI Lab重磅综述：AI实现自主科学发现时代已经到来,上海人工智能实验室综述：AI自主科学发现的研究进展与框架构建,本文综述了上海人工智能实验室联合多所高校和研究机构发布的《A Survey on Autonomous Scientific Discovery》，系统阐述了AI从科研工具向自主科学发现智能体的演进路径，提出了Agentic Science的统一研究框架，包括基础能力、核心流程和应用层面。文章详细介绍了AI科学家的五大核心能力和动态科研闭环流程，展示了AI在生命科学、化学、材料科学和物理学等领域的前沿应用，标志着AI驱动科学研究进入新纪元。,AI4Science,Other,,https://mp.weixin.qq.com/s/kRDOpfxqOcFlCUP3A22Brg
DrugAI,2025-09-08 01:53:01,Nature | 物理神经网络的训练之道,物理神经网络的训练方法及其可扩展性研究,物理神经网络（PNNs）利用物理系统执行计算，具备突破传统数字硬件能效限制的潜力。文章综述了PNNs的两大类训练方法，包括基于反向传播和无需反向传播的多样化技术，探讨了其在大规模模型中的应用前景及挑战。研究指出，未来PNNs有望在能效和扩展性方面实现显著优势，推动人工智能计算方式的变革。,Other,Other,,https://mp.weixin.qq.com/s/WcuNx0gSzDWHG9SdTzHb8g
深度奇点,2025-09-08 01:46:36,J. Chem. Theory Comput. | NVNMD-v2：面向分子动力学的非冯·诺依曼架构深度学习新范式,NVNMD-v2：基于非冯·诺依曼架构的高效可扩展深度学习分子动力学模型,NVNMD-v2提出了一种结合广义深度神经网络势（GDNNP）与存算一体加速器的非冯·诺依曼架构，支持最多32种元素的分子动力学模拟。该模型在单FPGA上实现了接近DFT的精度，支持高达2000万原子的模拟，计算效率较传统GPU方案提升数十倍，能耗降低约120倍。NVNMD-v2有效解决了元素复杂度扩展和计算资源瓶颈，推动了多元素复杂体系的量子级精度模拟，适用于材料科学、生物分子等领域。,AI4Science,Other,,https://mp.weixin.qq.com/s/i9MsNumR5_UBY9uHwcSFWg
机器之心,2025-09-08 01:20:59,空间智能新高度：港科大谭平团队SAIL-Recon突破万帧级图像大规模3D场景重建Transformer,港科大谭平团队提出SAIL-Recon实现万帧级大规模3D场景重建,香港科技大学谭平教授团队联合地平线发布了SAIL-Recon，一种基于Transformer的增强型场景回归网络，突破了大规模图像输入处理瓶颈，实现了万帧级3D场景的全局隐式表征与重建。该方法通过锚点图像集构建全局场景表征，显著提升了视觉定位与三维重建的精度和规模，推动了空间智能和机器人自主定位导航技术的发展。,Embodied AI,Other,谭平,https://mp.weixin.qq.com/s/5CZFIhy-mAia8gIw0SsDug
老刘说NLP,2025-09-08 00:58:49,长期深度聚焦技术落地：知识图谱+RAG+文档解析等—老刘说NLP技术社区持续纳新,老刘说NLP技术社区：知识图谱与RAG技术的深度聚焦与实践,老刘说NLP技术社区自2022年成立，围绕大模型、RAG、文档智能和知识图谱四大技术方向，开展每日早报、线上分享、专题课堂及技术答疑等多样化活动。社区注重技术深度与落地，涵盖27个技术专题和11个视频课堂，推动开源项目和前沿技术解读，促进技术交流与实践应用。社区采用会员制，持续纳新，欢迎对相关技术感兴趣的人员加入。,LLM,Other,,https://mp.weixin.qq.com/s/cXYEdZusTxI7HcVjWmepkQ
老刘说NLP,2025-09-08 00:58:49,GraphRAG加速版框架ApeRAG及事件抽取两种范式,GraphRAG加速版框架ApeRAG及事件抽取范式分析,本文介绍了GraphRAG的集成加速框架ApeRAG，重点在于工程优化提升推理速度和多租户支持，采用基于图拓扑的智能并发策略实现高效知识图谱构建。详细阐述了实体抽取、关系权重计算及实体合并方法，并结合多存储系统实现知识图谱与向量数据库的一致性写入。此外，文章还探讨了事件图谱的两种抽取范式，强调从底层实现分析以提升应用效果。,LLM,Other,,https://mp.weixin.qq.com/s/MVQnZ3N4Bi30H7gYJFcLTg
DASOU,2025-09-08 00:56:29,刚刚，OpenAI发长篇论文：大模型幻觉的原因找到了~,OpenAI论文解析大模型幻觉产生机制及其缓解策略,OpenAI最新论文系统分析了大语言模型产生幻觉的根本原因，指出当前训练和评估机制偏向奖励猜测而非表达不确定性，导致模型过度自信和错误回答。论文通过统计学视角揭示预训练数据稀缺、模型表达能力限制及后训练阶段评测机制强化幻觉现象。提出通过调整评分规则，允许模型选择“我不知道”以减少幻觉。研究纠正了多项关于幻觉的常见误解，强调需重新设计评测指标以鼓励模型坦诚表达不确定性。,LLM,OpenAI,,https://mp.weixin.qq.com/s/NNclkSXwyciHmRDoklJhdA
包包算法笔记,2025-09-08 00:44:42,离谱！裁员裁出新高度了。。。,职场晋升影响因素分析与经验分享,本文通过一个职场案例，分析了专业能力与职场晋升之间的关系，强调了除了专业能力外，良好的职场人际关系和对领导的理解与配合同样关键。文章指出，职场成功不仅依赖于个人能力，还需注重“会做人”，即与领导及团队的有效沟通和协作，避免因态度问题影响晋升机会。,Other,Alibaba,,https://mp.weixin.qq.com/s/IJPPgB07Vg0pv93z_7UF-A
机器学习算法与自然语言处理,2025-09-07 23:47:26,拜拜Claude！阿里最强万亿模型编程秒了Opus4，实测在此,阿里Qwen3-Max-Preview万亿参数多模态大语言模型性能评测,阿里发布了其最大规模的万亿参数大语言模型Qwen3-Max-Preview，较前代模型提升显著，支持中英文理解、多模态输入及复杂指令执行。实测显示其在数学竞赛题解答和编程任务中表现优异，生成代码准确且运行成功，且在多项官方及社区测评中超越国内外竞争对手。该模型已通过通义APP、Qwen Chat网页及阿里云API上线，未来版本及推理能力有望进一步提升。,Multimodal LLM,Alibaba,林俊旸,https://mp.weixin.qq.com/s/2KDowaaYjis07HjaOXuT5g
机器学习算法与自然语言处理,2025-09-07 23:47:26,谁不用谁亏！Karpathy吹爆GPT-5：10分钟编码完胜Claude一小时，奥特曼秒回感谢,GPT-5 Pro在编码任务中的性能评估与应用实践,本文介绍了OpenAI最新发布的GPT-5 Pro在编码领域的表现，特别是在解决复杂编程问题上的高效性和优越性。Karpathy等AI专家通过对比GPT-5 Pro与Claude Code等模型，展示了GPT-5 Pro在编码速度和质量上的显著优势。此外，文章还提及Codex模型的快速发展及其在开发者社区的广泛应用，反映出AI编程智能体的技术进步和行业认可。,LLM,OpenAI,"Andrej Karpathy, Sam Altman",https://mp.weixin.qq.com/s/BVx9Bo1YAo---A04ksjaAg
机器学习算法与自然语言处理,2025-09-07 23:47:26,苹果发布MobileCLIP2：最强移动端CLIP，开源数据生成代码！,MobileCLIP2：苹果发布的高效移动端多模态模型及其训练优化方法,苹果公司发布了MobileCLIP2，一款面向移动端的轻量级多模态视觉-语言模型。该模型通过改进多模态增强训练方法，采用更优质的数据集、教师模型和合成标题生成器，实现了在低延迟和小参数量条件下的SOTA性能，尤其在ImageNet-1k零样本分类任务中表现突出。研究成果已开源代码和模型，推动移动端多模态模型的应用与发展。,Multimodal LLM,Other,"Fartash Faghri, Pavan Kumar Anasosalu Vasu, Cem Koc, Vaishaal Shankar, Alexander Toshev, Oncel Tuzel, Hadi Pouransari",https://mp.weixin.qq.com/s/EqWVEBlg2ZEi8hQXzNyhHg
