标题,中文标题,领域分类,研究机构,PDF链接,论文链接,简明摘要,Upvote数
Seed-Prover: Deep and Broad Reasoning for Automated Theorem Proving,Seed-Prover：用于自动定理证明的深度与广度推理模型,AI4Science,ByteDance,https://arxiv.org/pdf/2507.23726,https://huggingface.co/papers/2507.23726,本文提出了Seed-Prover，一种基于形式化语言Lean的自动定理证明模型，通过迭代优化证明过程，实现了深度且广泛的推理能力。Seed-Prover在解决国际数学奥林匹克（IMO）级别问题上表现优异，证明了78.1%的历史IMO题目，并在多个数学推理基准测试中显著超越现有方法。为弥补Lean中几何推理的不足，作者还设计了高效的几何推理引擎Seed-Geometry。该系统在IMO 2025竞赛中成功证明了5道题目，展示了结合形式化验证与长链推理在自动数学证明领域的重要进展。,62
Phi-Ground Tech Report: Advancing Perception in GUI Grounding,Phi-Ground技术报告：推进GUI定位中的感知能力,Agent,Microsoft,https://arxiv.org/pdf/2507.23779,https://huggingface.co/papers/2507.23779,本文提出了Phi-Ground模型家族，专注于提升图形用户界面（GUI）定位的准确性，这是实现智能计算代理执行点击和输入等操作的关键环节。通过系统性研究数据收集与模型训练细节，Phi-Ground在多个主流GUI定位基准测试中均取得了领先表现，显著优于现有模型。该模型不仅提升了多模态推理系统的实际应用潜力，也为相关感知任务的模型设计提供了有益参考，推动了智能代理在复杂界面环境中的可靠执行能力。,27
"C3: A Bilingual Benchmark for Spoken Dialogue Models Exploring
  Challenges in Complex Conversations",C3：一个用于探索复杂对话挑战的双语口语对话模型基准,LLM,PKU,https://arxiv.org/pdf/2507.22968,https://huggingface.co/papers/2507.22968,本文提出了C3双语基准数据集，涵盖1079条中英文口语对话实例，旨在评估和促进口语对话模型（SDMs）在复杂会话中的理解与生成能力。该数据集聚焦口语交流中常见的歧义和上下文依赖问题，如多义词、语音相似词、省略和指代等，反映了口语对话的复杂性。结合基于大语言模型的评测方法，C3为研究者提供了一个有效工具，推动SDMs在真实语音交互中的性能提升和应用发展。,18
RecGPT Technical Report,RecGPT技术报告,LLM,Alibaba,https://arxiv.org/pdf/2507.22879,https://huggingface.co/papers/2507.22879,本文提出了RecGPT，一种以用户意图为核心的新一代推荐系统框架，通过将大型语言模型融入用户兴趣挖掘、商品检索和推荐解释等关键环节，突破传统依赖历史行为数据的局限，避免过度拟合用户过去偏好。RecGPT采用多阶段训练策略，结合人机协同评判机制，实现模型的领域适应与自我进化。该系统已在淘宝App上线，实验证明其显著提升了用户内容多样性和满意度，同时增加了商家曝光和转化率，促进了推荐生态的可持续发展。,15
"villa-X: Enhancing Latent Action Modeling in Vision-Language-Action
  Models",villa-X：提升视觉-语言-动作模型中的潜在动作建模,Embodied AI,"Microsoft, THU",https://arxiv.org/pdf/2507.23682,https://huggingface.co/papers/2507.23682,本文提出了villa-X，一种改进的视觉-语言-动作（VLA）模型框架，通过引入潜在动作这一抽象表示，提升了机器人操作策略的学习能力。villa-X不仅优化了潜在动作的学习方式，还改进了其在预训练中的应用，增强了模型对视觉变化与机器人动作之间关系的理解。实验结果表明，villa-X在多个模拟环境和真实机器人操作任务中均表现出更优的性能，展示了其在机器人自主操作领域的广泛应用潜力和研究价值。,14
"Scalable Multi-Task Reinforcement Learning for Generalizable Spatial
  Intelligence in Visuomotor Agents",面向视觉运动智能体的可扩展多任务强化学习以实现可泛化的空间智能,Embodied AI,PKU,https://arxiv.org/pdf/2507.23698,https://huggingface.co/papers/2507.23698,本文提出了一种基于强化学习的多任务训练方法，显著提升了视觉运动智能体在三维环境中的空间推理和交互能力。通过引入跨视角目标规范作为统一的多任务目标空间，并利用Minecraft环境实现自动任务合成，解决了手工设计任务的瓶颈问题。实验结果表明，该方法使智能体在未见环境中实现零样本泛化，交互成功率提升了4倍，展示了强化学习在大规模三维模拟环境中促进智能体空间智能发展的潜力。,5
"Persona Vectors: Monitoring and Controlling Character Traits in Language
  Models",Persona Vectors：监控与控制语言模型中的角色特质,LLM,Other,https://arxiv.org/pdf/2507.21509,https://huggingface.co/papers/2507.21509,本文提出了一种基于“persona向量”的方法，用于监测和控制大型语言模型中角色性格的变化。该方法能够识别模型在训练和使用过程中出现的诸如恶意、谄媚和幻觉倾向等不良性格特征，并预测和调节这些性格的波动。通过自动提取persona向量，研究者不仅实现了对模型性格变化的实时监控，还能在训练阶段预防和修正不良性格的产生，同时筛查导致负面性格变化的训练数据。该方法为提升语言模型的安全性和可靠性提供了有效工具。,5
iLRM: An Iterative Large 3D Reconstruction Model,iLRM：一种迭代式大型三维重建模型,Other,Other,https://arxiv.org/pdf/2507.23277,https://huggingface.co/papers/2507.23277,本文提出了一种名为iLRM的迭代大规模三维重建模型，通过将场景表示与输入图像解耦、采用两阶段注意力机制以及在每层注入高分辨率信息，有效提升了三维重建的效率和质量。与现有基于全注意力机制的方法相比，iLRM显著降低了计算成本，具备更好的扩展性，能够利用更多视角数据实现高保真重建。实验证明，iLRM在多个公开数据集上优于现有方法，兼具更快速度和更高重建精度，推动了高效大规模三维场景重建的发展。,4
"TARS: MinMax Token-Adaptive Preference Strategy for Hallucination
  Reduction in MLLMs",TARS：用于减少多模态大语言模型幻觉的最小最大令牌自适应偏好策略,Multimodal LLM,"Alibaba, Amazon",https://arxiv.org/pdf/2507.21584,https://huggingface.co/papers/2507.21584,本文提出了一种名为TARS的策略，用于减少多模态大语言模型（MLLMs）在视觉语言推理中的“幻觉”现象。与传统方法固定偏好目标不同，TARS通过模拟输出的不确定性，动态调整模型对关键词汇的偏好，从而避免过拟合表面语言特征，增强模型对视觉信息的因果理解。实验证明，TARS在多个基准测试中显著降低了幻觉率，且无需专家反馈即可实现优于现有方法的性能，提升了多模态模型的可靠性和实用性。,3
"On the Expressiveness of Softmax Attention: A Recurrent Neural Network
  Perspective",Softmax注意力的表达能力：一种循环神经网络视角,LLM,Other,https://arxiv.org/pdf/2507.23632,https://huggingface.co/papers/2507.23632,本文从循环神经网络（RNN）的视角，揭示了软最大（softmax）注意力机制的表达能力优于线性注意力的原因。作者将软最大注意力转化为一种递归形式，进而用RNN语言描述其各个组成部分，分析了它们的重要性及相互作用。研究表明，线性注意力可视为软最大注意力的近似，软最大非线性赋予其更强的表达能力。该工作有助于深入理解软最大注意力的优势，为设计更高效且表现优异的注意力机制提供理论支持。,2
