公众号,发布时间,原标题,科技报告标题,摘要,领域分类,研究机构,行业大佬,URL
具身智能之心,2025-11-11 03:48:35,美团 “全能突破”：RoboTron-Mani +RoboData实现通用机器人操作,美团RoboTron-Mani与RoboData实现通用机器人操作的多模态3D感知融合方法,本文介绍了美团团队提出的RoboTron-Mani模型及RoboData数据集，旨在解决机器人操作中的通用性难题。该方案通过3D感知增强和多模态融合架构，结合多平台统一数据集，实现跨机器人、跨场景的高效操作。RoboTron-Mani采用视觉编码器、3D感知适配器、特征融合解码器和多模态解码器四层架构，提升空间理解和多模态融合能力，显著优于现有专家模型。,Embodied AI,Other,,https://mp.weixin.qq.com/s/d62NwN1QUtrti0XfFUmFDA
夕小瑶科技说,2025-11-11 03:14:23,“AI已见顶”是最大错觉，Anthropic 顶级研究员：AI仍在指数加速，即将实现「8 小时自主工作」,Anthropic研究员解析AI指数增长及未来自主工作能力预测,Anthropic顶级研究员Julian Schrittwieser指出，公众普遍低估了AI的指数增长趋势。根据METR和OpenAI的评估，AI模型在长任务能力和专业水平上持续翻倍提升，预计2026年中期AI将实现8小时自主工作，并在多个行业达到或超越人类专家水平。这表明AI正从工具向虚拟协作伙伴转变，推动生产力和创造力的革命。,AGI,"DeepMind, OpenAI",Julian Schrittwieser,https://mp.weixin.qq.com/s/bf-4hQMMO2XmOxs2A6CSbg
DASOU,2025-11-11 02:49:38,2025多模态融合只会越来越火！,2025年多模态融合技术进展与应用综述,本文综述了多模态融合领域的最新研究进展，重点介绍了融合机制优化、结合前沿技术突破融合瓶颈以及针对实际场景的定制方案。文章涵盖了多模态电商搜索、假新闻检测、恶劣天气下的跨模态目标检测等应用，提出了动态融合模型、混合专家提示等创新方法，并提供了丰富的高分论文和源码资源，助力研究者解决模态对齐、数据稀缺及模态缺失等挑战。,Multimodal LLM,Other,,https://mp.weixin.qq.com/s/3bN32bseTAnXLD2EBI5qHA
AINLP,2025-11-11 01:49:59,我，在阿里工作8年，离职后突然惊醒：真正厉害的人，根本不会选“先搞起来再说”,从阿里工作经历到创业反思：深度思考与创业挑战的经验分享,本文作者回顾了在阿里巴巴八年的工作经历及其后创业过程中的挑战，强调了“先搞起来”策略的局限性，指出深度思考的重要性。创业过程中，作者面临资金压力、管理难题以及资源缺乏等困境，最终通过与资深创业者交流，认识到学习方法和实际应用之间的差距，强调了创业需要结合具体业务环境和阶段的策略调整。,Other,"Alibaba, ByteDance","雷军, 张一鸣",https://mp.weixin.qq.com/s/cFiJJaV6bCAzL7Qju-JcNA
新智元,2025-11-11 01:22:26,李飞飞万字长文爆了！定义AI下一个十年,李飞飞论空间智能与未来AI世界模型的构建,本文介绍了李飞飞关于AI未来十年发展的核心观点，重点阐述了空间智能及其核心“世界模型”框架。空间智能通过融合感知、推理与行动，推动AI从语言理解向具身智能和创造力的跨越。文章强调构建符合物理规律、多模态输入处理及演变预测能力的世界模型，将赋能创意、机器人技术和科学研究，推动AI与现实世界的深度融合。,Embodied AI,Other,"李飞飞, Yann LeCun",https://mp.weixin.qq.com/s/GmsRX42Tl0gbbwa98mxz1g
新智元,2025-11-11 01:22:26,曝OpenAI布道黑幕！MIT华人记者：他用全人类未来，赌一个AGI神话,OpenAI与AGI竞赛的行业影响及其社会代价分析,本文基于MIT记者Karen Hao的观察，揭示了OpenAI及硅谷在AGI竞赛中以“造福全人类”为信仰背后的现实代价，包括巨额算力消耗、能源透支、劳工剥削及心理健康问题。文章指出，AGI竞赛以速度优先，忽视效率与安全，导致学术生态受商业目标驱动。同时，提出低能耗、少数据的AI科学应用路径，如DeepMind的AlphaFold，作为AGI竞赛之外的替代方案。,AGI,"OpenAI, Meta, DeepMind",Karen Hao,https://mp.weixin.qq.com/s/uHuE60eVoQqrGokdSrVJjw
量子位,2025-11-11 00:53:43,李飞飞最新长文火爆硅谷,李飞飞阐述空间智能及其在世界模型构建中的关键作用,李飞飞发表长文系统阐释空间智能的定义、重要性及其在构建世界模型中的核心能力，包括生成、多模态和交互。她介绍了World Labs在任务函数、数据、模型架构和学习表示方面的进展，强调空间智能将推动创造力、机器人学、科学和医疗等领域的发展，并助力大语言模型实现向通用人工智能的跃升。,Embodied AI,Other,李飞飞,https://mp.weixin.qq.com/s/XCuprhy0besBzX8HSTXhSw
量子位,2025-11-11 00:53:43,太突然！OpenAI挖走了英特尔CTO,英特尔CTO Sachin Katti加盟OpenAI，负责计算基础设施建设,英特尔CTO兼AI部门负责人Sachin Katti在任职仅8个月后宣布加盟OpenAI，负责设计和构建计算基础设施。Katti曾在英特尔推动AI战略升级，现由英特尔CEO陈立武兼任AI部门负责人。OpenAI持续加码算力布局，联手多方建设大规模AI数据中心和自研芯片，彰显其在大模型时代对算力基础设施的重视。,Other,OpenAI,"Sachin Katti, 陈立武, Greg Brockman",https://mp.weixin.qq.com/s/pYnIWPr64jDHYQgsbhCQ8A
量子位,2025-11-11 00:53:43,《麦肯锡2025 AI报告》｜附下载,麦肯锡2025年AI应用现状与企业绩效分析报告,麦肯锡发布的2025年AI报告显示，88%的企业已在至少一个业务环节使用AI，但仅39%实现了实质性财务回报。报告指出，AI普及率高但规模化落地仍处于早期阶段，AI Agent应用集中于流程标准化部门，高绩效企业更能通过AI实现显著利润增长和业务流程重塑。整体来看，AI提升了企业创新力和效率，但对收入和市场份额的提升有限。,Agent,Other,,https://mp.weixin.qq.com/s/7SrCiB6U2UjD2sXkq7IXow
老刘说NLP,2025-11-11 00:46:40,知识图谱+RAG+文档解析+大模型方向聚焦：老刘说NLP技术社区持续纳新,老刘说NLP技术社区聚焦知识图谱、RAG、文档解析与大模型方向的持续发展,老刘说NLP技术社区自2022年成立，围绕大模型、RAG、文档智能和知识图谱四大方向，开展每日早报、专题分享、线上交流及技术答疑等活动，推动技术深度交流与应用落地。社区通过技术专题归类、视频课堂、开源项目解读和会员制运营，促进知识传播与实践，欢迎行业内人士加入共同推动NLP技术进步。,LLM,Other,,https://mp.weixin.qq.com/s/1rVv5UuDAs_asNHp56DqTw
老刘说NLP,2025-11-11 00:46:40,Graph增强Agent技术总结及PPT问答Agent实现思路,Graph增强Agent技术及PPT问答Agent SlideAgent实现方法综述,本文总结了Graph增强Agent技术，并详细介绍了基于Agent的PPT问答系统SlideAgent的实现思路。SlideAgent通过构建多层级知识索引（全局、页面、元素）实现对多页面、多模态视觉文档的理解，支持跨页跨图信息检索与推理。文章阐述了知识构建、问题分类、子查询生成及信息检索等关键步骤，展示了如何利用智能体分层管理文档信息以提升问答效果。,Agent,Other,,https://mp.weixin.qq.com/s/DwvxEfTp6qmgoLFs8LG0eg
