标题,中文标题,发布日期,领域分类,研究机构,PDF链接,论文链接,arXiv ID,简明摘要
Quantization Meets dLLMs: A Systematic Study of Post-training Quantization for Diffusion LLMs,量化遇上dLLMs：扩散大语言模型后训练量化的系统性研究,20 Aug 2025,LLM,Other,http://arxiv.org/pdf/2508.14896v1,http://arxiv.org/abs/2508.14896v1,2508.14896v1,本文首次系统性地研究了扩散式大型语言模型（dLLMs）的后训练量化技术，旨在解决其在边缘设备部署时因模型规模大和资源需求高而面临的挑战。作者发现激活值中存在异常的大幅度数值，这对低位宽量化精度构成了主要障碍。通过应用多种先进量化方法，并在不同任务和模型类型上进行全面评估，论文揭示了dLLMs在不同量化配置下的表现特点。研究结果为实现高效的dLLM压缩和部署提供了重要参考，并将公开代码和实验设置以促进后续研究。
"Virtual Community: An Open World for Humans, Robots, and Society",Virtual Community：一个面向人类、机器人与社会的开放世界平台,20 Aug 2025,Embodied AI,Other,http://arxiv.org/pdf/2508.14893v1,http://arxiv.org/abs/2508.14893v1,2508.14893v1,本文提出了“虚拟社区”平台，一个基于真实三维场景和物理引擎的开放世界环境，支持人类与机器人在共享社区中的互动。该平台旨在研究机器人合作竞争、人类社交关系发展及人机共存等问题。通过提供多智能体模拟器和大规模社区生成工具，论文设计了社区规划与机器人协作两大挑战，考察多智能体的策略规划与协同能力。实验结果展示了开放世界中复杂任务的难点，推动了人机共存与社会智能的深入探索。
Snap-Snap: Taking Two Images to Reconstruct 3D Human Gaussians in Milliseconds,Snap-Snap：利用两张图像在毫秒级重建三维人体高斯模型,20 Aug 2025,Other,Other,http://arxiv.org/pdf/2508.14892v1,http://arxiv.org/abs/2508.14892v1,2508.14892v1,本文提出了一种基于仅两张正反面图像快速重建3D人体模型的方法，有效降低了用户创建数字人像的门槛。通过改进的几何重建模型和颜色增强算法，能够从极少视角输入中恢复完整且一致的彩色点云，并转换为高质量的3D高斯表示，实现逼真渲染。该方法在单张NVIDIA RTX 4090显卡上仅需190毫秒即可完成重建，且在多个数据集上表现优异，支持低成本移动设备拍摄的图像，具备广泛应用潜力。
GaussianArt: Unified Modeling of Geometry and Motion for Articulated Objects,GaussianArt：用于关节物体的几何与运动统一建模,20 Aug 2025,Embodied AI,Other,http://arxiv.org/pdf/2508.14891v1,http://arxiv.org/abs/2508.14891v1,2508.14891v1,本文提出了一种统一的表示方法，通过关节化的三维高斯模型同时描述物体的几何形状和运动，解决了以往方法将形状重建与运动估计分离带来的复杂性和扩展性限制。该方法显著提升了对多达20个部件复杂关节物体的重建准确性，优于传统只能处理少量部件的技术。为评估方法的性能，作者构建了包含90个不同类别关节物体的新数据集MPArt-90。实验结果表明，该方法在几何和运动估计上均表现优异，并具备在机器人仿真和人机交互等实际应用中的潜力。
MedReseacher-R1: Expert-Level Medical Deep Researcher via A Knowledge-Informed Trajectory Synthesis Framework,MedResearcher-R1：基于知识驱动轨迹合成框架的专家级医学深度研究智能体,20 Aug 2025,Agent,Other,http://arxiv.org/pdf/2508.14880v1,http://arxiv.org/abs/2508.14880v1,2508.14880v1,本文提出了MedResearcher-R1，一种专为医学领域设计的深度研究智能体，解决了现有模型在医学知识不足和检索工具缺乏上的瓶颈。通过构建基于医学知识图谱的数据合成框架，生成复杂多跳问答对，并结合定制的医学检索引擎，显著提升了医学信息的获取与整合能力。采用两阶段训练策略，MedResearcher-R1在多个医学专业领域的基准测试中表现卓越，超越了体量更大的商业系统，展示了领域专用创新在提升专业任务性能中的重要价值。
MeshCoder: LLM-Powered Structured Mesh Code Generation from Point Clouds,MeshCoder：基于大语言模型的点云结构化网格代码生成,20 Aug 2025,Multimodal LLM,Other,http://arxiv.org/pdf/2508.14879v1,http://arxiv.org/abs/2508.14879v1,2508.14879v1,本文提出了MeshCoder，一种将三维点云转换为可编辑Blender Python脚本的新框架。通过设计丰富的Blender API和构建大规模配对数据集，MeshCoder训练了多模态大语言模型，实现复杂三维物体的程序化重建。该方法不仅提升了形状到代码的转换性能，还支持直观的几何和拓扑编辑，增强了三维形状的理解和推理能力。MeshCoder为三维建模和编辑提供了一种灵活高效的新途径。
Squeezed Diffusion Models,挤压扩散模型,20 Aug 2025,Diffusion Model,Other,http://arxiv.org/pdf/2508.14871v1,http://arxiv.org/abs/2508.14871v1,2508.14871v1,本文提出了一种名为“挤压扩散模型”（SDM）的新方法，通过根据数据的主成分方向调整噪声的分布，改进传统扩散模型中均匀添加噪声的做法。受量子物理中不确定性重分配的启发，作者设计了两种噪声缩放策略，旨在提升模型对重要数据特征的学习能力。实验结果表明，在多个图像生成任务中，适度增加主成分方向的噪声方差能够显著提升生成质量，且无需改变模型结构。该研究展示了基于数据特性的噪声调整在生成模型中的潜力和实用价值。
The Prompting Brain: Neurocognitive Markers of Expertise in Guiding Large Language Models,提示工程大脑：指导大型语言模型的专业知识神经认知标志,20 Aug 2025,LLM,Other,http://arxiv.org/pdf/2508.14869v1,http://arxiv.org/abs/2508.14869v1,2508.14869v1,本研究通过fMRI技术，首次揭示了提示词设计专家与中级用户在大脑功能连接和脑网络活动上的差异，发现专家在特定脑区的连接性增强及认知网络的活动模式变化。结果为提示词设计能力的神经基础提供了初步证据，促进了对人类与大型语言模型交互认知机制的理解。该研究有助于优化人机交互界面设计，推动人工智能系统更好地适应人类认知方式，促进人类智能与机器智能的融合发展。
Universal and Transferable Adversarial Attack on Large Language Models Using Exponentiated Gradient Descent,利用指数梯度下降对大型语言模型进行通用且可迁移的对抗攻击,20 Aug 2025,LLM,Other,http://arxiv.org/pdf/2508.14853v1,http://arxiv.org/abs/2508.14853v1,2508.14853v1,本文提出了一种基于指数梯度下降的新型对抗攻击方法，能够高效生成用于绕过大型语言模型安全机制的对抗后缀。该方法通过优化概率分布形式的编码，避免了传统离散或连续优化的局限，理论上保证收敛性。实验表明，该方法在多个开源模型和对抗数据集上表现出更高的攻击成功率和更快的收敛速度，且生成的对抗后缀具有跨提示和跨模型的通用性与迁移能力。该研究为提升语言模型安全评估和防护提供了有效工具。
Multimodal Quantum Vision Transformer for Enzyme Commission Classification from Biochemical Representations,用于酶委员会分类的多模态量子视觉变换器基于生化表征,20 Aug 2025,AI4Science,Other,http://arxiv.org/pdf/2508.14844v1,http://arxiv.org/abs/2508.14844v1,2508.14844v1,本文提出了一种新颖的多模态量子机器学习框架，用于提升酶功能分类的准确性。该方法结合了蛋白质序列、量子电子特征、分子图结构和二维分子图像四种生化信息，通过量子视觉变换器模型有效融合多种数据模态，捕捉酶功能相关的立体电子相互作用。实验结果表明，该模型在酶分类任务中显著优于仅基于序列的方法及其他量子机器学习模型，展示了多模态融合在生物信息学中的潜力和应用价值。
Long Chain-of-Thought Reasoning Across Languages,跨语言的长链思维推理,20 Aug 2025,LLM,Other,http://arxiv.org/pdf/2508.14828v1,http://arxiv.org/abs/2508.14828v1,2508.14828v1,本文针对大型语言模型在多语言环境下的长链思维推理能力进行了系统研究。通过构建法语、日语、拉脱维亚语和斯瓦希里语的推理数据集，并微调Qwen模型，作者发现：以英语为中介语言的效果因语言而异，对法语无明显帮助，对日语和拉脱维亚语有提升作用，但对斯瓦希里语效果有限；多语言预训练虽能缩小跨语性能差距，但不能完全消除，少量高质量数据微调可显著提升表现；不同语言对数据规模和质量的需求不同。研究结果为多语言推理能力的发展提供了数据和理论支持。
From Passive Tool to Socio-cognitive Teammate: A Conceptual Framework for Agentic AI in Human-AI Collaborative Learning,从被动工具到社会认知队友：人机协同学习中具代理性的人工智能概念框架,20 Aug 2025,Agent,Other,http://arxiv.org/pdf/2508.14825v1,http://arxiv.org/abs/2508.14825v1,2508.14825v1,本文提出了一个新的概念框架，系统描述了人工智能在教育中从被动工具向主动合作伙伴的转变过程。框架划分了人工智能在协作学习中的四个递进阶段，强调其在教学中的不同角色和责任。论文基于社会文化学习理论，探讨了人工智能作为功能性合作伙伴的可能性，尽管其缺乏真正的意识和意图。研究为教育设计和未来人工智能教学应用提供了理论支持，推动构建人机优势互补的学习环境。
Evaluating Retrieval-Augmented Generation vs. Long-Context Input for Clinical Reasoning over EHRs,基于检索增强生成与长上下文输入的电子健康记录临床推理评估,20 Aug 2025,LLM,Other,http://arxiv.org/pdf/2508.14817v1,http://arxiv.org/abs/2508.14817v1,2508.14817v1,本文针对电子健康记录（EHR）文本冗长且复杂的问题，比较了基于检索增强生成（RAG）与直接输入长文本两种方法在临床推理任务中的表现。通过三个实际临床任务的测试，研究发现RAG方法在使用更少文本输入的情况下，能够达到或超过仅利用最新病历笔记的效果，且接近使用完整上下文的性能。结果表明，RAG是一种高效且具有竞争力的策略，适合处理医疗领域中大规模且复杂的文本信息。
TransLight: Image-Guided Customized Lighting Control with Generative Decoupling,TransLight：基于图像引导的定制化光照控制与生成式解耦,20 Aug 2025,Diffusion Model,Other,http://arxiv.org/pdf/2508.14814v1,http://arxiv.org/abs/2508.14814v1,2508.14814v1,本文提出了TransLight，一种能够从参考图像高质量提取并灵活转移光照效果到目标图像的新方法。核心创新在于通过生成式解耦技术，准确分离图像内容与光照信息，构建大规模训练数据，并以此训练生成模型，实现定制化且自然的光照迁移。实验表明，TransLight在保持图像内容完整性的同时，提供了比现有方法更丰富的光照控制，推动了光照编辑和风格化的研究发展。
