标题,中文标题,发布日期,领域分类,研究机构,PDF链接,论文链接,arXiv ID,简明摘要
ALE-Bench: A Benchmark for Long-Horizon Objective-Driven Algorithm Engineering,ALE-Bench：面向长时域目标驱动算法工程的基准测试,10 Jun 2025,Agent,Other,http://arxiv.org/pdf/2506.09050v1,http://arxiv.org/abs/2506.09050v1,2506.09050v1,本文提出了ALE-Bench，一个针对复杂优化问题的AI算法工程评测基准。该基准基于真实竞赛任务，涵盖难以求解的优化问题，强调在较长时间内反复改进解决方案。ALE-Bench支持交互式智能体架构，利用反馈和可视化辅助算法优化。实验表明，当前先进的大型语言模型在特定问题上表现优异，但在跨问题一致性和长期优化能力方面仍落后于人类。ALE-Bench为推动AI在复杂算法工程领域的发展提供了重要测试平台。
VIKI-R: Coordinating Embodied Multi-Agent Cooperation via Reinforcement Learning,VIKI-R：通过强化学习协调具身多智能体合作,10 Jun 2025,Embodied AI,Other,http://arxiv.org/pdf/2506.09049v1,http://arxiv.org/abs/2506.09049v1,2506.09049v1,本文提出了VIKI-Bench，一个专为多机器人协作设计的分层评测平台，涵盖激活、任务规划和路径感知三个层面，支持多样化机器人形态和多视角视觉输入。基于此，作者设计了VIKI-R框架，结合视觉语言模型微调与强化学习，实现了更高效的多智能体合作。实验结果表明，VIKI-R在各项任务中显著优于现有方法，且强化学习促进了异构智能体间的组合式协作。该工作为视觉驱动的多智能体协作提供了统一的测试环境和有效方法，推动了具身智能领域的发展。
"Understanding Task Vectors in In-Context Learning: Emergence, Functionality, and Limitations",理解In-Context Learning中的任务向量：出现机制、功能及局限性,10 Jun 2025,LLM,Other,http://arxiv.org/pdf/2506.09048v1,http://arxiv.org/abs/2506.09048v1,2506.09048v1,本文探讨了任务向量在上下文学习中的作用机制，提出了“线性组合猜想”，认为任务向量是通过线性组合示例形成的单一演示表示。研究结合理论分析和实验证明了任务向量在特定模型中自然出现的过程，并揭示了其在处理复杂任务时的局限性。通过对模型参数和重要性的分析，作者进一步提出通过引入多个任务向量来提升性能的方法。该工作加深了对任务向量及其在基于变换器模型中上下文学习机制的理解，为加速推理和优化模型表现提供了新的视角。
Agentic Neural Networks: Self-Evolving Multi-Agent Systems via Textual Backpropagation,Agentic神经网络：通过文本反向传播实现自我进化的多智能体系统,10 Jun 2025,Agent,Other,http://arxiv.org/pdf/2506.09046v1,http://arxiv.org/abs/2506.09046v1,2506.09046v1,本文提出了一种名为Agentic Neural Network（ANN）的多智能体协作框架，将多智能体系统视为层次化的神经网络结构。ANN通过动态分解任务并构建合作团队，实现了智能体角色和协作方式的自我演化，提升了系统的适应性和准确性。在四个基准测试中，ANN均优于现有多智能体方法，展示了其在复杂任务中高效协作和灵活调整的能力。该框架为多智能体系统提供了一个可扩展、数据驱动的新思路，结合了语言模型的协作优势与神经网络的优化机制，具有广泛应用潜力。
MagCache: Fast Video Generation with Magnitude-Aware Cache,MagCache：基于幅值感知缓存的快速视频生成,10 Jun 2025,Diffusion Model,Other,http://arxiv.org/pdf/2506.09045v1,http://arxiv.org/abs/2506.09045v1,2506.09045v1,本文提出了一种名为MagCache的新方法，用于加速视频生成中的扩散模型。该方法基于发现的普遍规律：模型中残差输出的幅值比在大多数步骤中逐渐减小，且在最后阶段下降更快。MagCache利用这一规律，通过自适应跳过不重要的计算步骤和智能缓存策略，实现高效加速。与现有方法相比，MagCache只需极少的校准样本，显著提升计算速度的同时保持生成视频的高质量。实验表明，MagCache在多个数据集上实现了超过两倍的加速，且生成效果优于现有技术。
The Decoupled Risk Landscape in Performative Prediction,Performative Prediction中的解耦风险景观,10 Jun 2025,Other,Other,http://arxiv.org/pdf/2506.09044v1,http://arxiv.org/abs/2506.09044v1,2506.09044v1,本文针对“执行性预测”问题，提出了一种新的风险可视化方法，将模型参数与数据参数分离展示，从而直观揭示模型部署后输入数据分布变化的影响。基于该方法，作者分析了关键点性质及现有算法在更真实场景下的表现，特别是在非线性模型的策略分类中。此外，论文引入了“扩展执行性预测”新设定，模拟了数据分布对不同于决策模型的模型响应，反映了现实中代理无法完全访问部署模型的情况。该研究为理解和优化执行性预测提供了实用且创新的视角。
Autoregressive Semantic Visual Reconstruction Helps VLMs Understand Better,自回归语义视觉重建助力视觉语言模型更好理解,10 Jun 2025,Multimodal LLM,Other,http://arxiv.org/pdf/2506.09040v1,http://arxiv.org/abs/2506.09040v1,2506.09040v1,本文提出了一种名为自回归语义视觉重建（ASVR）的方法，旨在提升大型视觉语言模型（LVLMs）的理解能力。传统方法仅对文本序列进行自回归训练，忽视了视觉信息的充分利用，导致模型难以处理无文本的图像或捕捉细粒度视觉细节。ASVR通过联合学习视觉和文本的语义表示，有效增强了多模态理解能力。实验表明，该方法在多个基准测试中显著提升了性能，尤其在不同数据规模和模型架构下均表现稳定，展示了其广泛适用性和实际价值。代码已公开。
AbstentionBench: Reasoning LLMs Fail on Unanswerable Questions,AbstentionBench：推理型大语言模型在无答案问题上的失败,10 Jun 2025,LLM,Other,http://arxiv.org/pdf/2506.09038v1,http://arxiv.org/abs/2506.09038v1,2506.09038v1,本文提出了AbstentionBench，一个涵盖20个多样化数据集的大规模基准，用于系统评估大型语言模型在面对无法回答、信息不足或前提错误的问题时的“拒答”能力。研究发现，当前顶尖模型普遍难以有效拒答，且模型规模提升对该能力帮助有限。令人意外的是，专门针对推理能力进行微调的模型在拒答表现上反而有所下降。尽管精心设计的系统提示能在一定程度上改善拒答效果，但模型仍缺乏对不确定性的深层理解。该工作为提升语言模型的可靠性提供了重要工具和方向。
FZOO: Fast Zeroth-Order Optimizer for Fine-Tuning Large Language Models towards Adam-Scale Speed,FZOO：面向Adam级速度的大语言模型快速零阶优化器,10 Jun 2025,LLM,Other,http://arxiv.org/pdf/2506.09034v1,http://arxiv.org/abs/2506.09034v1,2506.09034v1,本文提出了FZOO，一种高效的零阶优化器，旨在解决大型语言模型微调时因梯度计算导致的显存瓶颈问题。FZOO通过批量单边估计和自适应步长策略，大幅减少了所需的前向计算次数，并利用并行扰动加速计算。实验表明，FZOO在多种模型和任务上相较于现有方法显著提升了精度和收敛速度，达到了与一阶优化器Adam相当的性能。同时，理论分析证明了其收敛性和更新规则的合理性。FZOO的设计使得单GPU高效全参数微调成为可能，为未来内存高效预训练提供了新思路。
Router-R1: Teaching LLMs Multi-Round Routing and Aggregation via Reinforcement Learning,Router-R1：通过强化学习教授大语言模型多轮路由与聚合,10 Jun 2025,LLM,Other,http://arxiv.org/pdf/2506.09033v1,http://arxiv.org/abs/2506.09033v1,2506.09033v1,本文提出了Router-R1，一种基于强化学习的多轮路由与结果整合框架，用于将用户查询动态分配给多个大型语言模型（LLMs）。不同于传统单轮单模型分配，Router-R1通过交替执行内部思考与模型调用，实现多模型协同处理复杂任务。该方法引入轻量级奖励机制，优化性能与成本的平衡，并能基于简单模型特征进行有效泛化。实验证明，Router-R1在多项问答任务中优于现有方法，表现出更强的适应性和成本控制能力。
