标题,中文标题,发布日期,领域分类,研究机构,PDF链接,论文链接,arXiv ID,简明摘要
Perception Encoder: The best visual embeddings are not at the output of the network,Perception Encoder：网络输出之外的最佳视觉嵌入,17 Apr 2025,Multimodal LLM,Other,http://arxiv.org/pdf/2504.13181v1,http://arxiv.org/abs/2504.13181v1,2504.13181v1,本文提出了Perception Encoder（PE），一种通过简单的视觉-语言对比学习训练的图像和视频理解编码器。研究发现，最佳的视觉特征并非位于网络输出层，而隐藏在中间层。为此，作者设计了两种对齐方法，分别用于多模态语言建模和空间密集预测，成功提取了这些中间层特征。PE模型在多项任务上表现出色，包括零样本分类、检索、问答以及目标检测和深度估计等空间任务。论文还发布了相关模型、代码和新的视频数据集，促进该领域的进一步研究。
ViTa-Zero: Zero-shot Visuotactile Object 6D Pose Estimation,ViTa-Zero：零样本视觉触觉物体6D姿态估计,17 Apr 2025,Embodied AI,Other,http://arxiv.org/pdf/2504.13179v1,http://arxiv.org/abs/2504.13179v1,2504.13179v1,本文提出了ViTa-Zero，一种无需额外训练即可实现视觉与触觉信息结合的物体六自由度姿态估计方法。该方法通过视觉模型为基础，结合触觉和本体感受的物理约束进行实时优化，有效提升了姿态估计的准确性和鲁棒性。实验结果表明，ViTa-Zero在多种机器人操作任务中显著优于现有视觉模型，减少了姿态跟踪的失败情况，提升了定位精度，展示了其在机器人抓取和物体操作中的应用潜力。
PerceptionLM: Open-Access Data and Models for Detailed Visual Understanding,PerceptionLM：用于细致视觉理解的开放访问数据与模型,17 Apr 2025,Multimodal LLM,Other,http://arxiv.org/pdf/2504.13180v1,http://arxiv.org/abs/2504.13180v1,2504.13180v1,本文提出了PerceptionLM，一个开放且可复现的视觉语言模型框架，旨在推动图像和视频理解的透明研究。作者分析了现有训练方法的不足，特别是依赖封闭模型蒸馏带来的限制，进而发布了包含280万条细粒度视频问答和时空关联字幕的高质量人工标注数据集。与此同时，设计了PLM-VideoBench评测套件，用于测试模型对视频内容的多维度理解能力。该工作通过公开数据、训练方案、代码和模型，为视觉语言领域提供了重要的资源和基准，促进科学进展。
Aligning Constraint Generation with Design Intent in Parametric CAD,参数化CAD中约束生成与设计意图的对齐,17 Apr 2025,Other,Other,http://arxiv.org/pdf/2504.13178v1,http://arxiv.org/abs/2504.13178v1,2504.13178v1,本文提出了一种将对齐技术应用于参数化计算机辅助设计（CAD）草图约束生成的方法，旨在更好地捕捉设计意图，确保草图在参数变化时几何形状的可预测更新。通过结合约束求解器的反馈对现有模型进行训练，方法显著提升了草图的完全约束率（93%），远超传统监督微调和无对齐策略的表现。该方法具有通用性，为实现设计与生成模型输出的有效对齐提供了新思路，推动了语言模型对设计领域应用的进一步发展。
Novel Demonstration Generation with Gaussian Splatting Enables Robust One-Shot Manipulation,基于高斯点绘制的新颖示范生成方法实现鲁棒的一次性操作,17 Apr 2025,Embodied AI,Other,http://arxiv.org/pdf/2504.13175v1,http://arxiv.org/abs/2504.13175v1,2504.13175v1,本文提出了一种名为RoboSplat的新方法，通过直接操作三维高斯分布生成多样且真实的示范数据，解决了传统视觉-运动策略训练中数据采集成本高和多样性不足的问题。该方法利用三维场景重建和多种数据增强技术，有效扩展了训练数据的多样性和泛化能力。实验证明，RoboSplat在真实环境下的一次性学习任务中，显著提升了策略的成功率（87.8%），优于依赖大量真实示范和二维增强的传统方法（57.2%），展示了其在机器人操作领域的潜力和实用价值。
"It's All Connected: A Journey Through Test-Time Memorization, Attentional Bias, Retention, and Online Optimization",一切皆相连：穿越测试时记忆、注意偏差、保持与在线优化的旅程,17 Apr 2025,LLM,Other,http://arxiv.org/pdf/2504.13173v1,http://arxiv.org/abs/2504.13173v1,2504.13173v1,本文提出了一种基于人类注意力偏向机制的新型深度学习框架Miras，通过重新定义神经网络为关联记忆模块，探索多种注意力目标和遗忘机制的组合，提升序列模型的表达能力和训练稳定性。基于此，作者设计了三种新型序列模型，兼具高效并行训练和优异性能，尤其在语言建模、常识推理及记忆密集任务中表现优于传统Transformer和线性循环网络。该研究为构建更强大且灵活的基础模型架构提供了新的思路和方法。
SemCORE: A Semantic-Enhanced Generative Cross-Modal Retrieval Framework with MLLMs,SemCORE：一种基于多模态大语言模型的语义增强生成式跨模态检索框架,17 Apr 2025,Multimodal LLM,Other,http://arxiv.org/pdf/2504.13172v1,http://arxiv.org/abs/2504.13172v1,2504.13172v1,本文提出了SemCORE，一种结合语义增强的生成式跨模态检索框架，旨在提升文本与图像之间的检索效果。通过构建结构化的自然语言标识符和引入生成式语义验证策略，SemCORE增强了模型对语义信息的理解与区分能力。该框架首次实现了文本到图像及图像到文本的双向生成检索任务，显著优于现有方法。在多个基准数据集上，SemCORE在文本到图像检索的Recall@1指标上平均提升了8.65个百分点，展示了其在跨模态检索领域的优越性能和广泛应用潜力。
Sleep-time Compute: Beyond Inference Scaling at Test-time,睡眠时计算：超越测试时推理扩展,17 Apr 2025,LLM,Other,http://arxiv.org/pdf/2504.13171v1,http://arxiv.org/abs/2504.13171v1,2504.13171v1,本文提出了一种名为“睡眠时计算”的方法，通过在用户提出问题前，提前离线预处理可能的查询内容，从而显著降低测试时的计算开销。该方法在两个推理任务上实现了约5倍的计算节省，同时通过增加预计算量提升了模型准确率。通过引入多查询任务设计，进一步将单次查询的平均计算成本降低了2.5倍。研究还发现，用户查询的可预测性与该方法效果密切相关。最后，论文展示了该方法在实际智能任务中的应用潜力，表明其在提升效率与性能方面具有重要价值。
A New Semidefinite Relaxation for Linear and Piecewise-Affine Optimal Control with Time Scaling,一种用于线性及分段仿射最优控制与时间缩放的新型半正定松弛方法,17 Apr 2025,Other,Other,http://arxiv.org/pdf/2504.13170v1,http://arxiv.org/abs/2504.13170v1,2504.13170v1,本文提出了一种新的半正定松弛方法，用于解决含时间缩放的线性系统最优控制问题，克服了系统动力学中时间步长与状态控制变量乘积导致的非凸性。该方法通过精心选择双线性项并变换变量，实现了计算效率高且松弛结果紧致的优化。进一步地，作者将该方法拓展到分段仿射系统，借助图结构最短路径模型，将复杂的模式切换问题转化为单个半正定规划问题求解。该研究为处理带时间缩放和模式切换的最优控制问题提供了一种有效且统一的解决方案。
RUKA: Rethinking the Design of Humanoid Hands with Learning,RUKA：基于学习的类人手设计再思考,17 Apr 2025,Embodied AI,Other,http://arxiv.org/pdf/2504.13165v1,http://arxiv.org/abs/2504.13165v1,2504.13165v1,本文提出了RUKA，一种基于学习方法设计的仿人手，采用腱驱动结构，结合3D打印和现成零件制造，具备紧凑、经济且功能强大的特点。RUKA拥有五指十五自由度，能够实现多样的人类抓握动作。通过从动作捕捉数据中学习控制模型，解决了腱驱动手部的控制难题。实验结果表明，RUKA在可达性、耐用性和抓握力方面优于现有机器人手，且通过远程操作展示了其灵活性。该项目开源，推动了低成本高性能仿人手的研究与应用。
Personalized Text-to-Image Generation with Auto-Regressive Models,基于自回归模型的个性化文本到图像生成,17 Apr 2025,Multimodal LLM,Other,http://arxiv.org/pdf/2504.13162v1,http://arxiv.org/abs/2504.13162v1,2504.13162v1,本文探讨了利用自回归模型进行个性化文本生成图像的可能性，提出了一种结合文本嵌入优化与模型微调的两阶段训练策略。实验结果表明，该方法在保持特定主体特征和准确响应文本描述方面，与当前主流的扩散模型个性化方法表现相当。研究展示了自回归模型在个性化图像合成中的有效性，为该领域提供了新的技术路径和研究方向。
Digital Twin Generation from Visual Data: A Survey,基于视觉数据的数字孪生生成综述,17 Apr 2025,Other,Other,http://arxiv.org/pdf/2504.13159v1,http://arxiv.org/abs/2504.13159v1,2504.13159v1,本文综述了基于视频数据生成数字孪生体的最新方法，涵盖了多种技术手段及其优缺点。数字孪生体在机器人、媒体制作和设计建造等领域具有广泛应用价值。文章重点分析了处理遮挡、光照变化和系统扩展性等关键挑战，并探讨了未来的发展方向。该综述为相关研究提供了全面的技术视角和实践指导，促进数字孪生技术的进一步发展与应用。
AerialMegaDepth: Learning Aerial-Ground Reconstruction and View Synthesis,AerialMegaDepth：学习航拍与地面视角的重建与视图合成,17 Apr 2025,Other,Other,http://arxiv.org/pdf/2504.13157v1,http://arxiv.org/abs/2504.13157v1,2504.13157v1,本文针对航拍与地面图像间视角差异大的几何重建问题，提出了一种结合三维城市模型生成的伪合成数据与真实地面众包图像的混合训练框架。该方法有效弥合了真实图像与合成渲染之间的差距，显著提升了现有算法在航拍-地面图像配准和场景重建任务中的表现。实验结果显示，利用该数据集微调后，摄像机定位准确率大幅提高，且在新视角合成等下游任务中也取得了优异效果，展示了其在复杂视角变化场景中的实际应用潜力。
Long Range Navigator (LRN): Extending robot planning horizons beyond metric maps,Long Range Navigator (LRN)：超越度量地图的机器人长距离规划视野扩展,17 Apr 2025,Embodied AI,Other,http://arxiv.org/pdf/2504.13149v1,http://arxiv.org/abs/2504.13149v1,2504.13149v1,本文提出了一种名为Long Range Navigator（LRN）的导航方法，旨在解决机器人在未知户外环境中因有限感知范围导致的短视规划问题。LRN通过学习从高维摄像头图像中提取“可行”远端方向，帮助机器人在缺乏完整地图信息的情况下做出更长远的导航决策。该方法无需标注数据，完全依赖自我视角视频训练，易于扩展和适应不同平台。实地测试表明，结合LRN的导航系统能显著减少人工干预，提高决策效率，提升机器人在复杂地形中的自主导航能力。
Antidistillation Sampling,抗蒸馏采样,17 Apr 2025,LLM,Other,http://arxiv.org/pdf/2504.13146v1,http://arxiv.org/abs/2504.13146v1,2504.13146v1,本文提出了一种名为“抗蒸馏采样”的方法，旨在防止大型语言模型生成的推理过程被用于模型蒸馏。该方法通过有针对性地调整模型生成下一个词的概率分布，有效干扰推理轨迹的利用效果，从而降低蒸馏的成功率，同时保持模型在实际应用中的性能不受影响。这一策略为模型所有者提供了一种保护模型知识产权和防止模型被复制的新途径。
Exploring Expert Failures Improves LLM Agent Tuning,探索专家失败以改进大语言模型智能体调优,17 Apr 2025,Agent,Other,http://arxiv.org/pdf/2504.13145v1,http://arxiv.org/abs/2504.13145v1,2504.13145v1,本文提出了一种名为“探索专家失败”（EEF）的方法，用于提升大语言模型（LLM）作为智能代理的表现。传统微调方法主要依赖专家成功示范，难以解决复杂任务中的难点。EEF通过分析专家失败的轨迹，提取其中有价值的行动并纳入训练，避免有害信息干扰，从而增强模型的探索能力和关键技能学习。实验表明，EEF在多项复杂任务中显著优于现有方法，刷新了WebShop和SciWorld等基准的最高成绩，展示了其在提升智能代理性能方面的重要价值。
PCBEAR: Pose Concept Bottleneck for Explainable Action Recognition,PCBEAR：用于可解释动作识别的姿态概念瓶颈,17 Apr 2025,Other,Other,http://arxiv.org/pdf/2504.13140v1,http://arxiv.org/abs/2504.13140v1,2504.13140v1,本文提出了一种名为PCBEAR的动作识别新方法，通过引入人体骨骼姿态序列作为可解释的中间概念，有效捕捉动作中的空间结构和时间动态。该方法自动从视频中发现姿态模式，避免了手工标注，既提升了识别准确率，也增强了模型决策的透明度和可理解性。实验验证表明，PCBEAR在多个数据集上表现出色，且能够通过解释动作动态帮助调试和改进模型，推动了可解释动作识别的发展。
Syntactic and Semantic Control of Large Language Models via Sequential Monte Carlo,通过序贯蒙特卡洛实现大语言模型的句法与语义控制,17 Apr 2025,LLM,Other,http://arxiv.org/pdf/2504.13139v1,http://arxiv.org/abs/2504.13139v1,2504.13139v1,本文提出了一种基于序贯蒙特卡洛方法的语言模型受控生成架构，能够灵活地在生成过程中结合语法和语义约束。该方法在多种复杂任务（如代码生成、文本到SQL转换、目标推断和分子合成）中表现优异，显著提升了小规模开源模型的生成质量，甚至超过了体积大8倍及闭源微调模型。研究表明，这一改进源于更精准地逼近目标分布。该系统还提供了易用的编程接口，便于用户在多样化的受控生成场景中应用。
Energy-Based Reward Models for Robust Language Model Alignment,基于能量的奖励模型用于鲁棒的大语言模型对齐,17 Apr 2025,LLM,Other,http://arxiv.org/pdf/2504.13134v1,http://arxiv.org/abs/2504.13134v1,2504.13134v1,本文提出了一种名为能量基奖励模型（EBRM）的轻量级方法，用于提升大型语言模型奖励模型对人类偏好的捕捉能力和泛化性能。EBRM通过显式建模奖励分布，处理标注噪声和偏差，增强了奖励模型的鲁棒性，无需重新训练即可应用于不同任务和模型。实验证明，EBRM在安全关键任务中显著提升了对齐效果，并有效延缓了奖励作弊现象，展示了其作为现有奖励模型优化工具的实用价值和广泛适用性。
Science-T2I: Addressing Scientific Illusions in Image Synthesis,Science-T2I：解决图像合成中的科学幻觉问题,17 Apr 2025,AI4Science,Other,http://arxiv.org/pdf/2504.13129v1,http://arxiv.org/abs/2504.13129v1,2504.13129v1,本文提出了Science-T2I，一种包含2万对专家标注图像及其科学描述的对抗性数据集，涵盖多种科学知识领域。基于此，作者设计了SciScore，一种结合科学理解和视觉能力的评价模型，用于更准确地评估生成图像的科学真实性。结合SciScore，提出了两阶段训练方法，有效将科学知识融入现有图像生成模型。实验表明，该方法显著提升了生成图像的科学一致性，评价效果接近人类水平，且在应用于FLUX模型时性能提升超过50%。这一工作为科学图像生成和评估设立了新标准。
Force and Speed in a Soft Stewart Platform,软斯图尔特平台中的力与速度研究,17 Apr 2025,Embodied AI,Other,http://arxiv.org/pdf/2504.13127v1,http://arxiv.org/abs/2504.13127v1,2504.13127v1,本文提出了一种基于软致动器的六自由度斯图尔特平台，实现了快速且大幅度的动态运动。该平台通过软材料驱动，显著减少了机械电子部件数量，同时保持了2公斤的有效载荷和超过16Hz的响应速度。实验表明，该装置能够精确控制物体运动并有效抵抗扰动，具备约10厘米的平移和28度的旋转工作空间。该研究展示了软机器人在兼具动力、速度和工作范围方面的潜力，兼顾了刚性结构的性能优势与软机构的灵活性。
LLMs Meet Finance: Fine-Tuning Foundation Models for the Open FinLLM Leaderboard,LLMs遇见金融：基于Open FinLLM排行榜的基础模型微调,17 Apr 2025,LLM,Other,http://arxiv.org/pdf/2504.13125v1,http://arxiv.org/abs/2504.13125v1,2504.13125v1,本文研究了大型语言模型在金融领域的应用，基于Open FinLLM排行榜对基础模型进行了微调。作者以Qwen2.5和Deepseek-R1为基础，采用多种训练方法提升模型的金融任务表现。实验结果显示，微调后的模型在多种金融任务中取得了显著性能提升，同时揭示了金融领域的数据规模与模型表现之间的关系。该研究展示了大型语言模型在金融应用中的潜力与价值。
Low-hallucination Synthetic Captions for Large-Scale Vision-Language Model Pre-training,用于大规模视觉语言模型预训练的低幻觉合成描述,17 Apr 2025,Multimodal LLM,Other,http://arxiv.org/pdf/2504.13123v1,http://arxiv.org/abs/2504.13123v1,2504.13123v1,本文提出了一种生成大规模低虚假信息合成图像描述的新方法，用于视觉-语言模型的预训练。通过降低描述中的错误信息，显著提升了模型的训练效果和性能表现。在35项视觉语言任务中，采用该合成数据训练的模型表现优于传统真实图文对，且在文本生成图像任务中也取得了更好的质量评估结果。论文还发布了一个包含一亿条低虚假且知识丰富描述的数据集，为视觉-语言领域的研究提供了重要资源。
VistaDPO: Video Hierarchical Spatial-Temporal Direct Preference Optimization for Large Video Models,VistaDPO：面向大型视频模型的视频分层时空直接偏好优化,17 Apr 2025,Multimodal LLM,Other,http://arxiv.org/pdf/2504.13122v1,http://arxiv.org/abs/2504.13122v1,2504.13122v1,本文提出了VistaDPO，一种针对大型视频模型的视频层次化空间-时间直接偏好优化框架，旨在解决视频理解中常见的人机偏好不匹配和视频幻觉问题。该方法通过实例、时间和感知三个层面对视频内容与语言描述进行细粒度对齐。为支持训练，作者构建了包含7200条问答对及空间时间标注的新数据集VistaDPO-7k。实验结果表明，VistaDPO显著提升了视频问答、字幕生成等任务的表现，有效减少了视频语言不匹配和幻觉现象，推动了视频模型的实用性和准确性。
Object-Driven Narrative in AR: A Scenario-Metaphor Framework with VLM Integration,基于对象驱动的增强现实叙事：融合视觉语言模型的场景-隐喻框架,17 Apr 2025,Multimodal LLM,Other,http://arxiv.org/pdf/2504.13119v1,http://arxiv.org/abs/2504.13119v1,2504.13119v1,本文提出了一种基于物体驱动的增强现实（AR）叙事框架，通过融合视觉语言模型（VLM），突破传统AR故事仅依赖简单标签和空间坐标的局限。该框架将环境视为主动叙事主体，细化物体的物理、功能和隐喻意义，实现故事内容与空间语义的紧密结合。实验和用户研究表明，系统不仅能生成更具深度的环境故事，还能改变用户对现实物体的感知，开启了AR叙事的新范式，增强了空间与叙事的互动性和表达力。
"Hadamard product in deep learning: Introduction, Advances and Challenges",Hadamard积在深度学习中的应用：介绍、进展与挑战,17 Apr 2025,Multimodal LLM,Other,http://arxiv.org/pdf/2504.13112v1,http://arxiv.org/abs/2504.13112v1,2504.13112v1,本文系统梳理了Hadamard乘积在深度学习中的应用，首次提出了其四大主要领域：高阶关联、多模态融合、动态表示调节和高效成对操作。Hadamard乘积以线性计算复杂度实现非线性交互，尤其适合资源受限和边缘计算环境。研究展示了其在多模态任务和表示掩码中的有效性，强调了其在提升计算效率与表达能力间的平衡。该综述为Hadamard乘积作为深度学习基本构件的理解和未来创新奠定了基础。
Uncertainty-Aware Trajectory Prediction via Rule-Regularized Heteroscedastic Deep Classification,基于规则正则化异方差深度分类的不确定性感知轨迹预测,17 Apr 2025,Agent,Other,http://arxiv.org/pdf/2504.13111v1,http://arxiv.org/abs/2504.13111v1,2504.13111v1,本文提出了SHIFT，一种结合不确定性建模与自动提取驾驶规则先验的新型轨迹预测框架。通过将轨迹预测转化为分类问题，并利用异方差高斯过程区分不同类型的不确定性，SHIFT增强了模型的鲁棒性和校准能力。训练先验由大型语言模型基于自然语言驾驶规则自动生成，有效补充了数据不足和多样性缺失的问题。实验证明，SHIFT在复杂交叉路口等高不确定性场景下表现优异，显著提升了预测精度和不确定性估计的可靠性。
UniEdit-Flow: Unleashing Inversion and Editing in the Era of Flow Models,UniEdit-Flow：在流模型时代释放反演与编辑能力,17 Apr 2025,Diffusion Model,Other,http://arxiv.org/pdf/2504.13109v1,http://arxiv.org/abs/2504.13109v1,2504.13109v1,本文针对流匹配生成模型提出了一种新的逆向重构与图像编辑框架。作者设计了Uni-Inv方法，实现了对流模型生成图像的高精度重建；基于此，进一步开发了Uni-Edit技术，支持对图像特定区域的灵活编辑，同时有效保护未编辑部分。该方法无需额外调优，适用于多种模型，且计算高效。大量实验验证了其在保持编辑质量和泛化能力方面的优越性，推动了流模型在图像编辑领域的应用。
RF-DETR Object Detection vs YOLOv12 : A Study of Transformer-based and CNN-based Architectures for Single-Class and Multi-Class Greenfruit Detection in Complex Orchard Environments Under Label Ambiguity,RF-DETR目标检测与YOLOv12：基于Transformer与CNN架构在标签模糊复杂果园环境中单类与多类绿果检测的研究,17 Apr 2025,Other,Other,http://arxiv.org/pdf/2504.13099v1,http://arxiv.org/abs/2504.13099v1,2504.13099v1,本文比较了基于Transformer的RF-DETR和基于卷积神经网络的YOLOv12两种目标检测模型，在复杂果园环境中识别绿色水果的表现。通过包含单类和多类标注的自定义数据集，研究发现RF-DETR在处理遮挡和标签模糊时表现更优，尤其在定位准确度上领先；而YOLOv12则在计算效率和快速响应方面更具优势。结果表明，RF-DETR适合高精度农业检测任务，YOLOv12适合边缘设备和实时应用，体现了两种架构在实际场景中的互补价值。
EventVAD: Training-Free Event-Aware Video Anomaly Detection,EventVAD：无训练事件感知视频异常检测,17 Apr 2025,Multimodal LLM,Other,http://arxiv.org/pdf/2504.13092v1,http://arxiv.org/abs/2504.13092v1,2504.13092v1,本文提出了EventVAD，一种无需训练且具备事件感知能力的视频异常检测方法。该方法通过动态时空图模型捕捉视频中的事件特征，结合自适应噪声过滤和无监督统计技术精准定位事件边界，从而提升了多模态大语言模型对视频中异常事件的识别与推理能力。实验证明，EventVAD在多个公开数据集上实现了领先的检测效果，显著优于现有无需训练的基线方法，展示了其在实际应用中高效且鲁棒的异常检测潜力。
Imperative MPC: An End-to-End Self-Supervised Learning with Differentiable MPC for UAV Attitude Control,Imperative MPC：结合可微分MPC的端到端自监督学习用于无人机姿态控制,17 Apr 2025,Embodied AI,Other,http://arxiv.org/pdf/2504.13088v1,http://arxiv.org/abs/2504.13088v1,2504.13088v1,本文提出了一种面向无人机姿态控制的端到端自监督学习框架，结合了学习驱动的惯性测量数据处理模块和可微分模型预测控制。该方法通过双层优化同时提升传感器数据预测和控制策略效果，实现了从原始传感器数据到控制命令的联合优化。实验结果表明，该框架在复杂环境下表现稳定，显著增强了控制精度和鲁棒性，展示了融合学习与传统模型控制的潜力，为无人机控制提供了一种高效且可解释的解决方案。
Retrieval-Augmented Generation with Conflicting Evidence,带有冲突证据的检索增强生成,17 Apr 2025,Agent,Other,http://arxiv.org/pdf/2504.13079v1,http://arxiv.org/abs/2504.13079v1,2504.13079v1,本文针对大语言模型在检索增强生成中面临的多源冲突信息和歧义问题，提出了一个包含歧义、误导信息和噪声的综合数据集RAMDocs，以及一种多智能体辩论机制MADAM-RAG。该方法通过多轮讨论和答案整合，有效区分真实信息与错误内容，提升了模型在处理复杂查询时的准确性和可靠性。实验结果表明，MADAM-RAG在多个评测任务上显著优于现有方法，展示了同时应对多重挑战的潜力，但仍存在进一步提升的空间。
Enhancing Person-to-Person Virtual Try-On with Multi-Garment Virtual Try-Off,通过多服装虚拟脱穿增强人对人虚拟试穿,17 Apr 2025,Diffusion Model,Other,http://arxiv.org/pdf/2504.13078v1,http://arxiv.org/abs/2504.13078v1,2504.13078v1,本文提出了TryOffDiff，一种基于扩散模型的虚拟脱衣技术，用于从穿着服装的人物照片中提取标准化服装图像。该方法能够准确捕捉服装的纹理、形状和图案，支持多种服装类型，并在多个数据集上表现优异。结合虚拟试穿技术，TryOffDiff有效减少了人物间试穿时的不必要属性转移，如肤色变化，提升了人对人虚拟试穿的真实感和准确性。该研究推动了多服装虚拟脱衣与虚拟试穿的融合，为数字时尚应用提供了新的技术手段。
