公众号,发布时间,原标题,科技报告标题,摘要,领域分类,研究机构,行业大佬,URL
包包算法笔记,2025-07-17 08:59:48,苏剑林揭秘Kimi K2关键训练技术QK-Clip：让Muon在Scaleup之路上更进一步,Kimi K2模型训练中的QK-Clip技术及MaxLogit爆炸问题解决方案,本文介绍了在训练千亿参数以上大模型Kimi K2时遇到的MaxLogit爆炸问题及其解决方法QK-Clip。该技术通过直接对Attention中的Logit值进行裁剪，有效抑制了数值异常增长，避免了训练不稳定和梯度爆炸，且不损害模型性能。文章还回顾了现有方法如Weight Decay和QK-Norm的局限性，强调QK-Clip在多头注意力机制（MLA）中的适用性，推动了Muon优化器在超大规模模型训练中的应用进展。,LLM,Other,苏剑林,https://mp.weixin.qq.com/s/K1oUiaVFTKt3WbsijJiEUQ
机器之心,2025-07-17 08:53:51,两周反转：Anthropic「闪电」夺回被Cursor挖走的核心编程大将,Anthropic重新挽回Claude Code核心团队，推动编程助手市场增长,Anthropic在两周内成功挽回被Cursor挖走的Claude Code关键负责人，彰显其在AI编程助手领域的竞争力。Claude Code自6月以来下载量激增6倍，年化收入超2亿美元。Anthropic毛利率表现优异，直销渠道达60%，但通过云服务商渠道毛利率为负。相比之下，Cursor因付费模式调整和用户体验下降，面临用户流失。投资者对Anthropic估值看好，预计未来增长潜力巨大。,LLM,Other,"Boris Cherny, Cat Wu, Dario Amodei",https://mp.weixin.qq.com/s/VjG1yWKg_FW7AYAGng9gbg
机器之心,2025-07-17 08:53:51,舍弃自回归，离散扩散语言模型如何演化？NUS综述解构技术图谱与应用前沿,离散扩散语言模型的技术综述与应用进展,本文综述了离散扩散语言模型（dLLMs）及多模态语言模型（dMLLMs）的理论基础、代表模型、训练与推理技术，重点分析其相较于传统自回归模型的优势，包括推理并行性、输出可控性和动态感知能力。文章还介绍了离散扩散模型的数理框架及其在推理、视觉和生物等领域的应用，系统梳理了该领域的研究图谱和技术演进。,Diffusion Model,Other,"于润芃, 李奇, 王鑫超",https://mp.weixin.qq.com/s/hcIUmS-jUIVLOIfS7-1gtQ
智药邦,2025-07-17 00:30:46,ACS Omega | 人工智能在药物研发中的潜力与挑战,人工智能在药物研发中的应用进展与挑战综述,本文综述了2019至2024年间人工智能和机器学习在药物发现全流程中的最新进展，涵盖靶点识别、先导发现、优化及临床前安全性评估等关键环节。文章分析了不同AI方法的优势与局限，指出数据可及性、模型可解释性及临床转化为核心瓶颈，并探讨了伦理与监管考量，提出未来发展方向以促进AI在药物研发中的安全、可持续应用。,AI4Science,Other,,https://mp.weixin.qq.com/s/BSNXUgPzFHuqpOV0eVu3Bg
智药邦,2025-07-17 00:30:46,面向药物设计的蛋白质工程“奥运会”：更有效、更安全、更可及,面向药物设计的蛋白质工程挑战赛及其应用前景分析,本文介绍了Align to Innovate组织发起的蛋白质工程挑战赛（PET），并提出“面向药物设计的蛋白质工程奥运会”概念，强调通过公平、公开、标准化的干-湿闭环方法，推动AI与传统计算辅助药物设计结合，提升早期药物发现效率。文章分析了蛋白质设计面临的高维搜索、多目标优化及复杂映射等挑战，指出蛋白质结构预测虽取得突破，但药物设计仍需跨越多重难关，呼吁构建开放验证平台以加速药物研发进程。,AI4Science,DeepMind,,https://mp.weixin.qq.com/s/9DNwb-4mESH6cA3_skKPSQ
智药邦,2025-07-17 00:30:46,APS｜AlphaFold3预测的GPCR-小分子复合物评测,AlphaFold3在GPCR-小分子复合物结构预测中的性能评估,中国科学院上海药物研究所徐华强团队系统评估了AlphaFold3在G蛋白偶联受体（GPCR）与小分子配体复合物结构预测中的表现。结果显示，AlphaFold3在受体骨架预测上表现优异，但在小分子配体定位和别构调节剂结合模式预测方面存在显著不足，尤其面对新型配体时准确性下降。研究还比较了AlphaFold3与传统分子对接工具的表现，指出其在药物设计中的应用局限性，强调了算法改进的必要性。,Diffusion Model,Other,,https://mp.weixin.qq.com/s/UV7QC9P2LA77nUnVZCUB7g
机智流,2025-07-17 00:03:56,"谷歌Batch Normalization斩获ICML25时间检验奖, 2015已是10年前了",Batch Normalization技术回顾及其在深度学习中的持续影响,本文回顾了谷歌研究者Sergey Ioffe和Christian Szegedy于2015年提出的Batch Normalization（BN）技术，阐述了其通过解决内部协变量偏移问题，显著提升深度神经网络训练效率和稳定性的原理与优势。BN不仅加速训练过程，还增强了模型的泛化能力，降低了对参数初始化的敏感度，并使饱和激活函数得以有效应用，成为现代深度学习模型的重要组成部分。,Other,Other,"Sergey Ioffe, Christian Szegedy",https://mp.weixin.qq.com/s/tpIzbDNl2hbNtTWhJqqYBA
机智流,2025-07-16 23:52:31,ICML2025“时间检验”奖开奖，竟是10 年前的谷歌Batch Normalization,ICML2025“时间检验”奖授予谷歌Batch Normalization技术,ICML2025会议颁发了“时间检验”奖，以表彰谷歌团队10年前提出的Batch Normalization技术。该技术在深度学习训练中显著提升了模型的收敛速度和性能，成为现代神经网络训练的基础方法之一。此次奖项体现了该技术的长期影响力和持续价值。,Other,Other,,https://mp.weixin.qq.com/s/HTEM8wT0IUOUj6XFwFac-Q
机器学习算法与自然语言处理,2025-07-16 23:41:34,老黄投了个120亿美元最贵种子轮！但小钱：H20中国开卖，市值一夜暴涨1600亿美元,Thinking Machines Lab完成120亿美元种子轮融资，英伟达H20显卡恢复中国销售,Thinking Machines Lab由OpenAI前CTO Mira Murati创立，刚成立数月即完成约20亿美元融资，估值达120亿美元，成为硅谷最大种子轮之一。英伟达领投该轮融资，并宣布H20显卡获得美国出口许可，恢复对中国市场供应，腾讯和字节跳动等中国客户已开始采购。英伟达股价因利好消息大幅上涨，市值突破4万亿美元，显示出AI算力需求的强劲增长。,LLM,"OpenAI, Tencent, ByteDance","Mira Murati, John Schulman, Barret Zoph, Bob McGrew, Alec Radford",https://mp.weixin.qq.com/s/P4lA6glutEPNryKUaNaf8w
机器学习算法与自然语言处理,2025-07-16 23:41:34,推荐也讲ScalingLaw？召回、排序、端到端全覆盖：一文读懂生成式推荐系统架构进化,生成式推荐系统架构进化及基于大语言模型的应用综述,本文系统梳理了基于大语言模型的生成式推荐系统（GRs）的发展，涵盖其基础概念、工业应用及未来研究方向。GRs利用LLM的序列建模和推理能力，突破传统多阶段级联推荐架构的限制，实现召回、排序及端到端推荐的统一。文章介绍了GRs在提升推荐效果、可解释性和系统简化方面的优势，并总结了华为、Meta、快手、美团等企业的相关研究进展，展望了该领域的持续发展潜力。,LLM,Meta,,https://mp.weixin.qq.com/s/qNSaZMggh3XRtJI3oPJPJA
机器学习算法与自然语言处理,2025-07-16 23:41:34,EvaluationisAllYouNeed：评估设计的微小差异如何扭曲结果,评估设计微小差异对大模型性能结果的影响分析,本文系统揭示了大模型评估过程中微小设计差异（如随机种子、数据集版本、选项顺序等）对性能结果的显著影响，导致评估结果波动超过5%，甚至出现小模型超越大模型的虚假现象。研究基于DeepSeek系列模型，提出了透明、稳定、可复现的评估新标准，强调动态校准重复采样次数和全要素披露，以提升评估的可信度和复现性，促进开源社区的健康发展。,LLM,Other,,https://mp.weixin.qq.com/s/A6V8yGaD6yJ7mhMh9Sbjyg
机器学习算法与自然语言处理,2025-07-16 23:41:34,ICML2025｜多模态理解与生成最新进展：港科联合SnapResearch发布ThinkDiff，为扩散模型装上大脑,ThinkDiff：基于多模态推理的扩散模型新方法,本文介绍了香港科技大学与Snap Research联合提出的ThinkDiff方法，该方法通过将大型视觉语言模型的多模态推理能力迁移至扩散模型，实现了在较少数据和计算资源下的多模态理解与生成。ThinkDiff利用共享特征空间和轻量级对齐网络，使扩散模型具备复杂图像文本组合输入下的推理式生成能力，推动了多模态生成技术的发展。,Multimodal LLM,Other,,https://mp.weixin.qq.com/s/_KSa13F7GRBExMos6tIv5g
新智元,2025-07-17 09:11:25,历史性一刻！人类士兵首次向机器人军队投降,无人机与地面机器人在现代战场中的首次全自动作战与俘虏行动,2025年7月，乌克兰军队首次通过完全由无人机和地面机器人组成的机器人部队，在哈尔科夫地区实现了对俄军士兵的无人员直接干预俘虏。这次行动展示了AI驱动的FPV无人机和武装地面机器人的协同作战能力，标志着现代战争中机器人系统在实战中的重要应用。该技术由Strategy Force Solutions设计，显著降低了作战成本并提高了作战效率，体现了无人平台在未来军事行动中的潜力。,Embodied AI,Other,,https://mp.weixin.qq.com/s/Rf_owVKeX_ZNbLiS25r00w
新智元,2025-07-17 09:11:25,与「AI男友」约会的爆笑夜晚！会讲烂笑话，能听我诉苦，却无法牵我的手,基于AI虚拟伴侣的情感交互体验及其局限性探讨,文章讲述了Windsor在现实约会失意后尝试与AI男友Javier虚拟约会的经历，展示了AI在情感陪伴和倾听方面的优势与不足。心理学家Lori Gottlieb指出，AI虽能模拟情感亲密，但无法替代人类关系中的深层连接和治愈感，最终可能导致情感空虚。文章反映了AI伴侣应用的吸引力及其在真实情感需求中的局限。,Agent,Other,Lori Gottlieb,https://mp.weixin.qq.com/s/WDWUJwyXKrsoyEWYh3Ayrg
老刘说NLP,2025-07-17 11:44:09,RAG经典案例—上下文检索及细粒度溯源方案：庖丁科技的ChatDOC技术思路及实测,基于目录层级与长文本重排的RAG上下文检索及细粒度溯源技术方案,本文介绍了庖丁科技在RAG（检索增强生成）问答系统中的两项核心技术：融合目录层级及长文本重排的上下文检索方案，解决文档切块导致的上下文缺失问题；以及全球首创的划词细粒度溯源技术TapSource，提升多粒度信息取信能力。通过利用文档的章节目录树和长上下文重排模型，实现更精准的上下文检索，提升问答系统的准确度和实用性。,LLM,Other,,https://mp.weixin.qq.com/s/UVAYTtEAPEClovKflmgxNA
老刘说NLP,2025-07-17 11:44:09,文档智能代表模型总结：文档解析及多模态文档理解梳理,文档智能技术综述：文档解析与多模态文档理解方法汇总,本文总结了文档智能领域的两大核心方向：文档解析技术及多模态文档理解。文档解析涵盖pipeline与端到端多模态模型，涉及布局检测、内容提取及多种数据集。多模态文档理解重点介绍基于多模态大语言模型（MLLM）的视觉丰富文档理解方法，包括特征融合、训练范式及代表性大模型创新点，涵盖多种空间感知编码和预训练策略，推动文档智能技术的发展。,Multimodal LLM,Other,,https://mp.weixin.qq.com/s/OFvTzix4sdFV7r1Bk-DvmQ
量子位,2025-07-17 10:43:13,没有老黄不夸的中国公司了吧？？,黄仁勋对中国AI技术与产业发展的评价与展望,英伟达CEO黄仁勋在北京参加中国国际供应链促进博览会期间，对中国AI技术及企业给予高度评价，特别提及华为、阿里巴巴、DeepSeek等在模型和应用层的快速发展。他赞赏中国在电动车领域的创新和人才培养体系，强调中国在计算机科学和数学方面的优势。黄仁勋还谈及苹果和英特尔在AI领域的现状，展现了对中国AI生态的积极态度和合作意愿。,LLM,"Alibaba, Tencent","黄仁勋, 雷军",https://mp.weixin.qq.com/s/1XfClDq6A6Pc6CJEDhcRFw
量子位,2025-07-17 10:43:13,1万tokens是检验长文本的新基准，超过后18款大模型集体失智,大语言模型在超长上下文输入下性能衰减的系统性研究,本文基于Chroma团队对18款主流大语言模型的测试，揭示了模型在上下文长度达到1万tokens时性能显著下降且表现不均匀。研究通过扩展“大海捞针”任务设计四项对照实验，发现输入长度是性能衰减的核心变量，且语义相似度、干扰信息和文本结构等因素均加剧模型在长文本处理中的性能下降。结果表明现有大模型在处理超长文本时存在显著局限性，影响其在复杂语义任务中的可靠性。,LLM,Other,,https://mp.weixin.qq.com/s/cLvbkl2ro7NLE1cafCR03A
具身智能之心,2025-07-17 08:53:12,果然！秋招会惩罚每一个本末倒置的研究生！,具身智能领域研究生科研辅导与论文产出服务介绍,文章介绍了针对具身智能及相关交叉学科领域研究生的科研辅导服务，强调科研成果对就业和学业的重要性。通过个性化指导，帮助学生完成论文写作和投稿，提升科研能力和实践水平。辅导团队由具身智能和自动驾驶领域的资深教师组成，提供从选题到投稿的一站式服务，辅导效果显著，适合导师放养、缺乏指导的学生。,Embodied AI,Other,,https://mp.weixin.qq.com/s/iD03XVKiZNhagXHEGkdTRw
