公众号,发布时间,原标题,科技报告标题,摘要,领域分类,研究机构,行业大佬,URL
深度奇点,2025-09-25 00:11:35,Nat. Biomed. Eng. | 协作式大语言模型助力药物分析,协作式多模态大语言模型在药物分析中的应用研究,本文提出了一种协作式大语言模型框架，通过多代理协作机制整合化学、生物学、临床及文献等多源数据，实现药物性质预测、相互作用推断、毒性评估和药物重定位等多任务分析。该模型在多个公开基准上表现优异，具备良好的可解释性和临床应用潜力，为药物研发全流程的智能化提供了新范式。,Multimodal LLM,Other,,https://mp.weixin.qq.com/s/MlUnZj64pnyVMFr0QfBGmg
机器学习算法与自然语言处理,2025-09-24 23:35:45,耿欣宇@香港科技大学：多模态DeepResearchAgent如何实现视觉-语言推理,阿里通义WebWatcher：多模态深度研究智能体的视觉-语言推理实现,本文介绍了阿里通义实验室提出的多模态深度研究智能体WebWatcher，该系统通过整合多种外部工具和强化学习方法，提升视觉-语言推理能力。WebWatcher采用高质量多模态训练轨迹实现冷启动训练，并在多个视觉问答基准测试中表现优异，展示了其在复杂多模态信息检索任务中的先进性和潜力。,Multimodal LLM,Alibaba,"耿欣宇, 冯一人 Yi R. (May) Fung",https://mp.weixin.qq.com/s/rrIesvZNI83wqKRzcoZrKg
机器学习算法与自然语言处理,2025-09-24 23:35:45,刚刚，阿里CEO吴泳铭发布「ASI宣言」：超级智能才是终局！,阿里巴巴CEO吴泳铭发布超级人工智能（ASI）发展路线图,阿里巴巴新任CEO吴泳铭在2025云栖大会上提出了超级人工智能（ASI）宣言，明确将ASI视为智能革命的终局。文章介绍了从通用人工智能（AGI）到ASI的三阶段演进路径：智能涌现（学习人类）、自主行动（辅助人类）、自我迭代（超越人类）。吴泳铭强调，未来AI将通过深度连接真实世界数据，实现自我学习和持续进化，推动科技进步进入指数级爆发期。阿里云将通过开源路线和超级AI云建设支持这一目标。,AGI,Alibaba,吴泳铭,https://mp.weixin.qq.com/s/8Zan_DXXTB5y7CqJ5bWIUQ
机器学习算法与自然语言处理,2025-09-24 23:35:45,GUI智能体训练迎来新范式！半在线强化学习让7B模型媲美GPT-4o,基于半在线强化学习的GUI智能体训练方法及其性能提升,本文介绍了浙江大学与通义实验室Mobile-Agent团队提出的UI-S1模型，采用半在线强化学习范式，结合离线数据的稳定性与在线学习的长程优化能力，提升了7B规模模型在多轮动态任务中的表现。通过引入半在线机制、补丁机制和长程奖励建模，模型在多个GUI自动化基准测试中表现优异，任务成功率接近GPT-4o，显著优于传统离线强化学习方法，展示了无需真实环境交互即可实现高效策略优化的潜力。,Agent,Other,,https://mp.weixin.qq.com/s/R8pin5_2SCN6app0M-JQhg
量子位,2025-09-25 02:20:49,你的最快安卓芯片发布了！全面为Agent铺路,高通发布骁龙X2 Elite系列与第五代骁龙8至尊版，推动智能体AI体验升级,高通发布了全球最快的Windows PC处理器骁龙X2 Elite系列和第五代骁龙8至尊版移动平台，采用3nm制程和第三代Oryon架构，显著提升CPU、GPU和NPU性能，支持终端侧持续学习和多模态AI模型，面向智能体AI体验和个性化智能助手。骁龙X2 Elite Extreme专为超高端PC设计，在功耗相同情况下性能领先竞品，预计2026年初上市。该发布体现了高通对AI作为新用户界面及智能体核心计算架构的战略布局。,Agent,Other,安蒙,https://mp.weixin.qq.com/s/SU8xj0fWKyyMcBKU04-z9A
量子位,2025-09-25 02:20:49,不止剪辑！剪映的未来是一站式AI视频平台,剪映打造一站式AI视频创作平台的技术升级与未来展望,剪映宣布将打造一站式AI视频创作平台，覆盖从灵感启发、素材生成、精准剪辑到后期优化的全流程。通过深度整合多种AI模型，实现文字转视频效率提升、电影级视频运镜、AI配音3.0及多机位剪辑等功能升级。同时，剪映扩展了图像创作能力，推出智能成片应用，致力于解放创作者的繁琐操作，打造懂创作者意图的共创伙伴，推动AI视频创作工具向全链路服务发展。,Multimodal LLM,ByteDance,,https://mp.weixin.qq.com/s/-D5FEm2ojtiR6Qi6lodlMw
新智元,2025-09-25 01:57:15,刚刚，GPT-5首次通过「哥德尔测试」！破解三大数学猜想,GPT-5通过哥德尔测试并破解三大组合优化数学猜想的研究进展,本文报道了GPT-5首次通过哥德尔测试，成功解决三大组合优化领域的数学猜想，甚至推翻并提出新的有效解法。该研究由海法大学和思科主导，展示了AI在开放性数学问题上的推理和创新能力，标志着AI从学习数学向真正做数学的跨越，预示着未来科研范式的变革。,AI4Science,OpenAI,"Sebastien Bubeck, Terence Tao",https://mp.weixin.qq.com/s/gQLgfgQEfksVUwAEcFynyw
量子位,2025-09-25 01:06:00,LeCun团队开源首个代码世界模型：能生成代码还能自测自修！传统编程模型一夜成古典,Meta FAIR发布首个代码世界模型CWM，实现代码生成与动态执行模拟,Meta FAIR团队推出了32亿参数的代码世界模型CWM，支持131k token长上下文，首次引入代码执行状态建模，能够模拟代码运行过程中的变量状态变化，实现代码生成、自测、自修复及多轮推理规划。CWM在多个代码与推理基准测试中表现优异，接近GPT-4水平，并开源了模型代码及训练细节，推动代码生成模型向动态执行理解方向发展。,LLM,Meta,"Yann LeCun, Gabriel Synnaeve",https://mp.weixin.qq.com/s/njwrJotkrNvXoCfgJZ44kA
量子位,2025-09-25 01:06:00,华为手表耳机都上新了！价格比不了苹果，续航苹果比不了,华为发布WATCH GT 6系列手表及FreeClip 2耳夹耳机，提升续航与智能体验,华为发布了WATCH GT 6系列智能手表和FreeClip 2耳夹耳机，重点提升续航能力和智能功能。WATCH GT 6系列续航提升65%，最长可达21天，搭载新一代向日葵定位系统和玄玑感知系统，支持情绪识别及房颤负荷统计。FreeClip 2耳机轻量化设计，搭载自研第三代音频芯片和NPU AI处理器，支持环境自适应音量调节及多语言互译，续航达38小时。华为通过这些新品优化穿戴设备的实用性和用户体验。,Other,Other,,https://mp.weixin.qq.com/s/b8qhXZsuVcTIFu0B-ZAbcg
AI研究前瞻,2025-09-25 03:28:10,9.25-1|VLM阿拉伯语OCR；MiniCPM-V 4.5技术报告；多模态理解和生成统一加速框架,Baseer：面向阿拉伯语文档OCR的多模态视觉语言模型及其技术报告,本文介绍了Baseer，一款专为阿拉伯语文档OCR设计的多模态视觉语言模型，采用解码器单独微调策略，结合30万合成与20万真实文档数据训练，显著提升了阿拉伯语OCR的准确性和结构解析能力。构建了高质量的Misraj-DocOCR基准，推动该领域标准化评测。实验结果显示Baseer在多个关键指标上优于现有开源及商业OCR系统，具备良好的多场景适应性和鲁棒性。,Multimodal LLM,Other,,https://mp.weixin.qq.com/s/0z79WEKRuzlkKUxjTbCQaw
AI研究前瞻,2025-09-25 03:28:10,9.25-2|预训练数据强化学习；混合优势策略优化；COT长度多领域对比研究；可扩展连续COT训练，软token,基于预训练数据的强化学习提升大语言模型推理能力的研究,本文提出了一种基于预训练数据的强化学习方法（RLPT），通过自监督的“下一段文本推理”任务和创新的前缀奖励机制，实现大规模无人工标注的强化学习训练。该方法显著提升了大语言模型在多领域通用任务和数学推理任务中的表现，验证了其良好的扩展性和训练稳定性。实验采用Llama3和Qwen3系列模型，结果显示RLPT方法在推理能力和泛化性能上均有显著提升，推动了大语言模型向更高智能水平的发展。,LLM,Tencent,,https://mp.weixin.qq.com/s/7CzK04TKTeHsqm6r2e9JsA
AI研究前瞻,2025-09-25 03:28:10,9.25-3|无状态策略的机器人运动规划；LLM德国方言偏见研究；条件感知的重参数化映射，初始噪声优化，流匹配优化,无状态策略提升机器人视觉运动规划的空间泛化能力及LLM德国方言偏见分析,本文提出了一种基于视觉信息的无状态机器人运动规划策略，通过相对末端执行器动作空间和双广角腕部摄像头实现了显著的空间泛化能力提升，降低了对多样化训练数据的依赖，并提升了跨机器人迁移效率。同时，研究还探讨了大型语言模型对德国方言使用者的偏见问题，揭示了模型可能放大社会负面刻板印象的风险，为公平性研究提供了新视角。,Embodied AI,Other,,https://mp.weixin.qq.com/s/SrUHYqK6YomEzQbR4Qpm_w
AI研究前瞻,2025-09-25 03:28:10,9.25-4|体素对齐的3D高斯泼溅，3D场景重建；通过视频扩散模型的自蒸馏3D场景重建,VolSplat: 基于体素对齐的前馈3D高斯泼溅及其在3D场景重建中的应用,本文提出VolSplat框架，通过将3D高斯泼溅的对齐策略从像素空间转向体素空间，实现多视角特征的鲁棒融合和密度自适应控制。利用Transformer和稀疏3D U-Net细化体素特征，VolSplat在多个数据集上显著提升了3D场景重建的几何一致性和渲染质量，表现出优异的多视角鲁棒性和跨数据集泛化能力。该方法为实时高效的3D视觉重建提供了新的技术路径，推动了机器人和增强现实等领域的发展。,Other,Other,,https://mp.weixin.qq.com/s/aovRyDFBt9a14HX8dYclwA
机器之心,2025-09-25 03:20:20,首个代码世界模型引爆AI圈，能让智能体学会「真推理」，Meta开源,Meta发布首个代码世界模型CWM，提升代码推理与生成能力,Meta推出了320亿参数的代码世界模型（CWM），通过显式训练实现代码执行过程的模拟与推理，提升了代码生成的准确性和规划能力。CWM支持最长131k tokens上下文，结合Python解释器和Docker环境中的观测-动作轨迹进行中间训练，并采用多任务推理强化学习。该模型在多项编程和数学任务中表现优异，且开放了训练检查点，推动基于世界模型的代码生成研究。,LLM,Meta,,https://mp.weixin.qq.com/s/YH7ExmqjIZ14QWaFOc_SeA
机器之心,2025-09-25 03:20:20,具身智能从此「边听边说」，智源研究院开源原生全双工语音大模型RoboBrain-Audio,智源研究院发布原生全双工语音对话大模型RoboBrain-Audio,北京智源人工智能研究院联合Spin Matrix与新加坡南洋理工大学发布了RoboBrain-Audio，一款支持自然独白和双训练范式的原生全双工语音对话大模型。该模型实现了边听边说的实时交互，显著降低响应延迟并提升对话自然度，且仅用100万小时数据训练，适配具身智能场景。其创新在于采用句级对齐替代词级对齐，提升发音准确性和语言连贯性，模型及代码已开源。,Embodied AI,Other,,https://mp.weixin.qq.com/s/TWCTjICOXZquFNRjUmmL5g
老刘说NLP,2025-09-25 02:57:09,长期深度聚焦技术落地：知识图谱+RAG+文档解析等—老刘说NLP技术社区持续纳新,老刘说NLP技术社区：知识图谱、RAG与文档智能的技术聚焦与实践,老刘说NLP技术社区自2022年成立，围绕大模型、RAG、文档智能和知识图谱四大方向，开展每日早报、线上分享、专题整理及技术答疑等活动。社区聚焦技术落地与前沿，涵盖27个技术专题和11个视频课堂，累计举办40余次线上交流，深度解读开源项目与技术方案，推动知识共享与技术实践。社区采用会员制，欢迎对相关领域感兴趣者加入。,LLM,Other,,https://mp.weixin.qq.com/s/RB-OrxjqrlgX2BWLrtwH4A
老刘说NLP,2025-09-25 02:57:09,Qwen3-VL技术点及历史版本回顾：兼看KG结合LLM做QA及虚假新闻检测开源实现思路,Qwen3-VL多模态大模型技术及虚假新闻检测开源实现分析,本文回顾了Qwen3-VL及其历史版本的技术特点，重点介绍了架构优化如MRoPE-Interleave和DeepStack视觉特征注入策略，以及视频时序对齐机制的改进。同时，探讨了基于大模型和BGE-M3嵌入的虚假新闻自动检测开源方案，结合断言提取和实时网络搜索实现事实核查。文章还总结了知识图谱与大模型结合用于问答任务的技术思路，强调多模态大模型在视觉与语言融合方面的进展。,Multimodal LLM,Other,,https://mp.weixin.qq.com/s/xRGfOpI3-RUXifuILHkuhg
