公众号,发布时间,原标题,科技报告标题,摘要,领域分类,研究机构,行业大佬,URL
机器之心,2025-09-24 02:31:33,刚刚，Sam Altman发文，透露OpenAI正在干的大事业,OpenAI宣布建设五个AI算力数据中心，推动大规模人工智能基础设施发展,OpenAI宣布与甲骨文和软银合作，在美国新增五个AI数据中心，作为其星际之门(Stargate)计划的一部分，旨在大幅提升算力基础设施。该计划将使OpenAI提前完成5000亿美元、10吉瓦算力的承诺，支持下一代AI模型的训练和推理。OpenAI CEO Sam Altman强调算力是实现人工智能潜力的关键，并发布博客《Abundant Intelligence》阐述其对算力未来的展望。,Other,OpenAI,Sam Altman,https://mp.weixin.qq.com/s/iXAGsCpiWlfKJUA-GthNJQ
机器之心,2025-09-24 02:31:33,机器人界的「Imagenet 时刻」，李飞飞团队官宣全球顶级具身智能挑战赛,首届BEHAVIOR具身智能挑战赛将于NeurIPS 2025举办，推动家庭机器人研究,"李飞飞团队与斯坦福AI实验室联合发布首届BEHAVIOR挑战赛，旨在推动具身智能领域发展。该挑战赛涵盖1000个家庭日常任务，采用高保真仿真环境和星海图R1 Pro机器人平台，提供超过1,200小时的专家示范数据。赛事将于2025年NeurIPS举办，促进机器人跨房间导航、双手操控及长期规划等能力的研究，推动机器人更贴近人类生活。",Embodied AI,Other,李飞飞,https://mp.weixin.qq.com/s/WUqvv2K9Tht5u2-JiLbKrA
具身智能之心,2025-09-24 02:29:48,今日Talk来啦！具身智能新基建：从大模型到真实世界,具身智能新基建分享：从大模型到真实世界的应用,本文介绍了智源人工智能研究院于2025年9月24日下午举办的具身智能新基建分享会，内容涵盖从大模型技术到具身智能在真实世界中的应用。具身智能之心公众号将对该分享会进行全程转播，旨在推动具身智能领域的学术交流与行业发展。,Embodied AI,Other,,https://mp.weixin.qq.com/s/DjZIuW1ELL4R0J-g2X_1XQ
AI研究前瞻,2025-09-24 01:43:46,9.24-1|通过少量高质量演示激活自主智能体能力；代码智能体长程软件工程基准,通过少量高质量示范提升自主智能体能力及代码智能体长程软件工程基准研究,本文提出LIMI原则，强调通过策略性精选的少量高质量训练示范激活自主智能体能力，挑战传统依赖海量数据的范式。研究结合真实世界查询合成和多轮交互轨迹收集，显著提升了模型在复杂任务中的表现。实验显示，LIMI在多个基准测试中均优于现有模型，且训练样本数量大幅减少。另介绍了SWE-Bench Pro基准，评估AI智能体解决长程软件工程任务的能力，推动智能体在实际软件开发中的应用。,Agent,Other,,https://mp.weixin.qq.com/s/feYf9EwPf2dJ9gm7ntTLUg
AI研究前瞻,2025-09-24 01:43:46,9.24-2|Qwen3-Omni报告；无mask视频角色无缝插入；外部离线策略结合GRPO视频定位；视频扩散3D场景视频生成,Qwen3-Omni多模态统一模型及其在视频生成和音频处理中的应用报告,本文介绍了Qwen3-Omni模型，该模型实现了文本、图像、音频和视频四大模态的统一处理，且性能不逊于同规模单模态模型。通过创新的Thinker-Talker MoE架构、多码本自回归语音生成机制和时间对齐多模态旋转位置编码，模型在多模态理解与生成任务中表现卓越，特别是在音频识别与生成领域取得突破，支持低延迟高并发的实时交互，推动多模态AI系统向无损集成方向发展。,Multimodal LLM,Tencent,,https://mp.weixin.qq.com/s/DN3ELmnFlLdktiPqmHsLTQ
AI研究前瞻,2025-09-24 01:43:46,9.24-3|上下文工程和多步推理应用于工业排序问题；多模态视觉感知推理；长对话文档KV缓存管理,OnePiece框架：将上下文工程与多步推理应用于工业级级联排序系统,本文提出OnePiece框架，首次将大型语言模型的上下文工程和多步推理机制融合进工业级级联排序系统。通过结构化多模态上下文输入、块状多步推理和渐进多任务训练，显著提升检索与排序性能。离线和在线实验均验证了该方法在用户意图捕捉、模型表达力及业务指标上的优势，展示了良好的扩展性和工业部署潜力。,LLM,Other,,https://mp.weixin.qq.com/s/x3ug_MYLfKlcuRGlcHfSSg
AI研究前瞻,2025-09-24 01:43:46,9.24-4|流匹配扩散前向策略优化，扩散强化学习；可验证文本和视觉问答的无污染推理评估数据集,基于流匹配的扩散模型前向策略优化与强化学习方法DiffusionNFT,本文提出DiffusionNFT方法，通过在扩散模型的前向过程上引入流匹配和负样本感知的对比学习，实现了强化学习的高效策略优化。该方法绕过了传统反向过程的限制，无需似然估计和分类器引导，显著提升了训练效率和模型性能。实验验证了DiffusionNFT在视觉生成任务中的优越表现及其训练稳定性，展示了扩散模型强化学习的新范式和广阔应用前景。,Diffusion Model,THU,,https://mp.weixin.qq.com/s/RL8JgObAVJXPjX7MGH8NyA
AI研究前瞻,2025-09-24 01:43:46,9.24-5|三阶段并联驱动机械腕设计，紧凑的并联驱动机制和运动学建模,三阶段并联驱动机械腕设计及其运动学建模研究,本文提出了一种创新的三阶段并联驱动机械腕ByteWrist，结合弧形末端连杆和中心支撑球设计，实现紧凑结构下的高刚度与多自由度灵活运动。通过正逆运动学建模及数值雅可比矩阵计算，提升控制精度。实验验证了其在狭窄空间操作和双臂柔性物体处理中的优越性能，显著优于传统串联机械腕。未来将优化结构参数和控制算法，增强机械腕的适用性和自主操作能力。,Embodied AI,ByteDance,,https://mp.weixin.qq.com/s/xlqJ7h78uJuT4B1srGokAw
量子位,2025-09-24 01:21:27,OpenAI一口气建5个算力中心！英伟达喂饱孙正义和甲骨文,OpenAI联合甲骨文与软银建设五个算力中心，英伟达计划千亿美元投资支持,OpenAI宣布与甲骨文及软银合作建设五个新的数据中心，作为“星际之门”计划的一部分，规划总容量将近7GW。英伟达计划分批向OpenAI投资1000亿美元，支持其算力扩展。此次合作强化了OpenAI、甲骨文与英伟达之间的三角关系，同时微软在新计划中被边缘化。新数据中心将显著提升OpenAI的训练和推理能力，推动其人工智能算力基础设施的快速发展。,Other,"OpenAI, Microsoft","Sam Altman, 黄仁勋, 孙正义",https://mp.weixin.qq.com/s/C79J0w0ph22zAfYkPfoQjQ
新智元,2025-09-24 01:09:14,奥特曼刚刚发文，10GW核爆级算力！每周一座核电站，五座新城官宣,OpenAI与合作伙伴推进10GW级AI算力基础设施建设计划,OpenAI联合软银、甲骨文等合作伙伴，宣布新增五个数据中心站点，预计年底前实现10GW算力目标，支持大规模AI模型训练与推理。该计划旨在打造每周产出GW级算力的AI工厂，推动AI基础设施普及，助力未来AI在医疗、教育等领域的突破。项目投资规模超4000亿美元，预计创造数万个就业岗位，重点在美国本土建设，推动AI算力基础设施的快速扩展。,AGI,OpenAI,"Sam Altman, 黄仁勋",https://mp.weixin.qq.com/s/02EIHLf9XsxLHeIB1NvQ6Q
