标题,中文标题,发布日期,领域分类,研究机构,PDF链接,论文链接,AlphaXiv链接,简明摘要,点赞数
Reasoning LLMs for User-Aware Multimodal Conversational Agents,面向用户感知的多模态对话智能体的推理大语言模型,02 Apr 2025,Multimodal LLM,Other,https://arxiv.org/pdf/2504.01700,https://www.arxiv.org/abs/2504.01700,https://www.alphaxiv.org/abs/2504.01700,本论文提出了一种名为USER-LLM R1的框架，以解决社交机器人中的个性化问题，特别是应对初始用户偏好缺失的“冷启动”挑战。该框架结合了链式推理模型和视觉语言模型，通过动态用户画像和多模态输入，实现从首次互动开始的个性化交流。研究表明，该系统在ElderlyTech-VQA基准测试中显著提高了生成响应的质量，特别是在老年用户中增强了互动的参与感和信任度。此外，论文还探讨了隐私保护和偏见缓解等伦理问题，确保系统的负责任部署。,0
Adaptive Rectification Sampling for Test-Time Compute Scaling,测试时计算缩放的自适应修正采样,02 Apr 2025,LLM,Other,https://arxiv.org/pdf/2504.01317,https://www.arxiv.org/abs/2504.01317,https://www.alphaxiv.org/abs/2504.01317,本论文提出了一种新的方法——自适应修正采样（AR-Sampling），旨在提高大语言模型（LLMs）在测试时的推理能力。通过利用过程监督奖励模型（PRM）作为验证器，AR-Sampling能够在适当的时刻引导模型进行细致的自我修正，从而减少冗余的生成令牌并提高输出的准确性。实验结果表明，该方法在GSM8K和MATH500数据集上有效提升了模型的解决方案准确性，同时避免了过度思考的问题。该研究为测试时计算资源的优化和模型性能的提升提供了新的思路。,0
"Scaling Test-Time Inference with Policy-Optimized, Dynamic Retrieval-Augmented Generation via KV Caching and Decoding",通过KV缓存和解码的策略优化动态检索增强生成的测试时推理扩展,02 Apr 2025,LLM,Other,https://arxiv.org/pdf/2504.01281,https://www.arxiv.org/abs/2504.01281,https://www.alphaxiv.org/abs/2504.01281,本论文提出了一种增强检索增强生成（RAG）系统的综合框架，通过动态检索策略和强化学习微调显著提升大语言模型在知识密集型任务中的表现。核心技术包括政策优化的检索增强生成（PORAG）和自适应令牌层注意力评分（ATLAS），优化了检索信息的使用及其相关性。此外，论文引入了CRITIC方法，选择性地压缩关键值缓存以缓解长上下文应用中的内存瓶颈。实验结果表明，该框架在减少幻觉、增强领域特定推理和提升效率方面，相较于传统RAG系统表现出显著优势，推动了RAG系统在多种应用中的发展。,0
Advancing AI-Scientist Understanding: Making LLM Think Like a Physicist with Interpretable Reasoning,推进AI-科学家理解：使大语言模型以可解释的推理方式思考物理学,02 Apr 2025,Other,Other,https://arxiv.org/pdf/2504.01911,https://www.arxiv.org/abs/2504.01911,https://www.alphaxiv.org/abs/2504.01911,本文提出了一种新框架，旨在提高大型语言模型（LLMs）在物理研究中的可解释性和可靠性。通过引入一个解释模块，该模块由多个专门代理组成，协助人类科学家理解和验证LLM生成的输出。研究强调，物理推理需要严格的逻辑一致性和定量精确性，因此该模块将物理模型作为可解释的界面，使得科学家能够更直观地与AI成果互动。案例研究表明，该方法增强了透明度，促进了验证，并加强了AI辅助的科学发现能力。,0
Spatial-R1: Enhancing MLLMs in Video Spatial Reasoning,Spatial-R1：增强视频空间推理中的多模态大语言模型,02 Apr 2025,Multimodal LLM,PKU,https://arxiv.org/pdf/2504.01805,https://www.arxiv.org/abs/2504.01805,https://www.alphaxiv.org/abs/2504.01805,论文《Spatial-R1: Enhancing MLLMs in Video Spatial Reasoning》提出了一种新方法，旨在提升多模态大型语言模型（MLLMs）在视频空间推理中的能力。主要贡献包括构建了一个名为SR的新视频空间推理数据集，包含七类任务的自动生成问答对，以及采用任务特定的相对策略优化（GRPO）进行模型微调。通过在SR数据集上训练Qwen2.5-VL-7B-Instruct模型，Spatial-R1在VSI-Bench基准测试中显著提高了性能，超越了现有强模型，验证了针对性数据和优化技术在复杂空间推理中的有效性。,0
InfiniteICL: Breaking the Limit of Context Window Size via Long Short-term Memory Transformation,InfiniteICL：通过长短期记忆转换突破上下文窗口大小的限制,02 Apr 2025,LLM,Other,https://arxiv.org/pdf/2504.01707,https://www.arxiv.org/abs/2504.01707,https://www.alphaxiv.org/abs/2504.01707,论文《InfiniteICL: Breaking the Limit of Context Window Size via Long Short-term Memory Transformation》提出了一种新框架InfiniteICL，以解决大型语言模型在超长上下文中的有限上下文窗口限制。该方法借鉴人类的短期和长期记忆，将临时上下文知识转化为永久参数更新，从而显著降低内存使用并保持在不同输入长度下的性能。评估结果显示，该方法在减少90%上下文长度的同时，平均性能提升至103%，并在处理复杂的、多轮对话时表现优于传统方法。InfiniteICL的提出为大型语言模型的可扩展性和效率提升提供了新的可能性。,0
ToM-RL: Reinforcement Learning Unlocks Theory of Mind in Small LLMs,ToM-RL：强化学习解锁小型大语言模型中的心智理论,02 Apr 2025,LLM,PKU,https://arxiv.org/pdf/2504.01698,https://www.arxiv.org/abs/2504.01698,https://www.alphaxiv.org/abs/2504.01698,本文提出了一种名为ToM-RL的方法，通过强化学习（RL）显著提升小型语言模型（LLMs）在理论心智（ToM）推理任务中的表现。研究表明，在仅使用3200个多样化场景的问题集进行训练后，7B参数的模型在Hi-ToM基准测试中达到了84.50%的准确率，超越了GPT-4o和DeepSeek-v3等更大模型。尽管较小的模型在推理能力上出现了崩溃，但7B模型通过稳定的信念追踪保持了良好的性能。此外，该模型在面对更复杂的ToM问题和新颖的文本形式时表现出强大的泛化能力，展示了RL在提升社交认知推理方面的潜力。,0
AI-Newton: A Concept-Driven Physical Law Discovery System without Prior Physical Knowledge,AI-Newton：一种无先验物理知识的概念驱动物理定律发现系统,02 Apr 2025,Other,PKU,https://arxiv.org/pdf/2504.01538,https://www.arxiv.org/abs/2504.01538,https://www.alphaxiv.org/abs/2504.01538,论文提出了AI-Newton，一个无需先验物理知识的概念驱动物理定律发现系统。该系统能够从原始数据中自主推导物理定律，集成了知识库和基于物理概念的知识表示。作为概念验证，AI-Newton成功地从带噪声的实验数据中重新发现了牛顿第二定律、能量守恒定律和万有引力定律等基本规律。这一成果标志着向AI驱动的自主科学发现迈出了重要一步，展示了AI在处理复杂科学问题中的潜力。,0
VideoScene: Distilling Video Diffusion Model to Generate 3D Scenes in One Step,VideoScene：提炼视频扩散模型以一步生成3D场景,02 Apr 2025,Diffusion Model,THU,https://arxiv.org/pdf/2504.01956,https://www.arxiv.org/abs/2504.01956,https://www.alphaxiv.org/abs/2504.01956,本文提出了VideoScene，一种新颖的视频蒸馏框架，旨在通过有效的一步生成3D场景，解决从稀疏视图恢复3D场景的挑战。传统方法在输入视图重叠不足时表现不佳，而VideoScene利用大型预训练视频扩散模型，采用3D感知跃迁流蒸馏策略，显著提高了生成速度和质量。该方法通过动态去噪策略优化推理过程，克服了以往模型的时间效率低和缺乏3D约束的问题。实验结果表明，VideoScene在3D场景生成方面优于现有技术，展示了其在未来视频到3D应用中的潜力。,0
ILLUME+: Illuminating Unified MLLM with Dual Visual Tokenization and Diffusion Refinement,ILLUME+: 通过双视觉标记化和扩散精炼照亮统一的多模态大语言模型,02 Apr 2025,Multimodal LLM,Other,https://arxiv.org/pdf/2504.01934,https://www.arxiv.org/abs/2504.01934,https://www.alphaxiv.org/abs/2504.01934,论文介绍了ILLUME+，一种增强版的统一多模态大语言模型（MLLM），通过双视觉标记化和扩散解码器提升了深度语义理解和高保真图像生成能力。与现有模型相比，ILLUME+能够同时处理理解、生成和编辑三大功能，克服了传统模型在图像编辑时的纹理保留不足问题。其创新的双视觉标记器（DualViTok）结合了细致纹理和文本对齐语义，支持动态分辨率的上下文感知图像编辑和生成。ILLUME+在多模态理解和生成任务中表现优异，为未来多模态模型应用奠定了坚实基础。,0
