公众号,发布时间,原标题,科技报告标题,摘要,领域分类,研究机构,行业大佬,URL
机器学习算法与自然语言处理,2025-05-25 23:55:21,15亿美元AI独角兽崩塌，全是印度程序员冒充！微软亚马逊惨遭忽悠,AI初创公司Builder.ai融资欺诈事件分析,英国AI编程公司Builder.ai创始人Sachin Dev Duggal通过虚假宣传AI能力及虚报营收，成功从微软、软银及卡塔尔投资局等获得逾4.45亿美元融资，估值一度超过15亿美元。该公司实际依赖印度程序员手工编写代码，缺乏真正的AI技术支持。事件曝光后，投资方冻结资金，公司申请破产，成为近年来AI初创领域最大规模倒闭案例之一。,Other,Microsoft,Sachin Dev Duggal,https://mp.weixin.qq.com/s/CRtxgAyckBol0FG_EevJrw
机器学习算法与自然语言处理,2025-05-25 23:55:21,GRPO=高级版拒绝采样？强化学习祛魅时刻：负样本“去芜存菁”才是关键！,基于负样本筛选的简化强化学习算法在大语言模型推理任务中的应用研究,本文系统比较了几种强化学习算法在大语言模型推理任务中的表现，重点分析了GRPO与极简拒绝采样方法RAFT的效果差异。研究发现，GRPO的优势主要来自于对负样本的有效筛选，避免学习完全错误的样本。基于此，提出了Reinforce-Rej算法，通过排除全对或全错样本，实现与GRPO相当的性能且训练更稳定。研究强调负样本的选择和使用比复杂算法设计更关键，建议将RAFT作为简单有效的基线方法。,LLM,Other,,https://mp.weixin.qq.com/s/-nVq61rfh8u10mIryCDzmg
机器学习算法与自然语言处理,2025-05-25 23:55:21,万字长文总结！Reasoning模型的强化学习实现路径,Reasoning模型强化学习实现路径综述,本文系统总结了Reasoning模型在强化学习中的实现路径，重点探讨了强化学习训练方法论、数据管理策略及数据增强技术。文章强调高质量、相关性强的数据选择和严格的数据清洗对提升模型性能的重要性，并介绍了多种数据准备和格式标准化方法以优化强化学习过程。此外，文中还分析了防止模型依赖记忆信息的策略，展示了强化学习数据工程在设计智能体学习环境中的关键作用。,Agent,Other,,https://mp.weixin.qq.com/s/fJaxCbO7KwQC4hp7cjnF8Q
机器学习算法与自然语言处理,2025-05-25 23:55:21,50年僵局打破！MIT最新证明：对于算法少量内存胜过大量时间,MIT研究突破：算法空间复杂度与时间复杂度关系的新理论,MIT理论计算机科学家Ryan Williams提出了一种数学方法，将任意算法转化为占用更少空间的形式，证明少量内存空间在理论上比大量计算时间更有价值，打破了计算复杂性领域近50年的认知僵局。该研究深化了对P类与PSPACE类问题关系的理解，推动了计算时间与空间资源权衡的理论发展。,Other,Other,"Ryan Williams, Juris Hartmanis, Richard Stearns, John Hopcroft, Wolfgang Paul, Leslie Valiant",https://mp.weixin.qq.com/s/O8l6Chg09--TCs2hTn4jYw
AINLP,2025-05-26 10:17:18,万字长文总结！Reasoning模型的强化学习实现路径,Reasoning模型强化学习的实现路径及数据策略分析,本文总结了Reasoning模型在强化学习中的实现路径，重点探讨了强化学习训练方法论、数据选择策略、数据清洗与过滤以及数据增强与准备等关键环节。文章强调高质量、相关性强且可验证的数据对训练高性能智能体的重要性，介绍了多种数据集及过滤机制以防止模型依赖记忆捷径，确保模型学习预期技能。数据工程被视为强化学习设计中不可或缺的一部分，显著影响策略学习效果。,Agent,Other,,https://mp.weixin.qq.com/s/hC86OUNZm5cSVITPiVNW_A
AINLP,2025-05-26 10:17:18,Adaptive Reasoning Model：Qwen3混合思考->字节AdaCoT->清华AdaThinking,"Adaptive Reasoning Models for Mixed Fast-Slow Thinking: Qwen3, AdaCoT, and AdaThinking",本文介绍了三种自适应推理模型，分别是阿里巴巴的Qwen3混合思考、字节跳动的AdaCoT和清华大学的AdaThinking，均旨在实现模型根据问题复杂度动态调整思考长度，从而提高推理效率和效果。Qwen3通过构造混合思考训练数据在监督微调阶段实现混合思考能力，AdaCoT和AdaThinking则采用自适应触发机制，体现了业界对快慢思考混合模式的关注和探索。,LLM,"Alibaba, ByteDance, THU",,https://mp.weixin.qq.com/s/ZMvFmxp2Sle0FUuIciJAMw
CAAI认知系统与信息处理专委会,2025-05-26 10:02:13,Science Robotics 具身智能驱动的空中物理交互新范式：结合形态和传感，与非结构化环境进行稳健交互,具身智能驱动的无人机空中物理交互新范式：形态与传感的协同设计,本文提出了一种基于具身智能的空中物理交互框架（E-APhi），结合柔性形态学、分布式触觉感知与简约控制策略，显著提升无人机在非结构化环境中的动态交互能力。该方法突破传统低速高精度限制，实现高速（>3 m/s）且鲁棒的物理交互，适用于环境监测和工业检测等应用。通过仿真与实地实验验证了柔性结构和全身触觉系统的有效性，展示了该范式在复杂自然环境中的应用潜力。,Embodied AI,Other,,https://mp.weixin.qq.com/s/AaVPVnp4Q8nQnYg776JXDg
新智元,2025-05-26 09:33:10,华为中科大联创大模型低比特量化算法，1‰数据实现昇腾无损压缩7倍,华为与中科大提出基于跨块重建的低比特量化算法实现大模型高效压缩,华为诺亚方舟实验室联合中科大研发的CBQ（Cross-Block Quantization）算法，利用仅0.1%的训练数据，实现大模型在昇腾芯片上的7倍无损压缩，保留99%性能。该方法通过跨块依赖机制和自适应技术，解决了极低比特量化时层间依赖累积和异常值带来的性能下降问题，显著提升了大模型的端侧部署效率。CBQ已被纳入昇腾模型压缩工具包ModelSlim，并在ICLR 2025获得Spotlight认可。,LLM,Other,,https://mp.weixin.qq.com/s/ZC0MgvEhlSfZzOV0dRiIsQ
新智元,2025-05-26 09:33:10,刷新世界记录！40B模型+20万亿token，散户组团挑战算力霸权,去中心化计算资源驱动的40B参数大语言模型预训练新进展,Nous Research推出Psyche网络，利用区块链技术和全球闲置GPU资源，实现了40B参数大语言模型Consilience的去中心化预训练，处理20万亿token，创下互联网上最大规模预训练纪录。该网络通过DisTrO优化器显著降低带宽需求，解决了去中心化训练的关键瓶颈，推动AI训练的民主化和全球协作，挑战传统大型科技公司的算力垄断。,LLM,Other,,https://mp.weixin.qq.com/s/KvryEjpY02GL7pGQ6eUjdQ
机器之心,2025-05-26 09:28:13,惊了，我的电脑在自动打工！花不到1块钱雇个「AI超人」，Office三件套被卷死,昆仑万维发布天工超级智能体Skywork，推动智能体应用新高度,昆仑万维推出的天工超级智能体Skywork集成五个专家级AI Agent及一个通用AI Agent，支持文档、数据表格、PPT、播客、网页及多模态内容生成。Skywork在多个智能体基准测试中表现优异，且框架开源，提供开发者多接口调用，成本低廉，支持即用。该产品被视为智能体领域的全能型解决方案，提升了AI在办公及内容创作中的实用性和效率。,Agent,Other,,https://mp.weixin.qq.com/s/Z90cTpV6t7cwSm7ILdcj_w
