公众号,发布时间,原标题,科技报告标题,摘要,领域分类,研究机构,行业大佬,URL
机器之心,2025-06-21 09:33:20,舍弃CUDA编程！CMU等用几十行代码将LLM编译成巨型内核，推理延迟可降6.7倍,CMU等团队提出MPK编译器实现低延迟LLM推理,CMU助理教授贾志豪团队开发了Mirage Persistent Kernel（MPK）编译器，能够将大语言模型（LLM）自动编译成高性能巨型内核，显著降低推理延迟，单GPU下延迟降低1.2至6.7倍。MPK通过消除内核启动开销和重叠计算与通信，实现了接近硬件极限的推理性能，支持多GPU环境，提升效果更明显。该方法无需手动CUDA编程，仅需几十行Python代码即可完成，极大简化了LLM推理优化流程。,LLM,Other,贾志豪,https://mp.weixin.qq.com/s/D3fYjn8YksswteQE05Ohbw
机器之心,2025-06-21 09:33:20,7B智能体仅凭9个任务训练即超越R1！上交大打造AI-for-AI新范式,基于经验学习的7B参数智能体实现自主机器学习性能超越大型模型,上海交通大学与上海人工智能实验室联合团队提出了一种基于经验学习的新范式，训练7B参数规模的智能体仅通过9个机器学习任务的持续探索，成功设计出性能超越671B规模DeepSeek-R1智能体的AI模型。该方法通过探索增强微调、逐步强化学习和定制化奖励模块三大核心技术，实现了智能体从依赖提示工程向自主学习的转变，显著提升了自主机器学习的效率和泛化能力，推动了AI-for-AI的发展。,Agent,Other,,https://mp.weixin.qq.com/s/SXq5EZo5pGM2gAGzxIzULw
机器之心,2025-06-21 01:04:29,2025 年了，企业的 AI 采购预算都在怎么花？,2025年企业AI采购预算及LLM应用趋势分析报告,本文基于a16z发布的2025年度企业AI采购报告，揭示了全球企业在生成式大语言模型（LLM）采购、部署及预算分配上的关键趋势。报告指出，企业AI预算持续增长，且从临时创新预算向永久性IT预算转变。企业更倾向于采购差异化的LLM模型，并逐步减少自研，转向成熟的LLM应用。研究基于对100名CIO及多行业高管的深度访谈，反映了企业AI采购行为的变革和未来规划。,LLM,Other,,https://mp.weixin.qq.com/s/rW6WowPgtQgAl2NqzBySPA
智药邦,2025-06-21 00:53:14,Science｜基于内在无序区域的分子间互作预测,基于序列的内在无序区域分子间互作预测方法及其应用,华盛顿大学研究团队开发了FINCHES计算框架，利用粗粒度力场和Flory-Huggins理论，从蛋白质序列预测内在无序区域（IDRs）与其他IDRs及折叠蛋白的分子互作及相图。该方法准确反映了氨基酸排列顺序、环境因素及翻译后修饰对相分离的影响，揭示了IDRs的化学互作特征及分类，助力理解其在细胞功能中的作用机制。,AI4Science,Other,,https://mp.weixin.qq.com/s/7H8fNjFpQhiv7nF3vQDPqw
智药邦,2025-06-21 00:53:14,王梦迪团队发布首个DNA大模型“越狱”攻击框架GeneBreaker，敲响生物安全警钟,DNA大模型“越狱”攻击框架GeneBreaker及其生物安全风险评估,普林斯顿大学王梦迪团队提出了GeneBreaker框架，首次系统评估了DNA大模型面临的“越狱”攻击风险。该框架结合大型语言模型智能体设计提示词，利用致病性指导的束搜索生成病原体相关DNA序列，并通过BLAST比对验证攻击成功率。研究发现模型规模越大，越狱风险越高，揭示了DNA大模型潜在的生物安全隐患，强调设计和训练阶段需整合安全机制。,AI4Science,Other,"Mengdi Wang, Cong Luo",https://mp.weixin.qq.com/s/Gp-YyVYeIHVzIbjfbl3GDw
机器学习算法与自然语言处理,2025-06-20 23:59:02,北大卢宗青：现阶段世界模型和VLA都不触及本质｜具身先锋十人谈,北大卢宗青关于具身智能与通用人工智能的技术路线探讨,本文介绍了北京大学副教授卢宗青对当前多模态模型和世界模型的批判，强调现阶段模型缺乏与物理世界交互的能力，泛化能力有限。卢宗青及其团队通过大规模互联网视频数据学习人类运动模式，致力于开发通用具身人工智能模型，推动具身智能领域的发展，提出了不同于主流VLA和遥操作技术的技术路线和理念。,Embodied AI,"DeepMind, PKU","卢宗青, 杨立昆",https://mp.weixin.qq.com/s/WaEKMXq7w3Od4PDFsZDhKA
机器学习算法与自然语言处理,2025-06-20 23:59:02,深入解析多模态大模型推理技术的最新发展,多模态大模型推理技术的最新进展综述,本文系统梳理了多模态大模型推理技术的最新研究进展，重点介绍了基于推理数据与搜索的方法及基于奖励函数的强化学习方法。文章详细分析了Llava-CoT、Mixed Preference Optimization (MPO)等代表性工作，阐述了它们在推理阶段的设计思路和实验效果，展示了多模态大模型在视觉问答和图文理解任务中的推理能力提升路径。,Multimodal LLM,OpenAI,,https://mp.weixin.qq.com/s/AA0A312Wcj_8CF5sg984IA
机器学习算法与自然语言处理,2025-06-20 23:59:02,何恺明CVPR最新讲座PPT上线：走向端到端生成建模,何恺明在CVPR 2025讲座：端到端视觉生成建模的进展与流匹配技术,本文介绍了何恺明在CVPR 2025上关于视觉生成建模的最新讲座，重点探讨了扩散模型的局限性及端到端生成模型的发展趋势。讲座回顾了识别模型的演进，提出生成模型的逐层生成过程与识别的抽象过程相对称。何恺明重点介绍了基于连续归一化流和流匹配技术的生成模型新方法，及其实现一步生成的MeanFlow框架，旨在摆脱多步迭代依赖，推动生成模型向更高效的端到端方向发展。,Diffusion Model,Other,何恺明,https://mp.weixin.qq.com/s/qxvdVmXq7l-_GfPWpIB3zg
DrugAI,2025-06-20 23:53:37,Nat.Biotechnol. | moPepGen：一种高效识别非典型肽段的图算法,moPepGen：基于图算法的非典型肽段高效识别方法,moPepGen是一种基于多层图结构的算法，能够系统性整合基因组和转录组多种变异，全面生成非典型肽段。该方法保持线性计算复杂度，适用于多种测序和质谱技术，覆盖不同物种。实验证明moPepGen在复杂生物学场景下准确率和敏感性优于现有工具，成功揭示大量未被观测的非典型肽段，展示了其在蛋白质组基因组学中的广泛应用潜力。,AI4Science,Other,,https://mp.weixin.qq.com/s/IwCpl9Kw0PfCUYCrcsHihA
机智流,2025-06-20 23:33:51,解锁AI推理新高度！MiniMax-M1如何用百万上下文和 80k 输出长度刷新AI推理极限？,MiniMax-M1模型：基于混合注意力的超长上下文高效推理技术研究,本文介绍了MiniMax-AI团队开发的MiniMax-M1模型，该模型通过混合专家架构和创新的雷霆注意力机制，实现了百万token上下文长度和最高8万token输出长度，显著提升了大规模推理效率。MiniMax-M1在保持强大表达能力的同时，大幅降低计算成本，并采用新型强化学习算法CISPO加速训练，极大降低了开发门槛。该模型在数学、编程和长文本理解等任务中表现优异，推动了开源大规模推理模型的发展。,LLM,Other,,https://mp.weixin.qq.com/s/0WZUkruv7Kw9nQYRYZJGXw
