标题,中文标题,领域分类,研究机构,PDF链接,论文链接,简明摘要,Upvote数
Wan-Move: Motion-controllable Video Generation via Latent Trajectory Guidance,Wan-Move：通过潜在轨迹引导实现运动可控的视频生成,Diffusion Model,"Alibaba, THU",https://arxiv.org/pdf/2512.08765,https://huggingface.co/papers/2512.08765,本文提出了Wan-Move，一种简洁且易扩展的视频生成框架，实现了对视频中运动的精细控制。该方法通过将物体的密集运动轨迹映射到潜在空间，并沿轨迹传播首帧特征，生成对运动变化敏感的特征图，作为视频生成的条件输入，无需修改模型结构或额外编码器。Wan-Move支持高质量、细粒度的运动引导，生成的视频在运动控制效果上接近商业产品。为全面评估，作者还构建了包含多样内容和高质量标注的MoveBench基准，实验结果表明该方法在运动质量上具有显著优势。,90
Visionary: The World Model Carrier Built on WebGPU-Powered Gaussian Splatting Platform,Visionary：基于WebGPU驱动的高斯点渲染平台构建的世界模型承载器,Other,Shanghai AI Lab,https://arxiv.org/pdf/2512.08478,https://huggingface.co/papers/2512.08478,本文提出了Visionary，一种基于WebGPU的开放式网页平台，实现了高效的3D高斯点渲染和网格显示。该平台集成了实时神经网络推理，支持动态内容生成和多种3D高斯点变体，提供轻量级、即点即用的浏览器体验。通过统一推理与渲染流程，Visionary显著提升了渲染效率，简化了3D世界模型的部署与应用，促进了重建和生成模型的广泛使用。该平台兼容现有网页应用，降低了技术门槛，推动了3D神经渲染技术的普及和发展。,60
Native Parallel Reasoner: Reasoning in Parallelism via Self-Distilled Reinforcement Learning,Native Parallel Reasoner：通过自蒸馏强化学习实现并行推理,Agent,Other,https://arxiv.org/pdf/2512.07461,https://huggingface.co/papers/2512.07461,本文提出了Native Parallel Reasoner（NPR），一种无需教师模型指导的训练框架，使大型语言模型具备真正的并行推理能力。通过自蒸馏的渐进式训练、并行感知策略优化算法以及改进的执行引擎，NPR实现了从传统的顺序推理向原生并行推理的转变。在多个推理任务中，NPR显著提升了推理准确率（最高提升24.5%）和推理速度（最高加速4.6倍），并首次实现了完全的并行执行，为高效、可扩展的智能推理树立了新标准。,51
TwinFlow: Realizing One-step Generation on Large Models with Self-adversarial Flows,TwinFlow：利用自对抗流实现大模型的一步生成,Multimodal LLM,Other,https://arxiv.org/pdf/2512.05150,https://huggingface.co/papers/2512.05150,本文提出了TwinFlow，一种无需依赖预训练教师模型和传统对抗训练的单步生成框架，显著提升了大型多模态生成模型的推理效率。该方法在文本到图像生成任务中表现优异，1步推理即可达到与传统多步方法（需40-100步）相当的效果，且计算成本降低约100倍。TwinFlow具备良好的扩展性，成功应用于大规模模型Qwen-Image-20B，实现高效的少步生成，推动了大模型高效生成技术的发展。,47
Beyond Real: Imaginary Extension of Rotary Position Embeddings for Long-Context LLMs,超越实数：面向长上下文大语言模型的旋转位置编码的虚数扩展,LLM,Shanghai AI Lab,https://arxiv.org/pdf/2512.07525,https://huggingface.co/papers/2512.07525,本文提出了一种改进的旋转位置编码方法，通过同时利用复数点积中的实部和虚部信息，增强了大型语言模型对长文本上下文的建模能力。传统方法仅使用实部，忽略了包含重要位置信息的虚部，导致对长距离依赖的捕捉不足。新方法充分利用复数表示，构建双分量注意力分数，理论和实验均表明其在多项长文本语言建模任务中表现优于标准旋转位置编码，且随着上下文长度增加，性能提升更为显著。相关代码已开源。,42
Preserving Source Video Realism: High-Fidelity Face Swapping for Cinematic Quality,保持源视频真实感：用于电影质量的高保真换脸技术,Other,Other,https://arxiv.org/pdf/2512.07951,https://huggingface.co/papers/2512.07951,本文提出了LivingSwap，一种基于视频参考引导的高保真视频换脸方法，专为电影级别的长镜头视频设计。该方法通过关键帧注入目标身份，结合视频参考信息，实现了在复杂光照、夸张表情及遮挡等挑战下的稳定身份保持和细节还原。为解决训练数据不足问题，作者构建了配对换脸数据集Face2Face，并采用数据反转增强监督效果。实验表明，LivingSwap在保持源视频真实感和时间一致性方面表现优异，显著提升了换脸质量并减少了人工调节工作量，具备广泛的影视制作应用价值。,35
EditThinker: Unlocking Iterative Reasoning for Any Image Editor,EditThinker：解锁面向任意图像编辑器的迭代推理能力,Agent,THU,https://arxiv.org/pdf/2512.05965,https://huggingface.co/papers/2512.05965,本文提出了EditThinker，一种基于迭代推理的图像编辑框架，通过模拟人类“思考-编辑”循环，反复批判和优化编辑指令，从而显著提升图像编辑模型对指令的遵循能力。该方法利用单一大语言模型作为推理引擎，结合强化学习实现思考与编辑的协调，能够针对性地改进编辑指令。大量实验表明，EditThinker在多个基准测试中均显著优于现有方法，提升了多种图像编辑模型的表现。论文还将开放相关数据和模型，促进社区发展。,32
Unified Video Editing with Temporal Reasoner,带有时间推理器的统一视频编辑,Diffusion Model,Other,https://arxiv.org/pdf/2512.07469,https://huggingface.co/papers/2512.07469,本文提出了一种名为VideoCoF的新颖视频编辑方法，解决了现有技术中精确编辑依赖用户提供掩码与统一模型缺乏空间定位信息之间的矛盾。VideoCoF通过“观察-推理-编辑”流程，先预测编辑区域的推理信息，再生成目标视频，实现了无需掩码的精准指令定位和细粒度编辑。此外，提出的时序位置编码对齐策略增强了动作一致性并支持超长视频编辑。该方法仅用5万对视频数据训练，已在基准测试中达到领先性能，展示了高效且实用的统一视频编辑能力。,31
Voxify3D: Pixel Art Meets Volumetric Rendering,Voxify3D：像素艺术与体积渲染的结合,Other,Other,https://arxiv.org/pdf/2512.07834,https://huggingface.co/papers/2512.07834,本文提出了Voxify3D，一种结合3D网格优化与2D像素艺术监督的两阶段框架，用于自动生成高质量的体素艺术。该方法通过正交视角消除透视失真，实现像素与体素的精确对齐；利用基于图像语义的对齐保持模型语义信息；并采用可微分的调色板约束策略，实现对离散颜色空间的有效优化。实验表明，Voxify3D在保持语义清晰和像素艺术风格的同时，支持多种颜色数量和分辨率设置，生成结果在视觉效果和用户偏好上均优于现有方法，适用于游戏和数字媒体中的体素艺术创作。,28
From Imitation to Discrimination: Toward A Generalized Curriculum Advantage Mechanism Enhancing Cross-Domain Reasoning Tasks,从模仿到辨别：面向跨领域推理任务的通用课程优势机制,LLM,"THU, PKU",https://arxiv.org/pdf/2512.02580,https://huggingface.co/papers/2512.02580,本文提出了CAPO，一种基于优势信号的自适应课程机制，用于提升大语言模型的强化学习效果。CAPO通过先利用正向优势样本进行模仿学习，建立稳固基础，再引入负向信号培养模型的辨别能力，从而有效改善模型在复杂跨领域推理任务中的泛化表现。该方法兼容多种优化算法，在数学推理和多模态图形界面推理任务中均表现出稳定且显著的提升，展示了其作为通用且鲁棒优化框架的潜力。,25
