标题,中文标题,发布日期,领域分类,研究机构,PDF链接,论文链接,AlphaXiv链接,简明摘要,点赞数
Inference-Time Scaling for Generalist Reward Modeling,通用奖励建模的推理时间扩展,03 Apr 2025,LLM,THU,https://arxiv.org/pdf/2504.02495,https://www.arxiv.org/abs/2504.02495,https://www.alphaxiv.org/abs/2504.02495,本论文探讨了如何通过增强推理时间的可扩展性来改进通用奖励建模（RM），以提高大型语言模型（LLMs）的性能。研究提出了一种基于点式生成的奖励建模方法，并引入自我原则批评调优（SPCT）技术，以适应不同输入类型并提高奖励生成的准确性。通过并行采样和引入元奖励模型，本文展示了SPCT在多个RM基准测试中显著提升了模型的质量和可扩展性，超越了现有方法。尽管DeepSeek-GRM在某些任务中仍面临挑战，作者相信未来的努力将进一步优化通用奖励系统。模型将被开源发布。,321
GPT-ImgEval: A Comprehensive Benchmark for Diagnosing GPT4o in Image Generation,GPT-ImgEval：用于诊断GPT4o在图像生成中的综合基准,03 Apr 2025,Multimodal LLM,"PKU, Shanghai AI Lab",https://arxiv.org/pdf/2504.02782,https://www.arxiv.org/abs/2504.02782,https://www.alphaxiv.org/abs/2504.02782,本文介绍了GPT-ImgEval，这是一个针对OpenAI的GPT-4o模型在图像生成和编辑能力方面的综合评估基准。研究通过三个关键维度（生成质量、编辑能力和知识语义合成）对GPT-4o进行定量和定性分析，结果显示其在图像生成控制和输出质量上显著优于现有方法。此外，研究探讨了GPT-4o的潜在架构，提出其可能结合了自回归和扩散解码器。通过分析模型的局限性和合成伪影，本文为未来的研究提供了可靠的基准，促进了图像生成领域的创新和可重复性。,51
Concept Lancet: Image Editing with Compositional Representation Transplant,概念外科刀：基于组合表示移植的图像编辑,03 Apr 2025,Diffusion Model,Other,https://arxiv.org/pdf/2504.02828,https://www.arxiv.org/abs/2504.02828,https://www.alphaxiv.org/abs/2504.02828,"本文提出了一种名为Concept Lancet (CoLan)的框架，旨在改进基于扩散模型的图像编辑。现有方法在编辑强度的估计上存在挑战，可能导致视觉一致性受损或编辑失败。CoLan通过在潜在空间中对源图像进行稀疏线性组合，准确估计概念的存在，从而为不同的编辑任务（如替换、添加或移除）定制编辑方向。研究还建立了一个包含150,000个视觉概念的概念表示数据集，实验结果表明，CoLan在编辑有效性和一致性保持方面优于现有方法。",31
Affordable AI Assistants with Knowledge Graph of Thoughts,具有思维知识图谱的经济型AI助手,03 Apr 2025,Agent,Other,https://arxiv.org/pdf/2504.02670,https://www.arxiv.org/abs/2504.02670,https://www.alphaxiv.org/abs/2504.02670,本文提出了一种名为“思维知识图谱”（KGoT）的创新AI助手架构，旨在解决现有大型语言模型（LLMs）在复杂任务中的高成本和低成功率问题。KGoT通过动态构建知识图谱，将任务相关知识提取和结构化，结合外部工具如数学求解器和网络爬虫，显著提升了任务解决能力。研究表明，KGoT在GAIA基准测试中比现有模型提高了29%的成功率，同时成本降低超过36倍。该方法为开发高效、经济的AI助手提供了可扩展的解决方案，推动了生成性AI的普及。,23
Envisioning Beyond the Pixels: Benchmarking Reasoning-Informed Visual Editing,超越像素的构想：基于推理的视觉编辑基准测试,03 Apr 2025,Multimodal LLM,Shanghai AI Lab,https://arxiv.org/pdf/2504.02826,https://www.arxiv.org/abs/2504.02826,https://www.alphaxiv.org/abs/2504.02826,本论文提出了RISEBench，这是首个针对“基于推理的视觉编辑”（RISE）进行评估的基准，旨在解决当前多模态模型在通用视觉编辑中的不足。RISEBench聚焦于四种推理类型：时间、因果、空间和逻辑推理，并通过高质量测试案例和评估框架，评估模型的指令推理、外观一致性和视觉可信度。实验结果显示，尽管GPT-4o-Native在性能上优于其他模型，但在逻辑推理任务上仍存在挑战。这一基准为未来的推理驱动视觉编辑研究提供了基础，并承诺不断扩展和完善评估方法。,22
F-ViTA: Foundation Model Guided Visible to Thermal Translation,F-ViTA: 基于基础模型的可见光到热成像转换,03 Apr 2025,Diffusion Model,Other,https://arxiv.org/pdf/2504.02801,https://www.arxiv.org/abs/2504.02801,https://www.alphaxiv.org/abs/2504.02801,本文提出了一种新方法F-ViTA，用于将可见光图像转换为热成像图像，旨在解决现有方法在数据稀缺情况下的局限性。F-ViTA利用基础模型中的知识，通过条件化InstructPix2Pix扩散模型，提取对象标签和分割掩码，从而增强可见光到热成像的转换效果。实验表明，F-ViTA在多个公共数据集上超越了现有技术，并且在处理未见过的场景时表现出良好的泛化能力。此外，该模型支持用户通过文本提示生成特定类型的红外图像，扩展了热成像的应用潜力。,22
ERPO: Advancing Safety Alignment via Ex-Ante Reasoning Preference Optimization,ERPO：通过事前推理偏好优化推进安全对齐,03 Apr 2025,LLM,Other,https://arxiv.org/pdf/2504.02725,https://www.arxiv.org/abs/2504.02725,https://www.alphaxiv.org/abs/2504.02725,这篇论文提出了一种新的安全对齐框架——预先推理偏好优化（ERPO），旨在提高大型语言模型（LLMs）的安全性。ERPO通过引入明确的预防性推理和嵌入预定义的安全规则，增强了模型在多样化安全场景中的表现。该方法包括三个阶段：首先，利用监督微调构建推理模块；其次，通过直接偏好优化提升安全性和效率；最后，采用长度控制的迭代优化策略减少推理延迟。实验结果表明，ERPO显著改善了安全性能，同时保持了响应效率，为应对有害内容生成提供了有效解决方案。,19
Generative Evaluation of Complex Reasoning in Large Language Models,大语言模型中复杂推理的生成评估,03 Apr 2025,LLM,"PKU, THU",https://arxiv.org/pdf/2504.02810,https://www.arxiv.org/abs/2504.02810,https://www.alphaxiv.org/abs/2504.02810,本论文提出了KUMO，一个用于评估大型语言模型（LLMs）复杂推理能力的生成性评估框架。KUMO结合了LLMs和符号引擎，动态生成多样化的推理任务，以检验模型的真实推理能力而非简单记忆。通过对23个先进LLMs在5000个任务中的表现进行评估，研究发现许多LLMs在简单推理任务上超越了大学生表现，而在复杂推理挑战中达到大学水平。KUMO的有效性得到了新发布的现实世界推理基准的支持，证明其作为评估LLMs推理能力的可靠工具的价值。,18
On Vanishing Variance in Transformer Length Generalization,关于变压器长度泛化中的方差消失,03 Apr 2025,LLM,Other,https://arxiv.org/pdf/2504.02827,https://www.arxiv.org/abs/2504.02827,https://www.alphaxiv.org/abs/2504.02827,本论文探讨了Transformer模型在处理长序列时的泛化能力问题，提出了“消失方差”的视角。研究发现，随着序列长度的增加，Transformer的多头注意力模块输出的方差下降，导致模型在长序列上的准确性下降。通过在注意力输出后应用层归一化，实验表明可以显著改善模型的长度泛化能力，尽管仍未完全消除由消失方差引起的分布偏移。这一发现为未来设计对序列长度具有鲁棒性的网络架构提供了理论基础。,15
Systematic Evaluation of Large Vision-Language Models for Surgical Artificial Intelligence,大型视觉语言模型在外科人工智能中的系统评估,03 Apr 2025,Multimodal LLM,DeepMind,https://arxiv.org/pdf/2504.02799,https://www.arxiv.org/abs/2504.02799,https://www.alphaxiv.org/abs/2504.02799,本论文系统评估了11种大型视觉-语言模型（VLMs）在外科人工智能中的应用，涵盖17个关键的视觉理解任务，如解剖识别和技能评估。研究表明，这些模型在多种外科场景中展现出良好的泛化能力，有时甚至超越了传统的监督学习模型。通过在测试过程中引入示例，模型性能提升可达三倍，显示出其适应性是一个重要优势。然而，涉及空间和时间推理的任务仍然具有挑战性。研究结果为VLMs在临床及其他复杂动态场景中的潜力提供了重要见解。,11
