标题,中文标题,发布日期,领域分类,研究机构,PDF链接,论文链接,AlphaXiv链接,简明摘要,点赞数
Visual Acoustic Fields,视觉声场,31 Mar 2025,Other,Other,https://arxiv.org/pdf/2503.24270,https://www.arxiv.org/abs/2503.24270,https://www.alphaxiv.org/abs/2503.24270,本文提出了一种新颖的框架——视觉声场（Visual Acoustic Fields），旨在将视觉信号与3D场景中的声音信号结合起来。该框架利用3D高斯点云（3DGS）技术，实现了两个主要功能：基于视觉的声音生成和声音定位。通过条件扩散模型，框架能够根据物体的外观和材料生成逼真的撞击声，同时也能准确定位声音源。为支持这一框架，研究团队开发了一种新的数据收集管道，首次在3D环境中建立了视觉和声音信号的空间对齐数据集。实验结果表明，该方法在生成撞击声和定位声音源方面具有显著效果，推动了物体交互理解的研究。,1
HumanDreamer: Generating Controllable Human-Motion Videos via Decoupled Generation,HumanDreamer：通过解耦生成生成可控的人体运动视频,31 Mar 2025,Other,PKU,https://arxiv.org/pdf/2503.24026,https://www.arxiv.org/abs/2503.24026,https://www.alphaxiv.org/abs/2503.24026,论文《HumanDreamer: Generating Controllable Human-Motion Videos via Decoupled Generation》提出了一种新的框架，用于生成可控的人类运动视频。该方法将生成过程分为两个步骤：从文本生成姿势（Text-to-Pose）和从姿势生成视频（Pose-to-Video）。通过构建一个包含120万对文本-姿势的数据集（MotionVid），并引入新颖的LAMA损失函数，HumanDreamer显著提高了生成质量和准确性。实验表明，该框架能够生成多样化和高质量的人类运动视频，并可应用于其他相关任务，如姿势序列预测和2D-3D运动提升。,1
"ACPBench Hard: Unrestrained Reasoning about Action, Change, and Planning",ACPBench Hard: 关于行动、变化和规划的无约束推理,31 Mar 2025,Agent,Other,https://arxiv.org/pdf/2503.24378,https://www.arxiv.org/abs/2503.24378,https://www.alphaxiv.org/abs/2503.24378,"论文《ACPBench Hard: Unrestrained Reasoning about Action, Change, and Planning》介绍了一个新的数据集ACPBench Hard，旨在测试人工智能在行动、变化和规划方面的推理能力。与之前的ACPBench数据集相比，ACPBench Hard采用开放式生成问题，挑战模型在没有明确选项的情况下进行推理。研究显示，尽管当前大型语言模型在这些任务上表现不佳，大多数模型的得分仍低于65%。论文还提出了针对每个任务的评估算法，以验证答案的正确性，指出现有模型在规划推理方面仍需改进。该研究为理解和提升AI的推理与规划能力提供了重要的基准和方向。",0
Exploring the Effect of Reinforcement Learning on Video Understanding: Insights from SEED-Bench-R1,探索强化学习对视频理解的影响：来自SEED-Bench-R1的见解,31 Mar 2025,Agent,Tencent,https://arxiv.org/pdf/2503.24376,https://www.arxiv.org/abs/2503.24376,https://www.alphaxiv.org/abs/2503.24376,本论文探讨了强化学习（RL）在视频理解中的应用，提出了SEED-Bench-R1基准，旨在系统评估多模态大型语言模型（MLLMs）在复杂日常任务中的表现。通过设定三层评估层次，研究显示使用RL训练的模型在处理分布外任务时表现优于传统的监督微调（SFT）模型，特别是在视觉感知和推理能力方面。尽管RL提高了模型的表现，但仍存在推理链不一致和视觉线索遗漏等问题。研究为未来的模型改进提供了方向，强调了在多模态理解中强化学习的潜力和挑战。,0
Effectively Controlling Reasoning Models through Thinking Intervention,通过思维干预有效控制推理模型,31 Mar 2025,LLM,Other,https://arxiv.org/pdf/2503.24370,https://www.arxiv.org/abs/2503.24370,https://www.alphaxiv.org/abs/2503.24370,本论文提出了一种新颖的“思维干预”方法，旨在通过显式引导大型语言模型（LLMs）的内部推理过程，提升其在复杂任务中的表现。与传统的提示工程不同，思维干预通过在推理过程中插入或修改特定的思维标记，实现对模型行为的精细控制。研究结果表明，该方法在多个任务中显著超越了基线提示方法，尤其在指令遵循、指令层次和安全性对齐方面，准确率提高了6.7%至40%。这一研究为更有效地控制推理模型开辟了新的研究方向。,0
"What, How, Where, and How Well? A Survey on Test-Time Scaling in Large Language Models",什么、如何、在哪里以及效果如何？关于大语言模型测试时间扩展的调查,31 Mar 2025,LLM,Other,https://arxiv.org/pdf/2503.24235,https://www.arxiv.org/abs/2503.24235,https://www.alphaxiv.org/abs/2503.24235,本文对测试时扩展（TTS）在大型语言模型（LLMs）中的应用进行了全面调查，提出了一个统一的多维框架，涵盖了“什么、如何、在哪里以及效果如何”等四个核心维度。研究表明，TTS能够显著提升LLMs在各种任务中的表现，包括数学和编程等专业推理任务以及开放式问答。该框架不仅系统地分析了现有方法和应用场景，还提供了未来研究的指导，识别了当前面临的挑战和潜在的发展方向。这项工作为理解和部署TTS提供了结构化的视角，促进了该领域的理论和实践进步。,0
Towards Scientific Intelligence: A Survey of LLM-based Scientific Agents,迈向科学智能：基于大语言模型的科学智能体调查,31 Mar 2025,Agent,Other,https://arxiv.org/pdf/2503.24047,https://www.arxiv.org/abs/2503.24047,https://www.alphaxiv.org/abs/2503.24047,本文综述了基于大语言模型（LLM）的科学智能代理，探讨其在现代科学研究中的应用与挑战。随着科学研究的复杂性增加，这些专门的代理能够自动化关键任务，如假设生成、实验设计和数据分析，整合领域特定知识和工具，处理复杂数据类型。与通用LLM不同，科学代理确保了研究的可重复性和伦理性，推动科学突破。本文提供了对这些代理架构、设计、应用及伦理考量的全面回顾，为研究人员和实践者提供了有效利用这些工具的路线图。,0
Rubric Is All You Need: Enhancing LLM-based Code Evaluation With Question-Specific Rubrics,只需评分标准：通过问题特定评分标准增强基于LLM的代码评估,31 Mar 2025,LLM,Other,https://arxiv.org/pdf/2503.23989,https://www.arxiv.org/abs/2503.23989,https://www.alphaxiv.org/abs/2503.23989,本论文探讨了使用大型语言模型（LLM）进行代码评估的挑战，并提出了通过问题特定评分标准来提升评估效果的方法。研究中引入了两个新数据集，分别涵盖数据结构与算法和面向对象编程的学生提交作品。作者提出了一种新的评估指标“宽容度”，以量化评估的严格性。结果表明，问题特定的评分标准在逻辑评估方面显著优于传统的无关评分标准，能够提供更符合教学目标的反馈，从而改善计算机教育中的代码评估过程。,0
SchemaAgent: A Multi-Agents Framework for Generating Relational Database Schema,SchemaAgent：用于生成关系数据库模式的多智能体框架,31 Mar 2025,Agent,Other,https://arxiv.org/pdf/2503.23886,https://www.arxiv.org/abs/2503.23886,https://www.alphaxiv.org/abs/2503.23886,本文提出了SchemaAgent，一个基于大语言模型的多代理框架，用于自动生成高质量的关系数据库模式。该框架通过模拟手动设计流程，分配专门角色给各个代理，以有效协作完成不同子任务，并引入反思和检查角色来识别和纠正错误。与现有的基于规则或传统深度学习模型的方法相比，SchemaAgent在生成数据库模式时表现出更优的效果。研究还提供了一个名为RSchema的基准数据集，以评估该方法的有效性，实验结果显示其优于主流的大语言模型。,0
RIG: Synergizing Reasoning and Imagination in End-to-End Generalist Policy,RIG：在端到端通用政策中协同推理与想象,31 Mar 2025,Embodied AI,Shanghai AI Lab,https://arxiv.org/pdf/2503.24388,https://www.arxiv.org/abs/2503.24388,https://www.alphaxiv.org/abs/2503.24388,本文提出了一种名为RIG的端到端通用策略，旨在将推理和想象能力结合，以提升智能体在复杂开放世界环境中的表现。与以往仅使用单一能力或将多种模型组合的方式不同，RIG通过逐步整合推理和想象的内容，显著提高了样本效率和泛化能力。实验结果表明，RIG在推理下一步行动、生成潜在行动及预测结果的过程中，能够自我修正，从而增强了智能体的鲁棒性和性能。此研究为智能体在动态环境中的决策提供了新的思路。,0
Open-Reasoner-Zero: An Open Source Approach to Scaling Up Reinforcement Learning on the Base Model,Open-Reasoner-Zero：一种开源方法以扩展基础模型上的强化学习,31 Mar 2025,Agent,THU,https://arxiv.org/pdf/2503.24290,https://www.arxiv.org/abs/2503.24290,https://www.alphaxiv.org/abs/2503.24290,本文介绍了Open-Reasoner-Zero，这是首个开源的大规模推理导向强化学习（RL）训练实现，旨在提高可扩展性、简便性和可访问性。通过实验，研究表明，使用简单的PPO算法和规则基础奖励即可显著提升模型在多个基准任务（如AIME2024、MATH500和GPQA Diamond）的表现，同时训练步骤仅为DeepSeek-R1-Zero的十分之一。该研究提供了详细的训练策略和应对常见挑战的见解，旨在使先进的RL训练技术对更广泛的研究社区开放。,0
Easi3R: Estimating Disentangled Motion from DUSt3R Without Training,Easi3R：无训练情况下从DUSt3R估计解耦运动,31 Mar 2025,Other,Other,https://arxiv.org/pdf/2503.24391,https://www.arxiv.org/abs/2503.24391,https://www.alphaxiv.org/abs/2503.24391,论文提出了Easi3R，一种无需训练的4D重建方法，旨在从动态视频中高效地估计物体和相机运动。与传统方法依赖大量训练数据和几何先验不同，Easi3R利用DUSt3R中的注意力机制，直接在推理阶段进行适应，成功实现动态区域分割、相机姿态估计和密集点云重建。实验结果表明，Easi3R在处理动态视频时显著优于现有的基于训练的方法，展示了其在计算机视觉领域的潜在应用价值。,0
Can Test-Time Scaling Improve World Foundation Model?,测试时缩放能否改善世界基础模型？,31 Mar 2025,Embodied AI,Other,https://arxiv.org/pdf/2503.24320,https://www.arxiv.org/abs/2503.24320,https://www.alphaxiv.org/abs/2503.24320,本文提出了SWIFT，一个专为世界基础模型（WFM）设计的测试时间缩放框架，旨在提升模型推理性能而无需增加模型规模或重新训练。WFM在模拟物理世界和支持自主驾驶、机器人等应用中发挥重要作用，但其训练和推理面临高计算需求和数据限制。SWIFT结合了快速标记、概率基础的Top-K剪枝和高效的束搜索策略，提供了一个模块化的评估工具包，支持多方面的评估。实验证明，SWIFT有效提升了WFM的推理效果，为WFM的应用提供了新的思路和方法。,0
