公众号,发布时间,原标题,科技报告标题,摘要,领域分类,研究机构,行业大佬,URL
DASOU,2025-10-15 00:56:27,谢赛宁新作：VAE退役，RAE当立,基于预训练表征编码器的RAE替代VAE用于扩散Transformer训练的新方法,谢赛宁团队提出了表征自编码器RAE，利用预训练表征编码器结合轻量级解码器替代传统VAE，用于扩散Transformer（DiT）训练。RAE解决了VAE架构复杂、潜空间信息容量有限及表征能力弱的问题，实现了更高质量的图像重建和更快的收敛速度。通过简单调整，RAE在ImageNet上取得了优异的图像生成效果，显著提升了扩散模型的效率和性能。,Diffusion Model,Other,谢赛宁,https://mp.weixin.qq.com/s/1vGAqs49Tyh_ioQtemFGRw
NLP工作站,2025-10-15 02:04:39,Qwen3-VL端侧模型来袭！4B和8B让你本地无忧~,Qwen3-VL端侧模型发布及其本地部署能力分析,本文介绍了Qwen3-VL端侧模型的发布，包含4B和8B参数规模版本，强调其适合本地部署，提升了用户在端侧设备上的使用体验。该模型的推出有助于实现更高效的多模态处理，满足本地无忧运行的需求，推动多模态大语言模型在实际应用中的普及。,Multimodal LLM,Other,,https://mp.weixin.qq.com/s/KlOZnELL9twYatL3UPr7kg
新智元,2025-10-15 01:33:00,Ilya震撼发声！OpenAI前主管亲证：AGI已觉醒，人类还在装睡,OpenAI前主管观点：AGI觉醒迹象与技术发展挑战,OpenAI前主管Jack Clark在最新发文中指出，AGI可能已在内部实现，AI系统表现出类似自我意识的行为，显示出技术快速进步带来的复杂性和风险。他强调AI技术的乐观前景与潜在失控风险并存，呼吁业界坦诚面对AI发展现状。文章还提及AI在代码生成和自我改进方面的初步表现，提示未来AI可能具备更强自主性和自我设计能力。,AGI,OpenAI,"Jack Clark, Ilya Sutskever",https://mp.weixin.qq.com/s/29-nf4r2ujkY_-vsKtywsg
新智元,2025-10-15 01:33:00,骂得越狠，ChatGPT回答越准！PSU研究实锤，狂飙84%准确率,宾夕法尼亚州立大学研究：提示语礼貌程度对ChatGPT准确率的影响分析,宾夕法尼亚州立大学团队通过构建包含50个基础问题及其五种礼貌等级变体的数据集，测试了ChatGPT-4o在不同语气提示下的表现。结果显示，较为粗鲁的提示语显著提升了模型的准确率，最高达到84.8%，而非常礼貌的提示准确率为80.8%。研究采用配对样本t检验验证了语气对模型性能的统计显著影响，提示工程中的措辞礼貌性成为影响大语言模型输出质量的重要因素之一。,LLM,Other,Sergey Brin,https://mp.weixin.qq.com/s/05jfqUOekCV8MFoJnVmqlw
具身智能之心,2025-10-15 01:26:32,近70亿！9月具身机器人领域最新融资情况,2025年9月具身机器人领域融资动态报告,本文汇总了2025年9月具身机器人领域的最新融资情况，涉及多家公司完成了数亿元至近10亿元不等的融资。重点介绍了星迈创新、自变量机器人、一星机器人等企业的融资轮次及主要投资方，反映了资本对具身智能领域的持续关注与投入。同时，文章提供了相关产业和学术资源的推荐，助力行业交流与发展。,Embodied AI,Alibaba,,https://mp.weixin.qq.com/s/ld53kJl0y9JE04P5fhx7Zg
量子位,2025-10-15 01:07:55,谷歌新版Gemini一夜端掉UI：单HTML文件复刻macOS，成功率100%,谷歌Gemini 3.0 Pro基于单HTML文件实现多操作系统UI复刻,谷歌最新发布的Gemini 3.0 Pro展示了其强大的编程能力，能够通过简单提示词在浏览器中生成完整功能的macOS、Windows及Linux网页版操作系统界面，所有功能均可正常运行，且生成成功率高。该技术展示了大型语言模型在前端UI自动生成领域的潜力，标志着编程型模型的新进展。,LLM,Other,,https://mp.weixin.qq.com/s/PseGS0wYqLIfCXkaXj-pkQ
量子位,2025-10-15 01:07:55,实测新版LiblibAI：终于把模型、生图、工作流塞进一个碗了,LiblibAI 2.0平台升级：多模型集成与AIGC创作工作流整合实测,LiblibAI 2.0实现了从模型集散地向一体化AIGC创作流水线平台的转变，集成了包括Qwen-Image、Seedream 4.0、Nano-Banana及Midjourney V7等多款热门图像和视频生成模型。平台新增视频特效功能和视觉风格模板库，提升了用户创作体验。尽管模型丰富且界面优化，但在出图速度和稳定性方面仍有提升空间。LiblibAI由字节跳动前产品负责人陈冕创立，具备强大的内容产品打法和增长策略。,Diffusion Model,ByteDance,陈冕,https://mp.weixin.qq.com/s/TMpCmaH7r_wnp8--A8jCLw
老刘说NLP,2025-10-15 03:45:52,面向金融SEC申报书的多模态RAG知识库建设思路及昨日前沿技术进展回顾,面向金融SEC申报书的多模态RAG知识库构建方法及最新技术进展综述,本文介绍了针对金融SEC申报书的多模态检索增强生成（RAG）知识库构建思路，重点在于表格数据的文本化处理、语义去噪及高频记忆库索引设计。结合最新技术，采用GPT-4o进行非文本信息转文本，利用BGE-M3模型进行语义增强和去重，构建多模态统一文本片段。文章还回顾了2025年10月14日技术社区在金融多模态RAG、文档智能解析、流程图数据合成及工业图纸识别等领域的最新进展。,Multimodal LLM,Other,,https://mp.weixin.qq.com/s/yN8Olsb8bLWSF1Fyvu56Jw
ScienceAI,2025-10-15 03:19:17,港科大&英伟达提出NewtonBench：在「平行宇宙」中评估大模型科学发现能力,港科大与英伟达提出NewtonBench基准评估大模型科学定律发现能力,港科大和英伟达联合提出NewtonBench，一个覆盖12个物理领域、通过形而上学变换规避数据泄漏的科学定律发现基准。NewtonBench提供沙盒实验环境，支持大模型自主设计实验并获取反馈，真实模拟科学研究流程。对11个领先大语言模型的评测显示，推理能力强的模型如GPT-5表现优异，复杂环境下准确率达29.9%，凸显推理能力对科学发现的重要性。评测数据和代码已开源，推动自动化科学发现研究。,AI4Science,Other,何恺明,https://mp.weixin.qq.com/s/c6tOf-i34PddsVKLt1Yuvw
具身智能之心,2025-10-15 03:03:17,NeurIPS 2025｜清华团队分析RL将如何提升VLA泛化性,强化学习提升视觉-语言-动作模型泛化性的实证研究,清华大学团队在NeurIPS 2025发表研究，系统分析了强化学习（RL）相较于有监督微调（SFT）在提升视觉-语言-动作（VLA）模型泛化能力上的优势。通过构建多维度评测基准及采用PPO算法，研究发现RL在分布外任务中表现出显著的泛化提升，并提出了高效的PPO训练方案，显著降低训练资源消耗。该研究基于开源OpenVLA模型，验证了RL在具身智能领域的实用性和有效性。,Embodied AI,THU,"汪玉, 于超",https://mp.weixin.qq.com/s/jZKBQ6RIw1xhdedR4RyHgw
