标题,中文标题,领域分类,研究机构,PDF链接,论文链接,简明摘要,Upvote数
"Ming-UniVision: Joint Image Understanding and Generation with a Unified
  Continuous Tokenizer",Ming-UniVision：基于统一连续分词器的图像理解与生成,Multimodal LLM,Other,https://arxiv.org/pdf/2510.06590,https://huggingface.co/papers/2510.06590,本文提出了MingTok，一种基于连续潜空间的视觉编码器，统一了图像理解与生成任务，克服了传统离散编码带来的信息损失问题。通过三阶段架构兼顾理解任务对高维特征的需求和生成任务对紧凑编码的偏好，Ming-UniVision实现了在单一自回归框架下的多任务处理。该方法在视觉语言理解和图像生成上均达到了领先性能，支持多轮交互和编辑，推动了视觉任务的统一建模与应用。作者已公开代码与模型，促进社区发展。,52
"Cache-to-Cache: Direct Semantic Communication Between Large Language
  Models",Cache-to-Cache：大语言模型之间的直接语义通信,LLM,"THU, Shanghai AI Lab",https://arxiv.org/pdf/2510.03215,https://huggingface.co/papers/2510.03215,本文提出了Cache-to-Cache（C2C）通信机制，实现了大型语言模型（LLM）之间的直接语义信息传递，突破了传统基于文本的通信方式。通过利用模型内部的KV-Cache表示，C2C避免了生成中间文本带来的信息损失和延迟，提升了多模型协作的效率和准确性。实验表明，C2C在准确率上较单模型提升8.5-10.5%，相比文本通信方法提升3.0-5.0%，并实现了约2倍的响应速度加快。该方法为多LLM系统的高效协同提供了新的技术路径。,50
"Lumina-DiMOO: An Omni Diffusion Large Language Model for Multi-Modal
  Generation and Understanding",Lumina-DiMOO：一种用于多模态生成与理解的全向扩散大语言模型,Multimodal LLM,"Shanghai AI Lab, THU",https://arxiv.org/pdf/2510.06308,https://huggingface.co/papers/2510.06308,本文提出了Lumina-DiMOO，一种开源的多模态基础模型，采用全离散扩散建模方法，实现了高效的多模态生成与理解。相比传统的自回归或混合模型，Lumina-DiMOO在采样效率和任务适应性上表现出显著优势，支持文本生成、文本到图像、图像编辑、图像修复及图像理解等多种任务。该模型在多个基准测试中达到领先水平，优于现有开源多模态统一模型。作者公开了代码和模型权重，推动多模态与离散扩散模型的研究进展。,35
SHANKS: Simultaneous Hearing and Thinking for Spoken Language Models,SHANKS：面向口语语言模型的同步听与思,Agent,Microsoft,https://arxiv.org/pdf/2510.06917,https://huggingface.co/papers/2510.06917,本文提出了SHANKS，一种创新的推理框架，使得语音语言模型能够在用户讲话过程中同步进行思考和推理，而非等待用户结束发言后才开始处理。通过将输入语音分块处理，SHANKS实现了在用户持续讲话时生成隐性推理，从而支持实时互动和及时响应。实验证明，SHANKS在数学问题解答和工具调用两种场景中显著提升了模型的中断准确率和任务完成效率，推动了低延迟、自然流畅的语音交互体验的发展。,29
RLinf-VLA: A Unified and Efficient Framework for VLA+RL Training,RLinf-VLA：一个统一高效的VLA+RL训练框架,Embodied AI,"THU, PKU",https://arxiv.org/pdf/2510.06710,https://huggingface.co/papers/2510.06710,本文提出了RLinf-VLA，一种统一且高效的框架，用于视觉-语言-动作（VLA）模型的强化学习训练。该框架通过灵活的资源分配策略，特别是针对GPU并行模拟器的混合细粒度流水线设计，实现了训练速度显著提升。RLinf-VLA支持多种VLA架构、强化学习算法和模拟环境，显著提升了模型在多任务中的表现和泛化能力。实验结果显示，RL训练的策略在真实机器人上优于传统的监督微调方法。该工作为推动具身智能的研究提供了标准化和可扩展的平台。,27
MATRIX: Mask Track Alignment for Interaction-aware Video Generation,MATRIX：用于交互感知视频生成的掩码轨迹对齐,Diffusion Model,Other,https://arxiv.org/pdf/2510.07310,https://huggingface.co/papers/2510.07310,本文针对当前视频生成模型在多主体交互场景中的表现不足，构建了包含交互感知字幕和多实例掩码轨迹的MATRIX-11K数据集，系统分析了视频扩散变换器内部如何表达主体间关系。基于发现交互信息集中于少数关键层，提出了MATRIX正则化方法，通过对齐模型注意力与掩码轨迹，提升了交互的准确性和语义一致性。实验结果表明，该方法有效减少了生成视频中的语义漂移和错误，显著增强了多主体交互的表现能力，并设计了专门的评估协议验证性能。,25
Vibe Checker: Aligning Code Evaluation with Human Preference,Vibe Checker：使代码评估与人类偏好保持一致,LLM,Other,https://arxiv.org/pdf/2510.07315,https://huggingface.co/papers/2510.07315,本文提出了Vibe Checker，一种结合功能正确性与指令遵循能力的代码评估方法，以更好地反映人类对代码的偏好。通过设计包含30类可验证指令的VeriCode体系及对应检测工具，作者扩展了传统评测框架，评估了31个主流大型语言模型。结果显示，尽管部分模型在功能上表现良好，但在遵循多重指令方面仍存在不足。研究表明，将功能正确性与指令遵循综合评分能更准确预测人类偏好，为开发更符合用户需求的代码生成模型提供了新的评价标准和方向。,24
Multi-Agent Tool-Integrated Policy Optimization,多智能体工具集成策略优化,Agent,Other,https://arxiv.org/pdf/2510.04678,https://huggingface.co/papers/2510.04678,本文提出了Multi-Agent Tool-Integrated Policy Optimization（MATPO），一种在单一大语言模型内通过强化学习训练多角色（规划者与执行者）协作的方法。该方法有效解决了传统单代理系统中上下文限制和工具响应噪声问题，提升了多轮工具辅助推理的性能和稳定性。实验证明，MATPO在多个复杂任务上较单代理方法平均提升约18%的表现，且更能抵抗工具输出的噪声干扰。研究展示了在单模型中整合多智能体角色的优势，为多智能体强化学习提供了实用且高效的训练策略。,16
"CALM Before the STORM: Unlocking Native Reasoning for Optimization
  Modeling",CALM风暴前夕：解锁原生推理以优化建模,LLM,Alibaba,https://arxiv.org/pdf/2510.04204,https://huggingface.co/papers/2510.04204,本文提出了CALM框架，通过专家介入对大型推理模型（LRM）的推理过程进行轻量级修正，显著提升其在优化建模任务中的表现。该方法仅修改极少量生成内容，却有效生成高质量训练数据，结合监督微调和强化学习，充分挖掘模型的内在推理能力。在此基础上，作者开发了4亿参数的STORM模型，在多个优化建模基准测试中达到68.9%的准确率，性能媲美规模远大的模型。研究展示了动态提示式数据生成对保持并增强模型原生推理能力的有效性，为实现专家级优化建模提供了更高效且可扩展的路径。,14
OBS-Diff: Accurate Pruning For Diffusion Models in One-Shot,OBS-Diff：用于扩散模型的一次性精确剪枝方法,Diffusion Model,Other,https://arxiv.org/pdf/2510.06751,https://huggingface.co/papers/2510.06751,本文提出了OBS-Diff，一种针对大型文本到图像扩散模型的高效一次性剪枝方法。该方法通过改进经典的最优脑外科手术算法，适配复杂模型结构，并结合时间步感知的误差累积分析，实现了无训练的精准模型压缩。OBS-Diff支持多种剪枝粒度，有效减少计算资源需求，同时保持生成图像的高质量。实验结果表明，OBS-Diff在加速推理的同时，仅带来极小的性能损失，显著提升了扩散模型的实用性和效率。,13
